Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Keenan Allen,175,14,Sun,9,10,11/12/23,31-199,LAC,,DET,L 38-41,14,11,175,15.9,2,78.6,12.5,9,78.6,WR
2,Brandin Cooks,173,10,Sun,9,10,11/12/23,30-048,DAL,,NYG,W 49-17,10,9,173,19.2,1,90,17.3,6,90,WR
3,Noah Brown,172,8,Sun,9,10,11/12/23,27-310,HOU,@,CIN,W 30-27,8,7,172,24.6,0,87.5,21.5,7,87.5,WR
4,Amon-Ra St. Brown,156,9,Sun,9,10,11/12/23,24-019,DET,@,LAC,W 41-38,9,8,156,19.5,1,88.9,17.3,5,77.8,WR
5,CeeDee Lamb,151,14,Sun,9,10,11/12/23,24-218,DAL,,NYG,W 49-17,14,11,151,13.7,1,78.6,10.8,6,64.3,WR
6,Mike Evans,143,10,Sun,9,10,11/12/23,30-083,TAM,,TEN,W 20-6,10,6,143,23.8,1,60,14.3,6,60,WR
7,T.J. Hockenson,134,15,Sun,10,10,11/12/23,26-132,MIN,,NOR,W 27-19,15,11,134,12.2,1,73.3,8.9,7,66.7,TE
8,Trey McBride,131,9,Sun,10,10,11/12/23,23-355,ARI,,ATL,W 25-23,9,8,131,16.4,0,88.9,14.6,7,88.9,TE
9,Ja'Marr Chase,124,6,Sun,9,10,11/12/23,23-256,CIN,,HOU,L 27-30,6,5,124,24.8,1,83.3,20.7,3,50,WR
10,Brian Robinson Jr.,119,6,Sun,10,10,11/12/23,24-235,WAS,@,SEA,L 26-29,6,6,119,19.8,1,100,19.8,3,66.7,RB
11,Tyler Boyd,117,12,Sun,9,10,11/12/23,28-362,CIN,,HOU,L 27-30,12,8,117,14.6,0,66.7,9.8,4,41.7,WR
12,George Kittle,116,4,Sun,9,10,11/12/23,30-034,SFO,@,JAX,W 34-3,4,3,116,38.7,1,75,29,3,75,TE
13,Christian Kirk,104,11,Sun,9,10,11/12/23,26-359,JAX,,SFO,L 3-34,11,6,104,17.3,0,54.5,9.5,4,45.5,WR
14,Amari Cooper,98,9,Sun,9,10,11/12/23,29-148,CLE,@,BAL,W 33-31,9,6,98,16.3,0,66.7,10.9,4,66.7,WR
15,D.K. Metcalf,98,12,Sun,9,10,11/12/23,25-333,SEA,,WAS,W 29-26,12,7,98,14,0,58.3,8.2,6,58.3,WR
16,Chris Olave,94,9,Sun,10,10,11/12/23,23-138,NOR,@,MIN,L 19-27,9,6,94,15.7,1,66.7,10.4,4,55.6,WR
17,Garrett Wilson,93,14,Sun,9,10,11/12/23,23-113,NYJ,@,LVR,L 12-16,14,9,93,10.3,0,64.3,6.6,5,50,WR
18,Tyler Lockett,92,10,Sun,9,10,11/12/23,31-045,SEA,,WAS,W 29-26,10,8,92,11.5,1,80,9.2,5,70,WR
19,Davante Adams,86,13,Sun,10,10,11/12/23,30-323,LVR,,NYJ,W 16-12,13,6,86,14.3,0,46.2,6.6,3,30.8,WR
20,Demario Douglas,84,9,Sun,10,10,11/12/23,22-339,NWE,,IND,L 6-10,9,6,84,14,0,66.7,9.3,2,55.6,WR
21,Michael Pittman Jr.,84,12,Sun,10,10,11/12/23,26-038,IND,@,NWE,W 10-6,12,8,84,10.5,0,66.7,7,4,58.3,WR
22,Jayden Reed,84,5,Sun,9,10,11/12/23,23-198,GNB,@,PIT,L 19-23,5,5,84,16.8,1,100,16.8,3,80,WR
23,Zay Flowers,73,6,Sun,10,10,11/12/23,23-062,BAL,,CLE,L 31-33,6,5,73,14.6,0,83.3,12.2,5,83.3,WR
