Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Devin Singletary,150,30,Sun,9,10,11/12/23,26-070,HOU,@,CIN,W 30-27,30,150,5,1,7,56.7,RB
2,Josh Jacobs,116,27,Sun,10,10,11/12/23,25-274,LVR,,NYJ,W 16-12,27,116,4.3,0,5,55.6,RB
3,David Montgomery,116,12,Sun,9,10,11/12/23,26-158,DET,@,LAC,W 41-38,12,116,9.7,1,3,41.7,RB
4,James Cook,109,12,Mon,10,10,11/13/23,24-049,BUF,,DEN,L 22-24,12,109,9.1,0,4,66.7,RB
5,Jerome Ford,107,17,Sun,9,10,11/12/23,23-338,CLE,@,BAL,W 33-31,17,107,6.3,0,6,70.6,RB
6,Jaylen Warren,101,15,Sun,9,10,11/12/23,25-011,PIT,,GNB,W 23-19,15,101,6.7,1,6,60,RB
7,Christian McCaffrey,95,16,Sun,9,10,11/12/23,27-158,SFO,@,JAX,W 34-3,16,95,5.9,0,6,56.3,RB
8,Bijan Robinson,95,22,Sun,10,10,11/12/23,21-286,ATL,@,ARI,L 23-25,22,95,4.3,1,6,36.4,RB
9,Rhamondre Stevenson,88,20,Sun,10,10,11/12/23,25-262,NWE,,IND,L 6-10,20,88,4.4,0,6,65,RB
10,Najee Harris,82,16,Sun,9,10,11/12/23,25-248,PIT,,GNB,W 23-19,16,82,5.1,1,4,43.8,RB
11,D'Onta Foreman,80,21,Thu,10,10,11/9/23,27-199,CHI,,CAR,W 16-13,21,80,3.8,1,6,57.1,RB
12,Rico Dowdle,79,12,Sun,9,10,11/12/23,25-151,DAL,,NYG,W 49-17,12,79,6.6,1,5,50,RB
13,Javonte Williams,79,21,Mon,9,10,11/13/23,23-202,DEN,@,BUF,W 24-22,21,79,3.8,0,2,38.1,RB
14,Jahmyr Gibbs,77,14,Sun,9,10,11/12/23,21-237,DET,@,LAC,W 41-38,14,77,5.5,2,4,42.9,RB
15,James Conner,73,16,Sun,10,10,11/12/23,28-191,ARI,,ATL,W 25-23,16,73,4.6,0,5,56.3,RB
16,AJ Dillon,70,9,Sun,9,10,11/12/23,25-194,GNB,@,PIT,L 19-23,9,70,7.8,0,2,55.6,RB
17,Jonathan Taylor,69,23,Sun,10,10,11/12/23,24-297,IND,@,NWE,W 10-6,23,69,3,1,4,60.9,RB
18,Latavius Murray,68,9,Mon,10,10,11/13/23,33-299,BUF,,DEN,L 22-24,9,68,7.6,1,7,100,RB
19,Austin Ekeler,67,19,Sun,9,10,11/12/23,28-179,LAC,,DET,L 38-41,19,67,3.5,1,3,42.1,RB
20,Saquon Barkley,66,13,Sun,10,10,11/12/23,26-276,NYG,@,DAL,L 17-49,13,66,5.1,0,5,46.2,RB
21,Kenneth Walker III,63,19,Sun,9,10,11/12/23,23-023,SEA,,WAS,W 29-26,19,63,3.3,0,2,42.1,RB
22,Tony Pollard,55,15,Sun,9,10,11/12/23,26-196,DAL,,NYG,W 49-17,15,55,3.7,0,3,40,RB
