Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Brock Purdy,148.9,26,Sun,9,10,11/12/23,23-320,SFO,@,JAX,W 34-3,19,26,7,73.1,296,3,0,0,11.5,0,148.9,2,9,7.14,11.4,13.69,12.39,15.6,57.1,QB
2,Dak Prescott,138.3,35,Sun,9,10,11/12/23,30-106,DAL,,NYG,W 49-17,26,35,9,74.3,404,4,1,0,11.4,2.9,138.3,0,0,0,11.5,12.54,12.54,15.5,62.9,QB
3,Jared Goff,122.4,33,Sun,9,10,11/12/23,29-029,DET,@,LAC,W 41-38,23,33,10,69.7,333,2,0,0,6.1,0,122.4,0,0,0,10.1,11.3,11.3,14.5,54.5,QB
4,Russell Wilson,117.4,29,Mon,9,10,11/13/23,34-349,DEN,@,BUF,W 24-22,24,29,5,82.8,193,2,0,0,6.9,0,117.4,4,15,12.12,6.7,8.03,6.61,8,45.5,QB
5,Justin Herbert,114.9,40,Sun,9,10,11/12/23,25-247,LAC,,DET,L 38-41,27,40,13,67.5,323,4,1,0,10,2.5,114.9,0,0,0,8.1,8.95,8.95,12,57.5,QB
6,Sam Howell,109.3,44,Sun,10,10,11/12/23,23-057,WAS,@,SEA,L 26-29,29,44,15,65.9,312,3,0,0,6.8,0,109.3,3,24,6.38,7.1,8.45,7.4,10.8,40.4,QB
7,Geno Smith,103.9,47,Sun,9,10,11/12/23,33-033,SEA,,WAS,W 29-26,31,47,16,66,369,2,0,0,4.3,0,103.9,1,0,2.08,7.9,8.7,8.52,11.9,45.8,QB
8,Baker Mayfield,102.4,29,Sun,9,10,11/12/23,28-212,TAM,,TEN,W 20-6,18,29,11,62.1,278,2,1,0,6.9,3.4,102.4,3,15,9.38,9.6,9.41,8.06,15.4,50,QB
9,Joshua Dobbs,101.1,34,Sun,10,10,11/12/23,28-290,MIN,,NOR,W 27-19,23,34,11,67.6,268,1,0,0,2.9,0,101.1,1,5,2.86,7.9,8.47,8.09,11.7,51.4,QB
10,Joe Burrow,90.3,40,Sun,9,10,11/12/23,26-337,CIN,,HOU,L 27-30,27,40,13,67.5,347,2,2,0,5,5,90.3,4,33,9.09,8.7,7.43,6,12.9,34.1,QB
11,Derek Carr,87.7,18,Sun,10,10,11/12/23,32-229,NOR,@,MIN,L 19-27,13,18,5,72.2,110,0,0,0,0,0,87.7,2,12,10,6.1,6.11,4.9,8.5,45,QB
12,C.J. Stroud,87.1,39,Sun,9,10,11/12/23,22-040,HOU,@,CIN,W 30-27,23,39,16,59,356,1,1,0,2.6,2.6,87.1,1,0,2.5,9.1,8.49,8.28,15.5,50,QB
