Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Christian McCaffrey,145,16,Sun,13,14,12/10/23,27-186,SFO,,SEA,W 28-16,16,145,9.1,0,4,37.5,RB
2,Kyren Williams,114,25,Sun,13,14,12/10/23,23-106,LAR,@,BAL,L 31-37 (OT),25,114,4.6,0,5,56,RB
3,Rachaad White,102,25,Sun,13,14,12/10/23,24-332,TAM,@,ATL,W 29-25,25,102,4.1,0,5,56,RB
4,Raheem Mostert,96,21,Mon,13,14,12/11/23,31-246,MIA,,TEN,L 27-28,21,96,4.6,2,7,61.9,RB
5,Chuba Hubbard,87,23,Sun,13,14,12/10/23,24-182,CAR,@,NOR,L 6-28,23,87,3.8,0,5,52.2,RB
6,Saquon Barkley,86,20,Mon,13,14,12/11/23,26-305,NYG,,GNB,W 24-22,20,86,4.3,2,4,45,RB
7,Joe Mixon,79,21,Sun,13,14,12/10/23,27-139,CIN,,IND,W 34-14,21,79,3.8,1,4,52.4,RB
8,Miles Sanders,74,10,Sun,13,14,12/10/23,26-223,CAR,@,NOR,L 6-28,10,74,7.4,0,2,60,RB
9,Tommy DeVito,71,10,Mon,13,14,12/11/23,25-126,NYG,,GNB,W 24-22,10,71,7.1,0,3,70,QB
10,Lamar Jackson,70,11,Sun,13,14,12/10/23,26-337,BAL,,LAR,W 37-31 (OT),11,70,6.4,0,4,54.5,QB
11,Ezekiel Elliott,68,22,Thu,13,14,12/7/23,28-138,NWE,@,PIT,W 21-18,22,68,3.1,0,2,36.4,RB
12,Jahmyr Gibbs,66,11,Sun,13,14,12/10/23,21-265,DET,@,CHI,L 13-28,11,66,6,1,3,63.6,RB
13,Alexander Mattison,66,10,Sun,13,14,12/10/23,25-174,MIN,@,LVR,W 3-0,10,66,6.6,0,3,80,RB
14,David Montgomery,66,10,Sun,13,14,12/10/23,26-186,DET,@,CHI,L 13-28,10,66,6.6,0,3,60,RB
15,Javonte Williams,66,17,Sun,13,14,12/10/23,23-229,DEN,@,LAC,W 24-7,17,66,3.9,1,4,35.3,RB
16,Devin Singletary,65,13,Sun,13,14,12/10/23,26-098,HOU,@,NYJ,L 6-30,13,65,5,1,3,46.2,RB
17,Tony Pollard,59,16,Sun,13,14,12/10/23,26-224,DAL,,PHI,W 33-13,16,59,3.7,0,3,43.8,RB
18,James Cook,58,10,Sun,13,14,12/10/23,24-076,BUF,@,KAN,W 20-17,10,58,5.8,0,3,40,RB
19,Justin Fields,58,12,Sun,13,14,12/10/23,24-280,CHI,,DET,W 28-13,12,58,4.8,1,4,33.3,QB
20,Alvin Kamara,56,12,Sun,13,14,12/10/23,28-138,NOR,,CAR,W 28-6,12,56,4.7,1,2,66.7,RB
21,Keaton Mitchell,54,9,Sun,13,14,12/10/23,21-327,BAL,,LAR,W 37-31 (OT),9,54,6,0,2,66.7,RB
22,AJ Dillon,53,15,Mon,13,14,12/11/23,25-223,GNB,@,NYG,L 22-24,15,53,3.5,0,2,53.3,RB
23,Austin Ekeler,51,10,Sun,13,14,12/10/23,28-207,LAC,,DEN,L 7-24,10,51,5.1,1,3,80,RB
24,Jerome Ford,51,12,Sun,13,14,12/10/23,24-001,CLE,,JAX,W 31-27,12,51,4.3,0,1,33.3,RB
25,D'Onta Foreman,50,11,Sun,13,14,12/10/23,27-230,CHI,,DET,W 28-13,11,50,4.5,0,2,54.5,RB
26,De'Von Achane,47,7,Mon,13,14,12/11/23,22-059,MIA,,TEN,L 27-28,7,47,6.7,0,2,42.9,RB
27,Rico Dowdle,46,12,Sun,13,14,12/10/23,25-179,DAL,,PHI,W 33-13,12,46,3.8,1,1,41.7,RB
28,Zach Charbonnet,44,9,Sun,13,14,12/10/23,22-336,SEA,@,SFO,L 16-28,9,44,4.9,0,2,33.3,RB
29,Jamaal Williams,43,11,Sun,13,14,12/10/23,28-251,NOR,,CAR,W 28-6,11,43,3.9,0,3,54.5,RB
30,Tyler Allgeier,40,9,Sun,13,14,12/10/23,23-239,ATL,,TAM,L 25-29,9,40,4.4,0,2,55.6,RB
31,Chase Edmonds,40,8,Sun,13,14,12/10/23,27-241,TAM,@,ATL,W 29-25,8,40,5,0,1,62.5,RB
32,Breece Hall,40,10,Sun,13,14,12/10/23,22-193,NYJ,,HOU,W 30-6,10,40,4,0,2,30,RB
33,Bryce Young,40,3,Sun,13,14,12/10/23,22-138,CAR,@,NOR,L 6-28,3,40,13.3,0,3,100,QB
34,Clyde Edwards-Helaire,39,11,Sun,13,14,12/10/23,24-243,KAN,,BUF,L 17-20,11,39,3.5,0,2,54.5,RB
35,D'Andre Swift,39,11,Sun,13,14,12/10/23,24-330,PHI,@,DAL,L 13-33,11,39,3.5,0,2,63.6,RB
36,Jayden Reed,38,4,Mon,13,14,12/11/23,23-227,GNB,@,NYG,L 22-24,4,38,9.5,1,2,50,WR
37,Wan'Dale Robinson,36,2,Mon,13,14,12/11/23,22-340,NYG,,GNB,W 24-22,2,36,18,0,1,100,WR
38,Ty Chandler,35,12,Sun,13,14,12/10/23,25-212,MIN,@,LVR,W 3-0,12,35,2.9,0,1,33.3,RB
39,Travis Etienne,35,14,Sun,13,14,12/10/23,24-318,JAX,@,CLE,L 27-31,14,35,2.5,1,2,35.7,RB
40,Derrick Henry,34,17,Mon,13,14,12/11/23,29-341,TEN,@,MIA,W 28-27,17,34,2,2,3,23.5,RB
41,Josh Jacobs,34,13,Sun,13,14,12/10/23,25-302,LVR,,MIN,L 0-3,13,34,2.6,0,1,30.8,RB
42,Bijan Robinson,34,10,Sun,13,14,12/10/23,21-314,ATL,,TAM,L 25-29,10,34,3.4,1,2,50,RB
43,Josh Allen,32,10,Sun,13,14,12/10/23,27-203,BUF,@,KAN,W 20-17,10,32,3.2,1,3,50,QB
44,Jalen Hurts,30,5,Sun,13,14,12/10/23,25-125,PHI,@,DAL,L 13-33,5,30,6,0,2,80,QB
45,Patrick Taylor,30,4,Mon,13,14,12/11/23,25-226,GNB,@,NYG,L 22-24,4,30,7.5,0,2,100,RB
46,Mitchell Trubisky,30,8,Thu,13,14,12/7/23,29-109,PIT,,NWE,L 18-21,8,30,3.8,1,4,50,QB
