Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,Kareem Hunt,3,1,Sun,13,14,12/10/23,28-126,CLE,,JAX,W 31-27,1,1,3,3,0,100,3,0,0,RB
202,Charlie Woerner,3,1,Sun,13,14,12/10/23,26-055,SFO,,SEA,W 28-16,1,1,3,3,0,100,3,,0,TE
203,Mo Alie-Cox,2,1,Sun,13,14,12/10/23,30-082,IND,@,CIN,L 14-34,1,1,2,2,1,100,2,1,100,TE
204,Ty Johnson,2,2,Sun,13,14,12/10/23,26-084,BUF,@,KAN,W 20-17,2,2,2,1,0,100,1,0,0,RB
205,Tommy Tremble,2,3,Sun,13,14,12/10/23,23-191,CAR,@,NOR,L 6-28,3,1,2,2,0,33.3,0.7,,0,TE
206,Treylon Burks,1,3,Mon,13,14,12/11/23,23-263,TEN,@,MIA,W 28-27,3,1,1,1,0,33.3,0.3,,0,WR
207,Michael Burton,1,1,Sun,13,14,12/10/23,31-312,DEN,@,LAC,W 24-7,1,1,1,1,0,100,1,0,0,FB
208,Tutu Atwell,0,1,Sun,13,14,12/10/23,24-064,LAR,@,BAL,L 31-37 (OT),1,0,0,,0,0,0,,0,WR
209,Noah Brown,0,5,Sun,13,14,12/10/23,27-338,HOU,@,NYJ,L 6-30,5,0,0,,0,0,0,,0,WR
210,Gabriel Davis,0,2,Sun,13,14,12/10/23,24-253,BUF,@,KAN,W 20-17,2,0,0,,0,0,0,,0,WR
211,Jauan Jennings,0,1,Sun,13,14,12/10/23,26-153,SFO,,SEA,W 28-16,1,0,0,,0,0,0,,0,WR
212,Ko Kieft,0,1,Sun,13,14,12/10/23,25-324,TAM,@,ATL,W 29-25,1,0,0,,0,0,0,,0,TE
213,Alexander Mattison,0,1,Sun,13,14,12/10/23,25-174,MIN,@,LVR,W 3-0,1,0,0,,0,0,0,0,0,RB
214,Scott Miller,0,3,Sun,13,14,12/10/23,26-132,ATL,,TAM,L 25-29,3,0,0,,0,0,0,,0,WR
215,Skyy Moore,0,1,Sun,13,14,12/10/23,23-091,KAN,,BUF,L 17-20,1,0,0,,0,0,0,,0,WR
216,Andrew Ogletree,0,2,Sun,13,14,12/10/23,25-135,IND,@,CIN,L 14-34,2,0,0,,0,0,0,,0,TE
217,Josh Oliver,0,1,Sun,13,14,12/10/23,26-264,MIN,@,LVR,W 3-0,1,0,0,,0,0,0,,0,TE
218,Brandon Powell,0,1,Sun,13,14,12/10/23,28-089,MIN,@,LVR,W 3-0,1,0,0,,0,0,0,,0,WR
219,Jalen Reagor,0,1,Thu,13,14,12/7/23,24-339,NWE,@,PIT,W 21-18,1,0,0,,0,0,0,,0,WR
220,Devin Singletary,0,3,Sun,13,14,12/10/23,26-098,HOU,@,NYJ,L 6-30,3,0,0,,0,0,0,0,0,RB
221,Ihmir Smith-Marsette,0,1,Sun,13,14,12/10/23,24-103,CAR,@,NOR,L 6-28,1,0,0,,0,0,0,0,0,WR
222,Stephen Sullivan,0,4,Sun,13,14,12/10/23,27-012,CAR,@,NOR,L 6-28,4,0,0,,0,0,0,,0,TE
223,Jalen Tolbert,0,1,Sun,13,14,12/10/23,24-286,DAL,,PHI,W 33-13,1,0,0,,0,0,0,,0,WR
224,Tre Tucker,0,1,Sun,13,14,12/10/23,22-277,LVR,,MIN,L 0-3,1,0,0,,0,0,0,,0,WR
225,KaVontae Turpin,0,1,Sun,13,14,12/10/23,27-130,DAL,,PHI,W 33-13,1,0,0,,0,0,0,0,0,WR
226,Mitchell Wilcox,0,1,Sun,13,14,12/10/23,27-033,CIN,,IND,W 34-14,1,1,0,0,0,100,0,,0,TE
227,Jamaal Williams,0,1,Sun,13,14,12/10/23,28-251,NOR,,CAR,W 28-6,1,0,0,,0,0,0,0,0,RB
228,Jameson Williams,0,2,Sun,13,14,12/10/23,22-259,DET,@,CHI,L 13-28,2,0,0,,0,0,0,,0,WR
229,Kyren Williams,-1,4,Sun,13,14,12/10/23,23-106,LAR,@,BAL,L 31-37 (OT),4,3,-1,-0.3,0,75,-0.3,0,0,RB
230,Trayveon Williams,-1,1,Sun,13,14,12/10/23,26-053,CIN,,IND,W 34-14,1,1,-1,-1,0,100,-1,,0,RB
231,Tyler Goodson,-2,1,Sun,13,14,12/10/23,23-030,IND,@,CIN,L 14-34,1,1,-2,-2,0,100,-2,,0,RB
232,Dameon Pierce,-2,1,Sun,13,14,12/10/23,23-294,HOU,@,NYJ,L 6-30,1,1,-2,-2,0,100,-2,,0,RB
233,Robert Woods,-2,3,Sun,13,14,12/10/23,31-244,HOU,@,NYJ,L 6-30,3,1,-2,-2,0,33.3,-0.7,,0,WR
234,Khari Blasingame,-3,1,Sun,13,14,12/10/23,27-162,CHI,,DET,W 28-13,1,1,-3,-3,0,100,-3,,0,FB
235,Dalvin Cook,-5,1,Sun,13,14,12/10/23,28-122,NYJ,,HOU,W 30-6,1,1,-5,-5,0,100,-5,,0,RB
236,Alvin Kamara,-11,4,Sun,13,14,12/10/23,28-138,NOR,,CAR,W 28-6,4,3,-11,-3.7,0,75,-2.8,0,25,RB
,,,,,,,,,,,,,,,,,,,,,,
