Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,A.J. Brown,175,13,Sun,4,4,10/1/23,26-093,PHI,,WAS,W 34-31 (OT),13,9,175,19.4,2,69.2,13.5,7,61.5,WR
2,Nico Collins,168,9,Sun,4,4,10/1/23,24-196,HOU,,PIT,W 30-6,9,7,168,24,2,77.8,18.7,7,77.8,WR
3,Puka Nacua,163,10,Sun,4,4,10/1/23,22-125,LAR,@,IND,W 29-23 (OT),10,9,163,18.1,1,90,16.3,8,90,WR
4,Brandon Aiyuk,148,6,Sun,4,4,10/1/23,25-198,SFO,,ARI,W 35-16,6,6,148,24.7,0,100,24.7,6,100,WR
5,D.J. Moore,131,9,Sun,4,4,10/1/23,26-170,CHI,,DEN,L 28-31,9,8,131,16.4,1,88.9,14.6,7,77.8,WR
6,Stefon Diggs,120,7,Sun,4,4,10/1/23,29-306,BUF,,MIA,W 48-20,7,6,120,20,3,85.7,17.1,5,85.7,WR
7,Chris Godwin,114,11,Sun,4,4,10/1/23,27-216,TAM,@,NOR,W 26-9,11,8,114,14.3,0,72.7,10.4,5,63.6,WR
8,Marquise Brown,96,10,Sun,4,4,10/1/23,26-119,ARI,@,SFO,L 16-35,10,7,96,13.7,0,70,9.6,5,70,WR
9,Romeo Doubs,95,13,Thu,4,4,9/28/23,23-168,GNB,,DET,L 20-34,13,9,95,10.6,0,69.2,7.3,4,38.5,WR
10,Jonnu Smith,95,6,Sun,4,4,10/1/23,28-040,ATL,@,JAX,L 7-23,6,6,95,15.8,0,100,15.8,4,83.3,TE
11,Terry McLaurin,86,10,Sun,4,4,10/1/23,28-016,WAS,@,PHI,L 31-34 (OT),10,8,86,10.8,0,80,8.6,4,60,WR
12,Justin Jefferson,85,9,Sun,4,4,10/1/23,24-107,MIN,@,CAR,W 21-13,9,6,85,14.2,2,66.7,9.4,6,66.7,WR
13,Cole Kmet,85,9,Sun,4,4,10/1/23,24-205,CHI,,DEN,L 28-31,9,7,85,12.1,2,77.8,9.4,5,55.6,TE
14,Christian Kirk,84,12,Sun,4,4,10/1/23,26-317,JAX,,ATL,W 23-7,12,8,84,10.5,0,66.7,7,4,58.3,WR
15,Josh Jacobs,81,11,Sun,4,4,10/1/23,25-232,LVR,@,LAC,L 17-24,11,8,81,10.1,0,72.7,7.4,4,63.6,RB
16,Mark Andrews,80,5,Sun,4,4,10/1/23,28-025,BAL,@,CLE,W 28-3,5,5,80,16,2,100,16,4,80,TE
17,DeVonta Smith,78,9,Sun,4,4,10/1/23,24-321,PHI,,WAS,W 34-31 (OT),9,7,78,11.1,0,77.8,8.7,2,44.4,WR
18,Jake Ferguson,77,7,Sun,4,4,10/1/23,24-256,DAL,,NWE,W 38-3,7,7,77,11,0,100,11,5,100,TE
19,Josh Palmer,77,8,Sun,4,4,10/1/23,24-009,LAC,,LVR,W 24-17,8,3,77,25.7,0,37.5,9.6,2,37.5,WR
20,Adam Thielen,76,8,Sun,4,4,10/1/23,33-040,CAR,,MIN,L 13-21,8,7,76,10.9,0,87.5,9.5,4,75,WR
21,Michael Wilson,76,7,Sun,4,4,10/1/23,23-220,ARI,@,SFO,L 16-35,7,7,76,10.9,2,100,10.9,4,57.1,WR
22,Davante Adams,75,13,Sun,4,4,10/1/23,30-281,LVR,@,LAC,L 17-24,13,8,75,9.4,0,61.5,5.8,5,53.8,WR
23,Ja'Marr Chase,73,9,Sun,4,4,10/1/23,23-214,CIN,@,TEN,L 3-27,9,7,73,10.4,0,77.8,8.1,4,77.8,WR
24,Christian McCaffrey,71,8,Sun,4,4,10/1/23,27-116,SFO,,ARI,W 35-16,8,7,71,10.1,1,87.5,8.9,7,87.5,RB
25,Josh Reynolds,69,6,Thu,4,4,9/28/23,28-224,DET,@,GNB,W 34-20,6,3,69,23,0,50,11.5,3,50,WR
26,Tyler Higbee,64,11,Sun,4,4,10/1/23,30-273,LAR,@,IND,W 29-23 (OT),11,5,64,12.8,0,45.5,5.8,3,36.4,TE
27,Noah Fant,63,2,Mon,4,4,10/2/23,25-316,SEA,@,NYG,W 24-3,2,2,63,31.5,0,100,31.5,2,100,TE
28,DeAndre Hopkins,63,6,Sun,4,4,10/1/23,31-117,TEN,,CIN,W 27-3,6,4,63,15.8,0,66.7,10.5,3,66.7,WR
29,Gabriel Davis,61,3,Sun,4,4,10/1/23,24-183,BUF,,MIA,W 48-20,3,3,61,20.3,1,100,20.3,2,100,WR
30,Allen Lazard,61,3,Sun,4,4,10/1/23,27-294,NYJ,,KAN,L 20-23,3,3,61,20.3,1,100,20.3,3,100,WR
31,Michael Gallup,60,6,Sun,4,4,10/1/23,27-211,DAL,,NWE,W 38-3,6,5,60,12,0,83.3,10,2,50,WR
32,Travis Kelce,60,9,Sun,4,4,10/1/23,33-361,KAN,@,NYJ,W 23-20,9,6,60,10,0,66.7,6.7,4,55.6,TE
33,Garrett Wilson,60,14,Sun,4,4,10/1/23,23-071,NYJ,,KAN,L 20-23,14,9,60,6.7,0,64.3,4.3,3,28.6,WR
34,Evan Engram,59,8,Sun,4,4,10/1/23,29-029,JAX,,ATL,W 23-7,8,7,59,8.4,0,87.5,7.4,3,62.5,TE
35,Tyler Conklin,58,6,Sun,4,4,10/1/23,28-063,NYJ,,KAN,L 20-23,6,4,58,14.5,0,66.7,9.7,2,50,TE
36,Tyreek Hill,58,5,Sun,4,4,10/1/23,29-214,MIA,@,BUF,L 20-48,5,3,58,19.3,0,60,11.6,3,60,WR
37,Zay Flowers,56,4,Sun,4,4,10/1/23,23-020,BAL,@,CLE,W 28-3,4,3,56,18.7,0,75,14,2,75,WR
38,Sam LaPorta,56,5,Thu,4,4,9/28/23,22-259,DET,@,GNB,W 34-20,5,4,56,14,0,80,11.2,2,80,TE
39,Terrace Marshall Jr.,56,10,Sun,4,4,10/1/23,23-114,CAR,,MIN,L 13-21,10,9,56,6.2,0,90,5.6,2,50,WR
40,Amon-Ra St. Brown,56,7,Thu,4,4,9/28/23,23-339,DET,@,GNB,W 34-20,7,5,56,11.2,1,71.4,8,4,57.1,WR
41,Jayden Reed,55,5,Thu,4,4,9/28/23,23-153,GNB,,DET,L 20-34,5,3,55,18.3,0,60,11,1,60,WR
42,Tyler Lockett,54,6,Mon,4,4,10/2/23,31-004,SEA,@,NYG,W 24-3,6,4,54,13.5,0,66.7,9,1,66.7,WR
43,Zach Ertz,53,10,Sun,4,4,10/1/23,32-325,ARI,@,SFO,L 16-35,10,6,53,8.8,0,60,5.3,2,50,TE
44,Michael Thomas,53,6,Sun,4,4,10/1/23,30-212,NOR,,TAM,L 9-26,6,4,53,13.3,0,66.7,8.8,4,66.7,WR
45,Jalen Tolbert,53,4,Sun,4,4,10/1/23,24-216,DAL,,NWE,W 38-3,4,4,53,13.3,0,100,13.3,3,100,WR
46,Jerry Jeudy,52,5,Sun,4,4,10/1/23,24-160,DEN,@,CHI,W 31-28,5,3,52,17.3,0,60,10.4,2,60,WR
47,Dyami Brown,51,3,Sun,4,4,10/1/23,23-334,WAS,@,PHI,L 31-34 (OT),3,2,51,25.5,0,66.7,17,2,66.7,WR
