Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Derrick Henry,122,22,Sun,4,4,10/1/23,29-270,TEN,,CIN,W 27-3,22,122,5.5,1,7,45.5,RB
2,David Montgomery,121,32,Thu,4,4,9/28/23,26-113,DET,@,GNB,W 34-20,32,121,3.8,3,9,50,RB
3,Isiah Pacheco,115,20,Sun,4,4,10/1/23,24-213,KAN,@,NYJ,W 23-20,20,115,5.8,1,5,50,RB
4,Christian McCaffrey,106,20,Sun,4,4,10/1/23,27-116,SFO,,ARI,W 35-16,20,106,5.3,3,8,65,RB
5,Bijan Robinson,105,14,Sun,4,4,10/1/23,21-244,ATL,@,JAX,L 7-23,14,105,7.5,0,5,57.1,RB
6,Khalil Herbert,103,18,Sun,4,4,10/1/23,25-163,CHI,,DEN,L 28-31,18,103,5.7,0,5,55.6,RB
7,Kyren Williams,103,25,Sun,4,4,10/1/23,23-036,LAR,@,IND,W 29-23 (OT),25,103,4.1,2,6,56,RB
8,De'Von Achane,101,8,Sun,4,4,10/1/23,21-353,MIA,@,BUF,L 20-48,8,101,12.6,2,4,75,RB
9,Alexander Mattison,95,17,Sun,4,4,10/1/23,25-104,MIN,@,CAR,W 21-13,17,95,5.6,0,3,41.2,RB
10,Dameon Pierce,81,24,Sun,4,4,10/1/23,23-224,HOU,,PIT,W 30-6,24,81,3.4,0,4,37.5,RB
11,Kenneth Walker III,79,17,Mon,4,4,10/2/23,22-347,SEA,@,NYG,W 24-3,17,79,4.6,1,4,47.1,RB
12,Jaleel McLaughlin,72,7,Sun,4,4,10/1/23,23-018,DEN,@,CHI,W 31-28,7,72,10.3,0,3,71.4,RB
13,Najee Harris,71,14,Sun,4,4,10/1/23,25-206,PIT,@,HOU,L 6-30,14,71,5.1,0,3,57.1,RB
14,Zack Moss,70,18,Sun,4,4,10/1/23,25-290,IND,,LAR,L 23-29 (OT),18,70,3.9,0,3,44.4,RB
15,Joe Mixon,67,14,Sun,4,4,10/1/23,27-069,CIN,@,TEN,L 3-27,14,67,4.8,0,4,64.3,RB
16,Daniel Jones,66,10,Mon,4,4,10/2/23,26-128,NYG,,SEA,L 3-24,10,66,6.6,0,4,50,QB
17,Joshua Kelley,65,17,Sun,4,4,10/1/23,25-315,LAC,,LVR,W 24-17,17,65,3.8,0,3,29.4,RB
18,Josh Jacobs,58,17,Sun,4,4,10/1/23,25-232,LVR,@,LAC,L 17-24,17,58,3.4,1,4,58.8,RB
19,Breece Hall,56,6,Sun,4,4,10/1/23,22-123,NYJ,,KAN,L 20-23,6,56,9.3,0,2,33.3,RB
20,Anthony Richardson,56,10,Sun,4,4,10/1/23,21-132,IND,,LAR,L 23-29 (OT),10,56,5.6,1,3,70,QB
21,D'Andre Swift,56,14,Sun,4,4,10/1/23,24-260,PHI,,WAS,W 34-31 (OT),14,56,4,1,1,71.4,RB
22,Rachaad White,56,15,Sun,4,4,10/1/23,24-262,TAM,@,NOR,W 26-9,15,56,3.7,0,3,53.3,RB
23,Travis Etienne,55,20,Sun,4,4,10/1/23,24-248,JAX,,ATL,W 23-7,20,55,2.8,0,1,30,RB
24,James Conner,52,11,Sun,4,4,10/1/23,28-149,ARI,@,SFO,L 16-35,11,52,4.7,0,1,54.5,RB
25,Derius Davis,51,3,Sun,4,4,10/1/23,23-020,LAC,,LVR,W 24-17,3,51,17,0,1,33.3,WR
26,Alvin Kamara,51,11,Sun,4,4,10/1/23,28-068,NOR,,TAM,L 9-26,11,51,4.6,0,2,54.5,RB
27,Patrick Mahomes,51,7,Sun,4,4,10/1/23,28-014,KAN,@,NYJ,W 23-20,7,51,7.3,0,4,71.4,QB
28,Pierre Strong,49,5,Sun,4,4,10/1/23,24-295,CLE,,BAL,L 3-28,5,49,9.8,0,1,40,RB
