Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,John Bates,6,1,Sun,4,4,10/1/23,25-329,WAS,@,PHI,L 31-34 (OT),1,1,6,6,0,100,6,,100,TE
202,Daniel Bellinger,6,1,Mon,4,4,10/2/23,23-010,NYG,,SEA,L 3-24,1,1,6,6,0,100,6,,100,TE
203,Ezekiel Elliott,6,3,Sun,4,4,10/1/23,28-071,NWE,@,DAL,L 3-38,3,2,6,3,0,66.7,2,0,33.3,RB
204,Isaiah McKenzie,6,3,Sun,4,4,10/1/23,28-175,IND,,LAR,L 23-29 (OT),3,1,6,6,0,33.3,2,1,33.3,WR
205,Trey Palmer,6,3,Sun,4,4,10/1/23,22-182,TAM,@,NOR,W 26-9,3,2,6,3,1,66.7,2,1,66.7,WR
206,Brian Robinson Jr.,6,2,Sun,4,4,10/1/23,24-193,WAS,@,PHI,L 31-34 (OT),2,2,6,3,0,100,3,0,0,RB
207,Sterling Shepard,6,1,Mon,4,4,10/2/23,30-234,NYG,,SEA,L 3-24,1,1,6,6,0,100,6,,0,WR
208,Marquez Valdes-Scantling,6,2,Sun,4,4,10/1/23,28-356,KAN,@,NYJ,W 23-20,2,1,6,6,0,50,3,1,50,WR
209,Brycen Hopkins,5,1,Sun,4,4,10/1/23,26-188,LAR,@,IND,W 29-23 (OT),1,1,5,5,0,100,5,,100,TE
210,Tucker Kraft,5,2,Thu,4,4,9/28/23,22-329,GNB,,DET,L 20-34,2,2,5,2.5,0,100,2.5,,50,TE
211,Trey McBride,5,1,Sun,4,4,10/1/23,23-313,ARI,@,SFO,L 16-35,1,1,5,5,0,100,5,,100,TE
212,Kendre Miller,5,1,Sun,4,4,10/1/23,21-112,NOR,,TAM,L 9-26,1,1,5,5,0,100,5,,0,RB
213,Adam Prentice,5,2,Sun,4,4,10/1/23,26-258,NOR,,TAM,L 9-26,2,1,5,5,0,50,2.5,,50,FB
