Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,De'Von Achane,203,18,Sun,3,3,9/24/23,21-346,MIA,,DEN,W 70-20,18,203,11.3,2,6,66.7,RB
2,D'Andre Swift,130,16,Mon,3,3,9/25/23,24-254,PHI,@,TAM,W 25-11,16,130,8.1,0,6,68.8,RB
3,Zack Moss,122,30,Sun,3,3,9/24/23,25-283,IND,@,BAL,W 22-19 (OT),30,122,4.1,0,10,43.3,RB
4,Tony Pollard,122,23,Sun,3,3,9/24/23,26-147,DAL,@,ARI,L 16-28,23,122,5.3,0,8,65.2,RB
5,Lamar Jackson,101,14,Sun,3,3,9/24/23,26-260,BAL,,IND,L 19-22 (OT),14,101,7.2,2,8,71.4,QB
6,James Conner,98,14,Sun,3,3,9/24/23,28-142,ARI,,DAL,W 28-16,14,98,7,1,4,57.1,RB
7,James Cook,98,15,Sun,3,3,9/24/23,23-364,BUF,@,WAS,W 37-3,15,98,6.5,0,4,53.3,RB
8,Kenneth Walker III,97,18,Sun,3,3,9/24/23,22-339,SEA,,CAR,W 37-27,18,97,5.4,2,5,55.6,RB
9,Alexander Mattison,93,20,Sun,3,3,9/24/23,25-097,MIN,,LAC,L 24-28,20,93,4.7,0,6,55,RB
10,Travis Etienne,88,19,Sun,3,3,9/24/23,24-241,JAX,,HOU,L 17-37,19,88,4.6,0,5,63.2,RB
11,Christian McCaffrey,85,18,Thu,3,3,9/21/23,27-106,SFO,,NYG,W 30-12,18,85,4.7,1,4,72.2,RB
12,Raheem Mostert,82,13,Sun,3,3,9/24/23,31-168,MIA,,DEN,W 70-20,13,82,6.3,3,5,69.2,RB
13,Ezekiel Elliott,80,16,Sun,3,3,9/24/23,28-064,NWE,@,NYJ,W 15-10,16,80,5,0,4,43.8,RB
14,Jahmyr Gibbs,80,17,Sun,3,3,9/24/23,21-188,DET,,ATL,W 20-6,17,80,4.7,0,3,35.3,RB
15,Brian Robinson Jr.,70,10,Sun,3,3,9/24/23,24-186,WAS,,BUF,L 3-37,10,70,7,0,3,70,RB
16,Chris Brooks,66,9,Sun,3,3,9/24/23,23-256,MIA,,DEN,W 70-20,9,66,7.3,0,1,33.3,RB
17,Najee Harris,65,19,Sun,3,3,9/24/23,25-199,PIT,@,LVR,W 23-18,19,65,3.4,0,2,47.4,RB
18,Joe Mixon,65,19,Mon,3,3,9/25/23,27-063,CIN,,LAR,W 19-16,19,65,3.4,1,5,42.1,RB
19,Josh Jacobs,62,17,Sun,3,3,9/24/23,25-225,LVR,,PIT,L 18-23,17,62,3.6,0,3,58.8,RB
20,Isiah Pacheco,62,15,Sun,3,3,9/24/23,24-206,KAN,,CHI,W 41-10,15,62,4.1,1,5,53.3,RB
21,Rhamondre Stevenson,59,19,Sun,3,3,9/24/23,25-213,NWE,@,NYJ,W 15-10,19,59,3.1,0,2,47.4,RB
22,Joshua Dobbs,55,6,Sun,3,3,9/24/23,28-241,ARI,,DAL,W 28-16,6,55,9.2,0,3,66.7,QB
23,Clyde Edwards-Helaire,55,15,Sun,3,3,9/24/23,24-166,KAN,,CHI,W 41-10,15,55,3.7,1,4,26.7,RB
24,Rondale Moore,54,3,Sun,3,3,9/24/23,23-107,ARI,,DAL,W 28-16,3,54,18,1,1,33.3,WR
25,Gus Edwards,51,11,Sun,3,3,9/24/23,28-164,BAL,,IND,L 19-22 (OT),11,51,4.6,0,3,63.6,RB
26,Justin Fields,47,11,Sun,3,3,9/24/23,24-203,CHI,@,KAN,L 10-41,11,47,4.3,0,4,54.5,QB
27,Josh Allen,46,3,Sun,3,3,9/24/23,27-126,BUF,@,WAS,W 37-3,3,46,15.3,1,3,100,QB
28,Zach Charbonnet,46,9,Sun,3,3,9/24/23,22-259,SEA,,CAR,W 37-27,9,46,5.1,0,5,66.7,RB
29,Kenneth Gainwell,43,14,Mon,3,3,9/25/23,24-195,PHI,@,TAM,W 25-11,14,43,3.1,0,,50,RB
30,Elijah Mitchell,42,11,Thu,3,3,9/21/23,25-142,SFO,,NYG,W 30-12,11,42,3.8,0,2,27.3,RB
31,Javonte Williams,42,11,Sun,3,3,9/24/23,23-152,DEN,@,MIA,L 20-70,11,42,3.8,0,2,36.4,RB
32,Devin Singletary,41,9,Sun,3,3,9/24/23,26-021,HOU,@,JAX,W 37-17,9,41,4.6,0,1,44.4,RB
33,Jordan Love,39,9,Sun,3,3,9/24/23,24-326,GNB,,NOR,W 18-17,9,39,4.3,1,2,44.4,QB
34,Roschon Johnson,38,8,Sun,3,3,9/24/23,22-236,CHI,@,KAN,L 10-41,8,38,4.8,0,1,50,RB
35,Rachaad White,38,14,Mon,3,3,9/25/23,24-256,TAM,,PHI,L 11-25,14,38,2.7,0,1,28.6,RB
36,Kyren Williams,38,10,Mon,3,3,9/25/23,23-030,LAR,@,CIN,L 16-19,10,38,3.8,0,0,60,RB
37,Kendre Miller,34,9,Sun,3,3,9/24/23,21-105,NOR,@,GNB,L 17-18,9,34,3.8,0,3,33.3,RB
38,AJ Dillon,33,11,Sun,3,3,9/24/23,25-145,GNB,,NOR,W 18-17,11,33,3,0,2,45.5,RB
39,Bijan Robinson,33,10,Sun,3,3,9/24/23,21-237,ATL,@,DET,L 6-20,10,33,3.3,0,2,30,RB
40,Melvin Gordon,32,10,Sun,3,3,9/24/23,30-164,BAL,,IND,L 19-22 (OT),10,32,3.2,0,1,20,RB
41,Khalil Herbert,31,7,Sun,3,3,9/24/23,25-156,CHI,@,KAN,L 10-41,7,31,4.4,0,1,42.9,RB
42,Tony Jones,31,8,Sun,3,3,9/24/23,25-304,NOR,@,GNB,L 17-18,8,31,3.9,0,2,50,RB
43,Dameon Pierce,31,14,Sun,3,3,9/24/23,23-217,HOU,@,JAX,W 37-17,14,31,2.2,1,2,42.9,RB
44,Jaylen Warren,29,8,Sun,3,3,9/24/23,24-327,PIT,@,LVR,W 23-18,8,29,3.6,0,1,37.5,RB
45,Jalen Hurts,28,10,Mon,3,3,9/25/23,25-049,PHI,@,TAM,W 25-11,10,28,2.8,1,6,80,QB
46,Patrick Mahomes,28,3,Sun,3,3,9/24/23,28-007,KAN,,CHI,W 41-10,3,28,9.3,0,2,66.7,QB
47,Ty Chandler,27,3,Sun,3,3,9/24/23,25-135,MIN,,LAC,L 24-28,3,27,9,0,1,100,RB
48,Pierre Strong,27,6,Sun,3,3,9/24/23,24-288,CLE,,TEN,W 27-3,6,27,4.5,0,1,66.7,RB
