Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Keenan Allen,158.3,1,Sun,3,3,9/24/23,31-150,LAC,@,MIN,W 28-24,1,1,0,100,49,1,0,0,100,0,158.3,0,0,0,49,69,69,49,100,WR
2,Mike White,158.3,2,Sun,3,3,9/24/23,28-183,MIA,,DEN,W 70-20,2,2,0,100,67,1,0,0,50,0,158.3,0,0,0,33.5,43.5,43.5,33.5,50,QB
3,Tua Tagovailoa,155.8,26,Sun,3,3,9/24/23,25-206,MIA,,DEN,W 70-20,23,26,3,88.5,309,4,0,0,15.4,0,155.8,0,0,0,11.9,14.96,14.96,13.4,76.9,QB
4,Patrick Mahomes,127.3,33,Sun,3,3,9/24/23,28-007,KAN,,CHI,W 41-10,24,33,9,72.7,272,3,0,0,9.1,0,127.3,0,0,0,8.2,10.06,10.06,11.3,60.6,QB
5,Justin Herbert,123.8,47,Sun,3,3,9/24/23,25-198,LAC,@,MIN,W 28-24,40,47,7,85.1,405,3,0,0,6.4,0,123.8,1,9,2.08,8.6,9.89,9.5,10.1,62.5,QB
6,Deshaun Watson,123.4,33,Sun,3,3,9/24/23,28-010,CLE,,TEN,W 27-3,27,33,6,81.8,289,2,0,0,6.1,0,123.4,3,26,8.33,8.8,9.97,8.42,10.7,52.8,QB
7,Joshua Dobbs,120,21,Sun,3,3,9/24/23,28-241,ARI,,DAL,W 28-16,17,21,4,81,189,1,0,0,4.8,0,120,2,11,8.7,9,9.95,8.61,11.1,47.8,QB
8,C.J. Stroud,118.7,30,Sun,3,3,9/24/23,21-356,HOU,@,JAX,W 37-17,20,30,10,66.7,280,2,0,0,6.7,0,118.7,0,0,0,9.3,10.67,10.67,14,53.3,QB
9,Brock Purdy,111.3,37,Thu,3,3,9/21/23,23-268,SFO,,NYG,W 30-12,25,37,12,67.6,310,2,0,0,5.4,0,111.3,2,10,5.13,8.4,9.46,8.72,12.4,46.2,QB
10,Kenny Pickett,108.5,28,Sun,3,3,9/24/23,25-110,PIT,@,LVR,W 23-18,16,28,12,57.1,235,2,0,0,7.1,0,108.5,1,7,3.45,8.4,9.82,9.24,14.7,48.3,QB
11,Derek Carr,104.6,18,Sun,3,3,9/24/23,32-180,NOR,@,GNB,L 17-18,13,18,5,72.2,103,1,0,0,5.6,0,104.6,3,21,14.29,5.7,6.83,4.86,7.9,47.6,QB
12,Kirk Cousins,97.7,50,Sun,3,3,9/24/23,35-036,MIN,,LAC,L 24-28,32,50,18,64,367,3,1,0,6,2,97.7,4,22,7.41,7.3,7.64,6.67,11.5,46.3,QB
