Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Jonathan Taylor,188,30,Sat,17,18,1/6/24,24-352,IND,,HOU,L 19-23,30,188,6.3,1,9,50,RB
2,Breece Hall,178,37,Sun,17,18,1/7/24,22-221,NYJ,@,NWE,W 17-3,37,178,4.8,1,8,43.2,RB
3,Derrick Henry,153,19,Sun,17,18,1/7/24,30-003,TEN,,JAX,W 28-20,19,153,8.1,1,6,47.4,RB
4,James Conner,150,27,Sun,17,18,1/7/24,28-247,ARI,,SEA,L 20-21,27,150,5.6,1,9,37,RB
5,Najee Harris,112,26,Sat,17,18,1/6/24,25-303,PIT,@,BAL,W 17-10,26,112,4.3,1,6,57.7,RB
6,Zamir White,112,25,Sun,17,18,1/7/24,24-111,LVR,,DEN,W 27-14,25,112,4.5,0,7,40,RB
7,Aaron Jones,111,22,Sun,17,18,1/7/24,29-036,GNB,,CHI,W 17-9,22,111,5,0,8,63.6,RB
8,Joe Mixon,111,14,Sun,17,18,1/7/24,27-167,CIN,,CLE,W 31-14,14,111,7.9,1,6,57.1,RB
9,Chuba Hubbard,83,23,Sun,17,18,1/7/24,24-210,CAR,,TAM,L 0-9,23,83,3.6,0,6,34.8,RB
10,Kenneth Walker III,78,17,Sun,17,18,1/7/24,23-079,SEA,@,ARI,W 21-20,17,78,4.6,0,5,47.1,RB
11,Easton Stick,77,13,Sun,17,18,1/7/24,28-114,LAC,,KAN,L 12-13,13,77,5.9,0,5,76.9,QB
12,La'Mical Perine,76,21,Sun,17,18,1/7/24,25-342,KAN,@,LAC,W 13-12,21,76,3.6,0,3,42.9,RB
13,Rachaad White,75,19,Sun,17,18,1/7/24,24-360,TAM,@,CAR,W 9-0,19,75,3.9,0,4,42.1,RB
14,Kendre Miller,73,13,Sun,17,18,1/7/24,21-210,NOR,,ATL,W 48-17,13,73,5.6,1,5,53.8,RB
15,Tony Pollard,70,17,Sun,17,18,1/7/24,26-252,DAL,@,WAS,W 38-10,17,70,4.1,1,4,70.6,RB
16,Ty Chandler,69,12,Sun,17,18,1/7/24,25-240,MIN,@,DET,L 20-30,12,69,5.8,0,3,41.7,RB
17,Josh Allen,67,15,Sun,17,18,1/7/24,27-231,BUF,@,MIA,W 21-14,15,67,4.5,0,8,60,QB
18,Pierre Strong,65,14,Sun,17,18,1/7/24,25-028,CLE,@,CIN,L 14-31,14,65,4.6,0,1,42.9,RB
19,Devin Singletary,63,24,Sat,17,18,1/6/24,26-125,HOU,@,IND,W 23-19,24,63,2.6,1,3,37.5,RB
20,Kenneth Gainwell,62,7,Sun,17,18,1/7/24,24-299,PHI,@,NYG,L 10-27,7,62,8.9,0,3,57.1,RB
21,Travis Etienne,57,16,Sun,17,18,1/7/24,24-346,JAX,@,TEN,L 20-28,16,57,3.6,0,4,50,RB
22,De'Von Achane,56,10,Sun,17,18,1/7/24,22-086,MIA,,BUF,L 14-21,10,56,5.6,1,3,40,RB
23,Carson Wentz,56,17,Sun,17,18,1/7/24,31-008,LAR,@,SFO,W 21-20,17,56,3.3,1,4,58.8,QB
24,Ezekiel Elliott,54,13,Sun,17,18,1/7/24,28-169,NWE,,NYJ,L 3-17,13,54,4.2,0,2,46.2,RB
25,Elijah Mitchell,52,14,Sun,17,18,1/7/24,25-250,SFO,,LAR,L 20-21,14,52,3.7,1,2,71.4,RB
26,Ronnie Rivers,52,13,Sun,17,18,1/7/24,24-341,LAR,@,SFO,W 21-20,13,52,4,0,2,61.5,RB
27,Taysom Hill,51,6,Sun,17,18,1/7/24,33-137,NOR,,ATL,W 48-17,6,51,8.5,0,3,66.7,QB
28,Gus Edwards,48,10,Sat,17,18,1/6/24,28-268,BAL,,PIT,L 10-17,10,48,4.8,0,1,30,RB
29,Saquon Barkley,46,18,Sun,17,18,1/7/24,26-332,NYG,,PHI,W 27-10,18,46,2.6,2,6,50,RB
30,Rico Dowdle,46,9,Sun,17,18,1/7/24,25-207,DAL,@,WAS,W 38-10,9,46,5.1,0,2,66.7,RB
31,Blaine Gabbert,46,5,Sun,17,18,1/7/24,34-084,KAN,@,LAC,W 13-12,5,46,9.2,0,2,60,QB
