Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Derek Carr,145.5,28,Sun,17,18,1/7/24,32-285,NOR,,ATL,W 48-17,22,28,6,78.6,264,4,0,0,14.3,0,145.5,2,17,6.67,9.4,12.29,10.9,12,53.3,QB
2,C.J. Stroud,134.1,26,Sat,17,18,1/6/24,22-095,HOU,@,IND,W 23-19,20,26,6,76.9,264,2,0,0,7.7,0,134.1,2,18,7.14,10.2,11.69,10.21,13.2,50,QB
3,Jordan Love,128.6,32,Sun,17,18,1/7/24,25-066,GNB,,CHI,W 17-9,27,32,5,84.4,316,2,0,0,6.3,0,128.6,1,8,3.03,9.9,11.13,10.55,11.7,69.7,QB
4,Jared Goff,124.5,32,Sun,17,18,1/7/24,29-085,DET,,MIN,W 30-20,23,32,9,71.9,320,2,0,0,6.3,0,124.5,1,9,3.03,10,11.25,10.64,13.9,57.6,QB
5,Dak Prescott,124.4,36,Sun,17,18,1/7/24,30-162,DAL,@,WAS,W 38-10,31,36,5,86.1,279,4,1,0,11.1,2.8,124.4,0,0,0,7.8,8.72,8.72,9,77.8,QB
6,Mason Rudolph,115,20,Sat,17,18,1/6/24,28-173,PIT,@,BAL,W 17-10,18,20,2,90,152,1,0,0,5,0,115,3,18,13.04,7.6,8.6,6.7,8.4,47.8,QB
7,Jake Browning,113.9,24,Sun,17,18,1/7/24,27-271,CIN,,CLE,W 31-14,18,24,6,75,156,3,1,0,12.5,4.2,113.9,2,22,7.69,6.5,7.13,5.73,8.7,50,QB
8,Desmond Ridder,111.9,30,Sun,17,18,1/7/24,24-129,ATL,@,NOR,L 17-48,22,30,8,73.3,291,2,1,0,6.7,3.3,111.9,0,0,0,9.7,9.53,9.53,13.2,56.7,QB
9,Kyler Murray,110.7,30,Sun,17,18,1/7/24,26-153,ARI,,SEA,L 20-21,22,30,8,73.3,262,1,0,0,3.3,0,110.7,1,2,3.23,8.7,9.4,9.03,11.9,51.6,QB
10,Aidan O'Connell,110.1,31,Sun,17,18,1/7/24,25-128,LVR,,DEN,W 27-14,20,31,11,64.5,244,2,0,0,6.5,0,110.1,2,14,6.06,7.9,9.16,8.18,12.2,51.5,QB
11,Josh Allen,101.6,38,Sun,17,18,1/7/24,27-231,BUF,@,MIA,W 21-14,30,38,8,78.9,359,2,2,0,5.3,5.3,101.6,3,14,7.32,9.4,8.13,7.2,12,61,QB
12,Geno Smith,101.6,28,Sun,17,18,1/7/24,33-089,SEA,@,ARI,W 21-20,16,28,12,57.1,189,2,0,0,7.1,0,101.6,0,0,0,6.8,8.18,8.18,11.8,46.4,QB
13,Carson Wentz,99.8,24,Sun,17,18,1/7/24,31-008,LAR,@,SFO,W 21-20,17,24,7,70.8,163,2,1,0,8.3,4.2,99.8,2,14,7.69,6.8,6.58,5.54,9.6,57.7,QB
14,Tyrod Taylor,98,32,Sun,17,18,1/7/24,34-157,NYG,,PHI,W 27-10,23,32,9,71.9,297,1,1,0,3.1,3.1,98,1,5,3.03,9.3,8.5,8.09,12.9,57.6,QB
