Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,Jalin Hyatt,5,2,Sun,17,18,1/7/24,22-104,NYG,,PHI,W 27-10,2,1,5,5,0,50,2.5,,0,WR
202,Terrace Marshall Jr.,5,1,Sun,17,18,1/7/24,23-212,CAR,,TAM,L 0-9,1,1,5,5,0,100,5,,100,WR
203,Alexander Mattison,5,1,Sun,17,18,1/7/24,25-202,MIN,@,DET,L 20-30,1,1,5,5,0,100,5,0,0,RB
204,John Metchie,5,2,Sat,17,18,1/6/24,23-172,HOU,@,IND,W 23-19,2,1,5,5,0,50,2.5,,0,WR
205,Eric Saubert,5,1,Sat,17,18,1/6/24,29-250,HOU,@,IND,W 23-19,1,1,5,5,0,100,5,1,100,TE
206,Ian Thomas,5,2,Sun,17,18,1/7/24,27-215,CAR,,TAM,L 0-9,2,1,5,5,0,50,2.5,,0,TE
207,Tyler Boyd,4,2,Sun,17,18,1/7/24,29-053,CIN,,CLE,W 31-14,2,1,4,4,0,50,2,,0,WR
208,Randall Cobb,4,1,Sun,17,18,1/7/24,33-138,NYJ,@,NWE,W 17-3,1,1,4,4,0,100,4,,0,WR
209,Gerald Everett,4,1,Sun,17,18,1/7/24,29-196,LAC,,KAN,L 12-13,1,1,4,4,0,100,4,,100,TE
210,Xavier Gipson,4,5,Sun,17,18,1/7/24,22-305,NYJ,@,NWE,W 17-3,5,1,4,4,0,20,0.8,,20,WR
211,Dallas Goedert,4,3,Sun,17,18,1/7/24,29-004,PHI,@,NYG,L 10-27,3,1,4,4,0,33.3,1.3,,33.3,TE
212,Kevin Harris,4,1,Sun,17,18,1/7/24,23-051,NWE,,NYJ,L 3-17,1,1,4,4,0,100,4,,0,RB
213,Connor Heyward,4,2,Sat,17,18,1/6/24,24-349,PIT,@,BAL,W 17-10,2,2,4,2,0,100,2,1,50,TE
214,Sam Howell,4,1,Sun,17,18,1/7/24,23-113,WAS,,DAL,L 10-38,1,1,4,4,0,100,4,0,0,QB
215,Dan Skipper,4,1,Sun,17,18,1/7/24,29-109,DET,,MIN,W 30-20,1,1,4,4,0,100,4,,100,T
216,Blake Bell,3,2,Sun,17,18,1/7/24,32-153,KAN,@,LAC,W 13-12,2,1,3,3,0,50,1.5,,0,TE
217,DeAndre Carter,3,1,Sun,17,18,1/7/24,30-272,LVR,,DEN,W 27-14,1,1,3,3,0,100,3,,0,WR
218,Chase Claypool,3,2,Sun,17,18,1/7/24,25-184,MIA,,BUF,L 14-21,2,1,3,3,0,50,1.5,,0,WR
219,Foster Moreau,3,1,Sun,17,18,1/7/24,26-246,NOR,,ATL,W 48-17,1,1,3,3,0,100,3,,0,TE
220,Nick Vannett,3,1,Sun,17,18,1/7/24,30-307,LAC,,KAN,L 12-13,1,1,3,3,0,100,3,1,100,TE
221,Kenneth Walker III,3,1,Sun,17,18,1/7/24,23-079,SEA,@,ARI,W 21-20,1,1,3,3,0,100,3,0,0,RB
222,Michael Carter,2,2,Sun,17,18,1/7/24,24-245,ARI,,SEA,L 20-21,2,1,2,2,0,50,1,0,50,RB
223,Julian Hill,2,2,Sun,17,18,1/7/24,23-182,MIA,,BUF,L 14-21,2,1,2,2,0,50,1,,0,TE
224,Brandon Powell,2,3,Sun,17,18,1/7/24,28-117,MIN,@,DET,L 20-30,3,1,2,2,0,33.3,0.7,,0,WR
225,Devin Singletary,2,1,Sat,17,18,1/6/24,26-125,HOU,@,IND,W 23-19,1,1,2,2,0,100,2,0,0,RB
226,Courtland Sutton,2,4,Sun,17,18,1/7/24,28-089,DEN,@,LVR,L 14-27,4,1,2,2,0,25,0.5,1,25,WR
227,Jalen Brooks,1,1,Sun,17,18,1/7/24,23-245,DAL,@,WAS,W 38-10,1,1,1,1,0,100,1,,0,WR
228,Deven Thompkins,1,1,Sun,17,18,1/7/24,24-015,TAM,@,CAR,W 9-0,1,1,1,1,0,100,1,,0,WR
229,John Bates,0,1,Sun,17,18,1/7/24,26-062,WAS,,DAL,L 10-38,1,0,0,,0,0,0,,0,TE
230,Jason Brownlee,0,1,Sun,17,18,1/7/24,24-342,NYJ,@,NWE,W 17-3,1,0,0,,0,0,0,,0,WR
231,Pharaoh Brown,0,3,Sun,17,18,1/7/24,29-248,NWE,,NYJ,L 3-17,3,1,0,0,0,33.3,0,,0,TE
