Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Nico Collins,195,9,Sat,17,18,1/6/24,24-293,HOU,@,IND,W 23-19,9,9,195,21.7,1,100,21.7,6,77.8,WR
2,Justin Jefferson,192,14,Sun,17,18,1/7/24,24-205,MIN,@,DET,L 20-30,14,12,192,16,1,85.7,13.7,7,50,WR
3,Amon-Ra St. Brown,144,10,Sun,17,18,1/7/24,24-075,DET,,MIN,W 30-20,10,7,144,20.6,1,70,14.4,5,60,WR
4,Jayden Reed,112,4,Sun,17,18,1/7/24,23-254,GNB,,CHI,W 17-9,4,4,112,28,0,100,28,3,100,WR
5,Calvin Ridley,106,10,Sun,17,18,1/7/24,29-018,JAX,@,TEN,L 20-28,10,6,106,17.7,1,60,10.6,4,50,WR
6,Khalil Shakir,105,6,Sun,17,18,1/7/24,23-338,BUF,@,MIA,W 21-14,6,6,105,17.5,0,100,17.5,3,50,WR
7,Bijan Robinson,103,8,Sun,17,18,1/7/24,21-342,ATL,@,NOR,L 17-48,8,7,103,14.7,1,87.5,12.9,2,50,RB
8,CeeDee Lamb,98,13,Sun,17,18,1/7/24,24-274,DAL,@,WAS,W 38-10,13,13,98,7.5,2,100,7.5,7,84.6,WR
9,Michael Wilson,95,6,Sun,17,18,1/7/24,23-318,ARI,,SEA,L 20-21,6,6,95,15.8,0,100,15.8,5,100,WR
10,Quez Watkins,93,11,Sun,17,18,1/7/24,25-212,PHI,@,NYG,L 10-27,11,8,93,11.6,1,72.7,8.5,4,63.6,WR
11,Diontae Johnson,89,5,Sat,17,18,1/6/24,27-185,PIT,@,BAL,W 17-10,5,4,89,22.3,1,80,17.8,3,80,WR
12,Brandon Johnson,88,5,Sun,17,18,1/7/24,25-165,DEN,@,LVR,L 14-27,5,4,88,22,0,80,17.6,4,80,WR
13,Stefon Diggs,87,8,Sun,17,18,1/7/24,30-039,BUF,@,MIA,W 21-14,8,7,87,12.4,0,87.5,10.9,3,87.5,WR
14,Wan'Dale Robinson,85,6,Sun,17,18,1/7/24,23-002,NYG,,PHI,W 27-10,6,5,85,17,0,83.3,14.2,4,66.7,WR
15,Dalton Kincaid,84,8,Sun,17,18,1/7/24,24-081,BUF,@,MIA,W 21-14,8,7,84,12,0,87.5,10.5,3,62.5,TE
16,Donald Parham,83,6,Sun,17,18,1/7/24,26-144,LAC,,KAN,L 12-13,6,5,83,16.6,0,83.3,13.8,5,83.3,TE
17,Tyreek Hill,82,13,Sun,17,18,1/7/24,29-312,MIA,,BUF,L 14-21,13,7,82,11.7,1,53.8,6.3,4,46.2,WR
18,Evan Engram,79,13,Sun,17,18,1/7/24,29-127,JAX,@,TEN,L 20-28,13,10,79,7.9,1,76.9,6.1,5,38.5,TE
19,Jerry Jeudy,79,6,Sun,17,18,1/7/24,24-258,DEN,@,LVR,L 14-27,6,3,79,26.3,1,50,13.2,2,50,WR
20,Tre Tucker,79,5,Sun,17,18,1/7/24,22-305,LVR,,DEN,W 27-14,5,5,79,15.8,0,100,15.8,3,80,WR
21,Mecole Hardman,77,11,Sun,17,18,1/7/24,25-301,KAN,@,LAC,W 13-12,11,6,77,12.8,0,54.5,7,4,45.5,WR
22,Tyler Lockett,71,4,Sun,17,18,1/7/24,31-101,SEA,@,ARI,W 21-20,4,2,71,35.5,1,50,17.8,2,50,WR
23,Chris Conley,69,6,Sun,17,18,1/7/24,31-074,SFO,,LAR,L 20-21,6,3,69,23,0,50,11.5,2,33.3,WR
24,Jake Ferguson,69,6,Sun,17,18,1/7/24,24-354,DAL,@,WAS,W 38-10,6,6,69,11.5,0,100,11.5,5,100,TE
25,David Bell,68,4,Sun,17,18,1/7/24,23-024,CLE,@,CIN,L 14-31,4,4,68,17,2,100,17,3,75,WR
26,Scott Miller,66,2,Sun,17,18,1/7/24,26-160,ATL,@,NOR,L 17-48,2,2,66,33,0,100,33,2,100,WR
27,Rashid Shaheed,65,4,Sun,17,18,1/7/24,25-129,NOR,,ATL,W 48-17,4,3,65,21.7,1,75,16.3,2,75,WR
28,D.J. Moore,64,6,Sun,17,18,1/7/24,26-268,CHI,@,GNB,L 9-17,6,4,64,16,0,66.7,10.7,4,66.7,WR
29,Bo Melton,62,7,Sun,17,18,1/7/24,24-234,GNB,,CHI,W 17-9,7,5,62,12.4,0,71.4,8.9,3,71.4,WR
30,Darius Slayton,62,7,Sun,17,18,1/7/24,26-360,NYG,,PHI,W 27-10,7,5,62,12.4,1,71.4,8.9,3,57.1,WR
31,Jakobi Meyers,61,5,Sun,17,18,1/7/24,27-059,LVR,,DEN,W 27-14,5,3,61,20.3,1,60,12.2,3,60,WR
32,Dontayvion Wicks,61,7,Sun,17,18,1/7/24,22-205,GNB,,CHI,W 17-9,7,6,61,10.2,2,85.7,8.7,3,71.4,WR
33,Johnny Mundt,58,6,Sun,17,18,1/7/24,29-045,MIN,@,DET,L 20-30,6,5,58,11.6,0,83.3,9.7,2,50,TE
34,Jordan Addison,57,8,Sun,17,18,1/7/24,21-345,MIN,@,DET,L 20-30,8,4,57,14.3,1,50,7.1,2,50,WR
35,Terry McLaurin,56,8,Sun,17,18,1/7/24,28-114,WAS,,DAL,L 10-38,8,6,56,9.3,0,75,7,3,62.5,WR
36,Chris Olave,56,3,Sun,17,18,1/7/24,23-194,NOR,,ATL,W 48-17,3,3,56,18.7,1,100,18.7,3,100,WR
37,James Conner,54,4,Sun,17,18,1/7/24,28-247,ARI,,SEA,L 20-21,4,4,54,13.5,0,100,13.5,2,50,RB
38,Rico Dowdle,54,4,Sun,17,18,1/7/24,25-207,DAL,@,WAS,W 38-10,4,3,54,18,0,75,13.5,2,50,RB
39,A.T. Perry,53,3,Sun,17,18,1/7/24,24-073,NOR,,ATL,W 48-17,3,3,53,17.7,2,100,17.7,3,100,WR
40,Saquon Barkley,51,2,Sun,17,18,1/7/24,26-332,NYG,,PHI,W 27-10,2,2,51,25.5,0,100,25.5,1,100,RB
41,Chris Godwin,51,7,Sun,17,18,1/7/24,27-314,TAM,@,CAR,W 9-0,7,6,51,8.5,0,85.7,7.3,2,42.9,WR
42,Kalif Raymond,50,2,Sun,17,18,1/7/24,29-152,DET,,MIN,W 30-20,2,2,50,25,0,100,25,1,100,WR
43,Charlie Jones,49,3,Sun,17,18,1/7/24,25-070,CIN,,CLE,W 31-14,3,3,49,16.3,0,100,16.3,2,66.7,WR
