Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,D.J. Moore,230,10,Thu,5,5,10/5/23,26-174,CHI,@,WAS,W 40-20,10,8,230,28.8,3,80,23,6,70,WR
2,Ja'Marr Chase,192,19,Sun,5,5,10/8/23,23-221,CIN,@,ARI,W 34-20,19,15,192,12.8,3,78.9,10.1,14,78.9,WR
3,Tyreek Hill,181,9,Sun,5,5,10/8/23,29-221,MIA,,NYG,W 31-16,9,8,181,22.6,1,88.9,20.1,5,88.9,WR
4,DeAndre Hopkins,140,11,Sun,5,5,10/8/23,31-124,TEN,@,IND,L 16-23,11,8,140,17.5,0,72.7,12.7,7,72.7,WR
5,George Pickens,130,10,Sun,5,5,10/8/23,22-218,PIT,,BAL,W 17-10,10,6,130,21.7,1,60,13,6,60,WR
6,A.J. Brown,127,8,Sun,5,5,10/8/23,26-100,PHI,@,LAR,W 23-14,8,6,127,21.2,0,75,15.9,6,75,WR
7,Calvin Ridley,122,8,Sun,5,5,10/8/23,28-292,JAX,@,BUF,W 25-20,8,7,122,17.4,0,87.5,15.3,7,87.5,WR
8,Stefon Diggs,121,11,Sun,5,5,10/8/23,29-313,BUF,,JAX,L 20-25,11,8,121,15.1,1,72.7,11,5,72.7,WR
9,Cooper Kupp,118,12,Sun,5,5,10/8/23,30-115,LAR,,PHI,L 14-23,12,8,118,14.8,0,66.7,9.8,6,58.3,WR
10,Dallas Goedert,117,9,Sun,5,5,10/8/23,28-278,PHI,@,LAR,W 23-14,9,8,117,14.6,1,88.9,13,5,66.7,TE
11,Adam Thielen,107,13,Sun,5,5,10/8/23,33-047,CAR,@,DET,L 24-42,13,11,107,9.7,1,84.6,8.2,7,69.2,WR
12,Gabriel Davis,100,8,Sun,5,5,10/8/23,24-190,BUF,,JAX,L 20-25,8,6,100,16.7,1,75,12.5,4,75,WR
13,Josh Downs,97,6,Sun,5,5,10/8/23,22-057,IND,,TEN,W 23-16,6,6,97,16.2,0,100,16.2,4,66.7,WR
14,Christian Watson,91,7,Mon,5,5,10/9/23,24-150,GNB,@,LVR,L 13-17,7,3,91,30.3,0,42.9,13,1,42.9,WR
15,Kyle Pitts,87,11,Sun,5,5,10/8/23,23-002,ATL,,HOU,W 21-19,11,7,87,12.4,0,63.6,7.9,5,54.5,TE
16,Darren Waller,86,11,Sun,5,5,10/8/23,31-025,NYG,@,MIA,L 16-31,11,8,86,10.8,0,72.7,7.8,4,63.6,TE
17,Christian Kirk,78,8,Sun,5,5,10/8/23,26-324,JAX,@,BUF,W 25-20,8,6,78,13,0,75,9.8,3,75,WR
18,Drake London,78,9,Sun,5,5,10/8/23,22-076,ATL,,HOU,W 21-19,9,6,78,13,0,66.7,8.7,5,66.7,WR
19,Logan Thomas,77,11,Thu,5,5,10/5/23,32-096,WAS,,CHI,L 20-40,11,9,77,8.6,1,81.8,7,6,81.8,TE
20,Josh Reynolds,76,5,Sun,5,5,10/8/23,28-234,DET,,CAR,W 42-24,5,4,76,19,1,80,15.2,4,80,WR
21,Jakobi Meyers,75,10,Mon,5,5,10/9/23,26-334,LVR,,GNB,W 17-13,10,7,75,10.7,1,70,7.5,6,70,WR
22,Zay Flowers,73,11,Sun,5,5,10/8/23,23-027,BAL,@,PIT,L 10-17,11,5,73,14.6,0,45.5,6.6,3,36.4,WR
23,Samaje Perine,73,5,Sun,5,5,10/8/23,28-022,DEN,,NYJ,L 21-31,5,4,73,18.3,0,80,14.6,3,80,RB
24,Puka Nacua,71,11,Sun,5,5,10/8/23,22-132,LAR,,PHI,L 14-23,11,7,71,10.1,1,63.6,6.5,5,54.5,WR
25,Tyler Conklin,67,5,Sun,5,5,10/8/23,28-070,NYJ,@,DEN,W 31-21,5,4,67,16.8,0,80,13.4,2,60,TE
26,Travis Kelce,67,11,Sun,5,5,10/8/23,34-003,KAN,@,MIN,W 27-20,11,10,67,6.7,1,90.9,6.1,3,54.5,TE
27,George Kittle,67,4,Sun,5,5,10/8/23,29-364,SFO,,DAL,W 42-10,4,3,67,22.3,3,75,16.8,3,75,TE
28,Jonnu Smith,67,7,Sun,5,5,10/8/23,28-047,ATL,,HOU,W 21-19,7,6,67,11.2,0,85.7,9.6,3,57.1,TE
29,Mark Andrews,65,10,Sun,5,5,10/8/23,28-032,BAL,@,PIT,L 10-17,10,6,65,10.8,0,60,6.5,4,50,TE
30,Curtis Samuel,65,7,Thu,5,5,10/5/23,27-055,WAS,,CHI,L 20-40,7,6,65,10.8,1,85.7,9.3,3,71.4,WR
31,Dalton Schultz,65,10,Sun,5,5,10/8/23,27-089,HOU,@,ATL,L 19-21,10,7,65,9.3,1,70,6.5,4,50,TE
32,Michael Thomas,65,7,Sun,5,5,10/8/23,30-219,NOR,@,NWE,W 34-0,7,4,65,16.3,0,57.1,9.3,4,57.1,WR
33,Jordan Addison,64,9,Sun,5,5,10/8/23,21-254,MIN,,KAN,L 20-27,9,6,64,10.7,1,66.7,7.1,4,55.6,WR
34,Nelson Agholor,64,5,Sun,5,5,10/8/23,30-137,BAL,@,PIT,L 10-17,5,4,64,16,0,80,12.8,3,60,WR
35,Antonio Gibson,64,6,Thu,5,5,10/5/23,25-104,WAS,,CHI,L 20-40,6,4,64,16,0,66.7,10.7,3,50,RB
36,Deonte Harty,62,2,Sun,5,5,10/8/23,25-308,BUF,,JAX,L 20-25,2,2,62,31,0,100,31,2,100,WR
37,Marquise Brown,61,10,Sun,5,5,10/8/23,26-126,ARI,,CIN,L 20-34,10,4,61,15.3,1,40,6.1,3,30,WR
