Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Breece Hall,177,22,Sun,5,5,10/8/23,22-130,NYJ,@,DEN,W 31-21,22,177,8,1,6,50,RB
2,Zack Moss,165,23,Sun,5,5,10/8/23,25-297,IND,,TEN,W 23-16,23,165,7.2,2,7,60.9,RB
3,De'Von Achane,151,11,Sun,5,5,10/8/23,21-360,MIA,,NYG,W 31-16,11,151,13.7,1,5,72.7,RB
4,Travis Etienne,136,26,Sun,5,5,10/8/23,24-255,JAX,@,BUF,W 25-20,26,136,5.2,2,7,42.3,RB
5,David Montgomery,109,19,Sun,5,5,10/8/23,26-123,DET,,CAR,W 42-24,19,109,5.7,1,7,57.9,RB
6,Joe Mixon,81,25,Sun,5,5,10/8/23,27-076,CIN,@,ARI,W 34-20,25,81,3.2,0,5,40,RB
7,Alvin Kamara,80,22,Sun,5,5,10/8/23,28-075,NOR,@,NWE,W 34-0,22,80,3.6,1,5,45.5,RB
8,AJ Dillon,76,20,Mon,5,5,10/9/23,25-160,GNB,@,LVR,L 13-17,20,76,3.8,1,6,65,RB
9,Khalil Herbert,76,10,Thu,5,5,10/5/23,25-167,CHI,@,WAS,W 40-20,10,76,7.6,0,2,40,RB
10,Jalen Hurts,72,15,Sun,5,5,10/8/23,25-062,PHI,@,LAR,W 23-14,15,72,4.8,1,8,66.7,QB
11,D'Andre Swift,70,17,Sun,5,5,10/8/23,24-267,PHI,@,LAR,W 23-14,17,70,4.1,0,3,47.1,RB
12,Josh Jacobs,69,20,Mon,5,5,10/9/23,25-240,LVR,,GNB,W 17-13,20,69,3.5,1,3,50,RB
13,Jordan Mason,69,10,Sun,5,5,10/8/23,24-137,SFO,,DAL,W 42-10,10,69,6.9,1,4,90,RB
14,Jaleel McLaughlin,68,9,Sun,5,5,10/8/23,23-025,DEN,,NYJ,L 21-31,9,68,7.6,0,2,33.3,RB
15,Dameon Pierce,66,20,Sun,5,5,10/8/23,23-231,HOU,@,ATL,L 19-21,20,66,3.3,0,2,45,RB
16,Raheem Mostert,65,10,Sun,5,5,10/8/23,31-182,MIA,,NYG,W 31-16,10,65,6.5,1,3,70,RB
17,Justin Fields,57,11,Thu,5,5,10/5/23,24-214,CHI,@,WAS,W 40-20,11,57,5.2,0,6,90.9,QB
18,Isiah Pacheco,55,16,Sun,5,5,10/8/23,24-220,KAN,@,MIN,W 27-20,16,55,3.4,1,4,50,RB
19,Kyren Williams,53,13,Sun,5,5,10/8/23,23-043,LAR,,PHI,L 14-23,13,53,4.1,0,2,46.2,RB
20,Craig Reynolds,52,7,Sun,5,5,10/8/23,27-115,DET,,CAR,W 42-24,7,52,7.4,1,3,71.4,RB
21,Christian McCaffrey,51,19,Sun,5,5,10/8/23,27-123,SFO,,DAL,W 42-10,19,51,2.7,1,5,63.2,RB
22,Rondale Moore,50,3,Sun,5,5,10/8/23,23-121,ARI,,CIN,L 20-34,3,50,16.7,0,1,66.7,WR
23,Russell Wilson,49,7,Sun,5,5,10/8/23,34-313,DEN,,NYJ,L 21-31,7,49,7,0,2,42.9,QB
24,Gus Edwards,48,12,Sun,5,5,10/8/23,28-178,BAL,@,PIT,L 10-17,12,48,4,0,2,41.7,RB
25,James Conner,46,6,Sun,5,5,10/8/23,28-156,ARI,,CIN,L 20-34,6,46,7.7,0,1,33.3,RB
