Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Tua Tagovailoa,126,31,Sun,6,6,10/15/23,25-227,MIA,,CAR,W 42-21,21,31,10,67.7,262,3,0,0,9.7,0,126,0,0,0,8.5,10.39,10.39,12.5,51.6,QB
2,Sam Howell,119.7,23,Sun,6,6,10/15/23,23-029,WAS,@,ATL,W 24-16,14,23,9,60.9,151,3,0,0,13,0,119.7,5,30,17.86,6.6,9.17,6.46,10.8,35.7,QB
3,Malik Willis,118.7,5,Sun,6,6,10/15/23,24-143,TEN,,BAL,L 16-24,4,5,1,80,74,0,0,0,0,0,118.7,4,30,44.44,14.8,14.8,4.89,18.5,44.4,QB
4,Dak Prescott,109.3,30,Mon,6,6,10/16/23,30-079,DAL,@,LAC,W 20-17,21,30,9,70,272,1,0,0,3.3,0,109.3,5,26,14.29,9.1,9.73,7.6,13,45.7,QB
5,Jared Goff,107.5,44,Sun,6,6,10/15/23,29-001,DET,@,TAM,W 20-6,30,44,14,68.2,353,2,0,0,4.5,0,107.5,3,13,6.38,8,8.93,8.09,11.8,53.2,QB
6,Matthew Stafford,107.3,24,Sun,6,6,10/15/23,35-250,LAR,,ARI,W 26-9,15,24,9,62.5,226,1,0,0,4.2,0,107.3,3,23,11.11,9.4,10.25,8.26,15.1,48.1,QB
7,Johnny Hekker,95.8,1,Sun,6,6,10/15/23,33-249,CAR,@,MIA,L 21-42,1,1,0,100,7,0,0,0,0,0,95.8,0,0,0,7,7,7,7,0,P
8,Brian Hoyer,94.6,10,Sun,6,6,10/15/23,38-002,LVR,,NWE,W 21-17,6,10,4,60,102,0,0,0,0,0,94.6,0,0,0,10.2,10.2,10.2,17,50,QB
9,Patrick Mahomes,94.4,40,Thu,6,6,10/12/23,28-025,KAN,,DEN,W 19-8,30,40,10,75,306,1,1,0,2.5,2.5,94.4,2,13,4.76,7.7,7.03,6.38,10.2,54.8,QB
10,Kirk Cousins,93.6,31,Sun,6,6,10/15/23,35-057,MIN,@,CHI,W 19-13,21,31,10,67.7,181,1,0,0,3.2,0,93.6,2,7,6.06,5.8,6.48,5.88,8.6,36.4,QB
11,Trevor Lawrence,91.1,30,Sun,6,6,10/15/23,24-009,JAX,,IND,W 37-20,20,30,10,66.7,181,2,1,0,6.7,3.3,91.1,3,33,9.09,6,5.87,4.33,9.1,39.4,QB
12,Lamar Jackson,88.6,30,Sun,6,6,10/15/23,26-281,BAL,@,TEN,W 24-16,21,30,9,70,223,1,1,0,3.3,3.3,88.6,1,2,3.23,7.4,6.6,6.32,10.6,45.2,QB
13,Joe Burrow,88.4,35,Sun,6,6,10/15/23,26-309,CIN,,SEA,W 17-13,24,35,11,68.6,185,2,1,0,5.7,2.9,88.4,3,17,7.89,5.3,5.14,4.29,7.7,52.6,QB
14,Josh Allen,86.7,30,Sun,6,6,10/15/23,27-147,BUF,,NYG,W 14-9,19,30,11,63.3,169,2,1,0,6.7,3.3,86.7,0,0,0,5.6,5.47,5.47,8.9,50,QB
15,Bryce Young,85.1,38,Sun,6,6,10/15/23,22-082,CAR,@,MIA,L 21-42,23,38,15,60.5,217,1,0,0,2.6,0,85.1,4,36,9.52,5.7,6.24,4.79,9.4,40.5,QB
16,Justin Herbert,84,37,Mon,5,6,10/16/23,25-220,LAC,,DAL,L 17-20,22,37,15,59.5,227,2,1,0,5.4,2.7,84,1,8,2.63,6.1,6,5.63,10.3,42.1,QB
17,Taysom Hill,83.3,1,Sun,6,6,10/15/23,33-053,NOR,@,HOU,L 13-20,1,1,0,100,4,0,0,0,0,0,83.3,0,0,0,4,4,4,4,100,QB
18,Derek Carr,83.2,50,Sun,6,6,10/15/23,32-201,NOR,@,HOU,L 13-20,32,50,18,64,353,1,1,0,2,2,83.2,2,16,3.85,7.1,6.56,6,11,48.1,QB
19,C.J. Stroud,82.2,27,Sun,6,6,10/15/23,22-012,HOU,,NOR,W 20-13,13,27,14,48.1,199,2,1,0,7.4,3.7,82.2,2,22,6.9,7.4,7.19,5.93,15.3,31,QB
20,Jimmy Garoppolo,82,22,Sun,6,6,10/15/23,31-347,LVR,,NWE,W 21-17,14,22,8,63.6,162,1,1,0,4.5,4.5,82,0,0,0,7.4,6.23,6.23,11.6,50,QB
21,Tyrod Taylor,80.8,36,Sun,6,6,10/15/23,34-073,NYG,@,BUF,L 9-14,24,36,12,66.7,200,0,0,0,0,0,80.8,3,15,7.69,5.6,5.56,4.74,8.3,51.3,QB
22,Mac Jones,75.3,33,Sun,6,6,10/15/23,25-040,NWE,@,LVR,L 17-21,24,33,9,72.7,200,0,1,0,0,3,75.3,3,19,8.33,6.1,4.7,3.78,8.3,47.2,QB
23,Zach Wilson,73.5,33,Sun,6,6,10/15/23,24-073,NYJ,,PHI,W 20-14,19,33,14,57.6,186,0,0,0,0,0,73.5,5,31,13.16,5.6,5.64,4.08,9.8,36.8,QB
24,Geno Smith,69.8,41,Sun,5,6,10/15/23,33-005,SEA,@,CIN,L 13-17,27,41,14,65.9,326,0,2,0,0,4.9,69.8,4,29,8.89,8,5.76,4.6,12.1,48.9,QB
25,Desmond Ridder,66.5,47,Sun,6,6,10/15/23,24-045,ATL,,WAS,L 16-24,28,47,19,59.6,307,2,3,0,4.3,6.4,66.5,3,11,6,6.5,4.51,4.02,11,44,QB
26,Gardner Minshew II,60.3,55,Sun,6,6,10/15/23,27-152,IND,@,JAX,L 20-37,33,55,22,60,329,1,3,0,1.8,5.5,60.3,3,19,5.17,6,3.89,3.36,10,39.7,QB
27,Jalen Hurts,59.5,45,Sun,6,6,10/15/23,25-069,PHI,@,NYJ,L 14-20,28,45,17,62.2,280,1,3,0,2.2,6.7,59.5,2,12,4.26,6.2,3.67,3.26,10,42.6,QB
28,Joshua Dobbs,58.5,41,Sun,6,6,10/15/23,28-262,ARI,@,LAR,L 9-26,21,41,20,51.2,235,0,1,0,0,2.4,58.5,2,20,4.65,5.7,4.63,3.95,11.2,39.5,QB
29,Baker Mayfield,56.8,37,Sun,5,6,10/15/23,28-184,TAM,,DET,L 6-20,19,37,18,51.4,206,0,1,0,0,2.7,56.8,1,1,2.63,5.6,4.35,4.21,10.8,42.1,QB
30,Tyson Bagent,56.5,14,Sun,6,6,10/15/23,23-129,CHI,,MIN,L 13-19,10,14,4,71.4,83,0,1,0,0,7.1,56.5,1,10,6.67,5.9,2.71,1.87,8.3,53.3,QB
31,Brock Purdy,55.3,27,Sun,6,6,10/15/23,23-292,SFO,@,CLE,L 17-19,12,27,15,44.4,125,1,1,0,3.7,3.7,55.3,3,18,10,4.6,3.7,2.73,10.4,26.7,QB
32,Russell Wilson,46.6,22,Thu,6,6,10/12/23,34-317,DEN,@,KAN,L 8-19,13,22,9,59.1,95,1,2,0,4.5,9.1,46.6,4,13,15.38,4.3,1.14,0.46,7.3,23.1,QB
33,P.J. Walker,45.2,34,Sun,5,6,10/15/23,28-231,CLE,,SFO,W 19-17,18,34,16,52.9,192,0,2,0,0,5.9,45.2,2,18,5.56,5.6,3,2.33,10.7,33.3,QB
34,Kadarius Toney,39.6,1,Thu,6,6,10/12/23,24-258,KAN,,DEN,W 19-8,0,1,1,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,,0,WR
35,Ryan Tannehill,37.5,16,Sun,6,6,10/15/23,35-080,TEN,,BAL,L 16-24,8,16,8,50,76,0,1,0,0,6.3,37.5,2,16,11.11,4.8,1.94,0.83,9.5,38.9,QB
