Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Kyren Williams,158,20,Sun,6,6,10/15/23,23-050,LAR,,ARI,W 26-9,20,158,7.9,1,9,75,RB
2,Raheem Mostert,115,17,Sun,6,6,10/15/23,31-189,MIA,,CAR,W 42-21,17,115,6.8,2,6,70.6,RB
3,Derrick Henry,97,12,Sun,6,6,10/15/23,29-284,TEN,,BAL,L 16-24,12,97,8.1,1,3,41.7,RB
4,Saquon Barkley,93,24,Sun,6,6,10/15/23,26-248,NYG,@,BUF,L 9-14,24,93,3.9,0,3,25,RB
5,Chuba Hubbard,88,19,Sun,6,6,10/15/23,24-126,CAR,@,MIA,L 21-42,19,88,4.6,1,5,78.9,RB
6,Jerome Ford,84,17,Sun,5,6,10/15/23,23-310,CLE,,SFO,W 19-17,17,84,4.9,0,3,47.1,RB
7,Josh Jacobs,77,25,Sun,6,6,10/15/23,25-246,LVR,,NWE,W 21-17,25,77,3.1,0,3,32,RB
8,James Cook,71,14,Sun,6,6,10/15/23,24-020,BUF,,NYG,W 14-9,14,71,5.1,0,3,64.3,RB
9,Alvin Kamara,68,19,Sun,6,6,10/15/23,28-082,NOR,@,HOU,L 13-20,19,68,3.6,0,6,52.6,RB
10,D'Onta Foreman,65,15,Sun,6,6,10/15/23,27-174,CHI,,MIN,L 13-19,15,65,4.3,0,2,66.7,RB
11,Lamar Jackson,62,13,Sun,6,6,10/15/23,26-281,BAL,@,TEN,W 24-16,13,62,4.8,0,5,69.2,QB
12,Isiah Pacheco,62,16,Thu,6,6,10/12/23,24-224,KAN,,DEN,W 19-8,16,62,3.9,0,4,56.3,RB
13,Kenneth Walker III,62,19,Sun,5,6,10/15/23,22-360,SEA,@,CIN,L 13-17,19,62,3.3,1,4,42.1,RB
14,Devin Singletary,58,12,Sun,6,6,10/15/23,26-042,HOU,,NOR,W 20-13,12,58,4.8,0,3,66.7,RB
15,Travis Etienne,55,18,Sun,6,6,10/15/23,24-262,JAX,,IND,W 37-20,18,55,3.1,2,5,55.6,RB
16,Javonte Williams,52,10,Thu,6,6,10/12/23,23-170,DEN,@,KAN,L 8-19,10,52,5.2,0,4,60,RB
17,Tyler Allgeier,51,13,Sun,6,6,10/15/23,23-183,ATL,,WAS,L 16-24,13,51,3.9,0,2,46.2,RB
18,Joshua Dobbs,47,7,Sun,6,6,10/15/23,28-262,ARI,@,LAR,L 9-26,7,47,6.7,0,2,28.6,QB
19,Kareem Hunt,47,12,Sun,5,6,10/15/23,28-070,CLE,,SFO,W 19-17,12,47,3.9,1,4,50,RB
20,Jalen Hurts,47,8,Sun,6,6,10/15/23,25-069,PHI,@,NYJ,L 14-20,8,47,5.9,1,3,75,QB
21,Justin Fields,46,8,Sun,6,6,10/15/23,24-224,CHI,,MIN,L 13-19,8,46,5.8,0,2,37.5,QB
22,Rhamondre Stevenson,46,10,Sun,6,6,10/15/23,25-234,NWE,@,LVR,L 17-21,10,46,4.6,1,3,60,RB
23,Latavius Murray,45,12,Sun,6,6,10/15/23,33-270,BUF,,NYG,W 14-9,12,45,3.8,0,3,58.3,RB
24,Alexander Mattison,44,18,Sun,6,6,10/15/23,25-118,MIN,@,CHI,W 19-13,18,44,2.4,0,1,38.9,RB
25,Christian McCaffrey,43,11,Sun,6,6,10/15/23,27-130,SFO,@,CLE,L 17-19,11,43,3.9,0,2,36.4,RB
26,Gus Edwards,41,16,Sun,6,6,10/15/23,28-185,BAL,@,TEN,W 24-16,16,41,2.6,0,3,50,RB
27,Keaontay Ingram,40,10,Sun,6,6,10/15/23,23-354,ARI,@,LAR,L 9-26,10,40,4,0,2,30,RB
28,Dak Prescott,40,7,Mon,6,6,10/16/23,30-079,DAL,@,LAC,W 20-17,7,40,5.7,1,2,28.6,QB
29,Breece Hall,39,12,Sun,6,6,10/15/23,22-137,NYJ,,PHI,W 20-14,12,39,3.3,1,3,41.7,RB
30,Joe Mixon,38,12,Sun,6,6,10/15/23,27-083,CIN,,SEA,W 17-13,12,38,3.2,0,2,58.3,RB
31,Bijan Robinson,37,13,Sun,6,6,10/15/23,21-258,ATL,,WAS,L 16-24,13,37,2.8,0,1,30.8,RB
32,Damien Williams,36,8,Sun,6,6,10/15/23,31-195,ARI,@,LAR,L 9-26,8,36,4.5,0,1,62.5,RB
33,Justice Hill,35,8,Sun,6,6,10/15/23,25-335,BAL,@,TEN,W 24-16,8,35,4.4,0,1,37.5,RB
34,Ezekiel Elliott,34,7,Sun,6,6,10/15/23,28-085,NWE,@,LVR,L 17-21,7,34,4.9,1,4,85.7,RB
35,Dameon Pierce,34,13,Sun,6,6,10/15/23,23-238,HOU,,NOR,W 20-13,13,34,2.6,0,2,53.8,RB
36,Darrynton Evans,32,9,Sun,6,6,10/15/23,25-098,CHI,,MIN,L 13-19,9,32,3.6,0,3,44.4,RB
37,Patrick Mahomes,31,6,Thu,6,6,10/12/23,28-025,KAN,,DEN,W 19-8,6,31,5.2,0,2,50,QB
38,Brian Robinson Jr.,31,10,Sun,6,6,10/15/23,24-207,WAS,@,ATL,W 24-16,10,31,3.1,0,1,40,RB
39,Russell Wilson,31,4,Thu,6,6,10/12/23,34-317,DEN,@,KAN,L 8-19,4,31,7.8,0,3,100,QB
40,Jaleel McLaughlin,30,7,Thu,6,6,10/12/23,23-029,DEN,@,KAN,L 8-19,7,30,4.3,0,,71.4,RB
41,Tony Pollard,30,15,Mon,6,6,10/16/23,26-169,DAL,@,LAC,W 20-17,15,30,2,0,2,26.7,RB
42,Chris Brooks,28,6,Sun,6,6,10/15/23,23-277,MIA,,CAR,W 42-21,6,28,4.7,0,1,33.3,RB
43,Austin Ekeler,27,14,Mon,5,6,10/16/23,28-152,LAC,,DAL,L 17-20,14,27,1.9,0,1,42.9,RB
44,Jordan Mason,27,5,Sun,6,6,10/15/23,24-144,SFO,@,CLE,L 17-19,5,27,5.4,1,1,20,RB
45,Rachaad White,26,7,Sun,5,6,10/15/23,24-276,TAM,,DET,L 6-20,7,26,3.7,0,,42.9,RB
46,Tyrod Taylor,24,5,Sun,6,6,10/15/23,34-073,NYG,@,BUF,L 9-14,5,24,4.8,0,1,60,QB
47,Salvon Ahmed,23,6,Sun,6,6,10/15/23,24-290,MIA,,CAR,W 42-21,6,23,3.8,1,1,33.3,RB
48,Ray-Ray McCloud,23,2,Sun,6,6,10/15/23,27-000,SFO,@,CLE,L 17-19,2,23,11.5,0,2,100,WR
49,Chris Rodriguez,23,4,Sun,6,6,10/15/23,23-019,WAS,@,ATL,W 24-16,4,23,5.8,0,1,50,RB
50,Zack Moss,21,7,Sun,6,6,10/15/23,25-304,IND,@,JAX,L 20-37,7,21,3,1,2,42.9,RB
51,Marquise Goodwin,20,1,Sun,5,6,10/15/23,32-330,CLE,,SFO,W 19-17,1,20,20,0,1,100,WR
52,Justin Herbert,20,6,Mon,5,6,10/16/23,25-220,LAC,,DAL,L 17-20,6,20,3.3,0,1,33.3,QB
53,Geno Smith,20,4,Sun,5,6,10/15/23,33-005,SEA,@,CIN,L 13-17,4,20,5,0,1,50,QB
54,D'Ernest Johnson,19,1,Sun,6,6,10/15/23,27-230,JAX,,IND,W 37-20,1,19,19,0,1,100,RB
55,Jonathan Taylor,19,8,Sun,6,6,10/15/23,24-269,IND,@,JAX,L 20-37,8,19,2.4,0,2,37.5,RB
56,Raheem Blackshear,18,5,Sun,6,6,10/15/23,24-132,CAR,@,MIA,L 21-42,5,18,3.6,0,1,60,RB
57,Xavier Gipson,18,1,Sun,6,6,10/15/23,22-221,NYJ,,PHI,W 20-14,1,18,18,0,1,100,WR
58,Desmond Ridder,18,2,Sun,6,6,10/15/23,24-045,ATL,,WAS,L 16-24,2,18,9,0,2,100,QB
59,Rashid Shaheed,18,2,Sun,6,6,10/15/23,25-045,NOR,@,HOU,L 13-20,2,18,9,0,1,100,WR
60,D'Andre Swift,18,10,Sun,6,6,10/15/23,24-274,PHI,@,NYJ,L 14-20,10,18,1.8,0,2,40,RB
61,Malik Willis,17,3,Sun,6,6,10/15/23,24-143,TEN,,BAL,L 16-24,3,17,5.7,0,1,33.3,QB
62,Antonio Gibson,15,3,Sun,6,6,10/15/23,25-114,WAS,@,ATL,W 24-16,3,15,5,0,0,33.3,RB
63,Xavier Hutchinson,15,2,Sun,6,6,10/15/23,23-136,HOU,,NOR,W 20-13,2,15,7.5,0,1,100,WR
