Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Tyreek Hill,163,10,Sun,6,6,10/15/23,29-228,MIA,,CAR,W 42-21,10,6,163,27.2,1,60,16.3,6,60,WR
2,Cooper Kupp,148,9,Sun,6,6,10/15/23,30-122,LAR,,ARI,W 26-9,9,7,148,21.1,1,77.8,16.4,5,66.7,WR
3,A.J. Brown,131,9,Sun,6,6,10/15/23,26-107,PHI,@,NYJ,L 14-20,9,7,131,18.7,0,77.8,14.6,6,66.7,WR
4,Drake London,125,12,Sun,6,6,10/15/23,22-083,ATL,,WAS,L 16-24,12,9,125,13.9,0,75,10.4,7,58.3,WR
5,Travis Kelce,124,9,Thu,6,6,10/12/23,34-007,KAN,,DEN,W 19-8,9,9,124,13.8,0,100,13.8,5,88.9,TE
6,Amon-Ra St. Brown,124,15,Sun,6,6,10/15/23,23-356,DET,@,TAM,W 20-6,15,12,124,10.3,1,80,8.3,7,66.7,WR
7,CeeDee Lamb,117,7,Mon,6,6,10/16/23,24-191,DAL,@,LAC,W 20-17,7,7,117,16.7,0,100,16.7,7,100,WR
8,Adam Thielen,115,13,Sun,6,6,10/15/23,33-054,CAR,@,MIA,L 21-42,13,11,115,10.5,1,84.6,8.8,8,76.9,WR
9,Michael Pittman Jr.,109,14,Sun,6,6,10/15/23,26-010,IND,@,JAX,L 20-37,14,9,109,12.1,0,64.3,7.8,3,50,WR
10,Amari Cooper,108,8,Sun,5,6,10/15/23,29-120,CLE,,SFO,W 19-17,8,4,108,27,0,50,13.5,3,37.5,WR
11,Stefon Diggs,100,16,Sun,6,6,10/15/23,29-320,BUF,,NYG,W 14-9,16,10,100,10,0,62.5,6.3,7,43.8,WR
12,Chris Olave,96,10,Sun,6,6,10/15/23,23-110,NOR,@,HOU,L 13-20,10,7,96,13.7,0,70,9.6,6,70,WR
13,Tyler Lockett,94,8,Sun,5,6,10/15/23,31-017,SEA,@,CIN,L 13-17,8,6,94,15.7,0,75,11.8,3,62.5,WR
14,Garrett Wilson,90,12,Sun,6,6,10/15/23,23-085,NYJ,,PHI,W 20-14,12,8,90,11.3,0,66.7,7.5,4,66.7,WR
15,Kendrick Bourne,89,11,Sun,6,6,10/15/23,28-072,NWE,@,LVR,L 17-21,11,10,89,8.9,0,90.9,8.1,2,54.5,WR
16,Keenan Allen,85,11,Mon,5,6,10/16/23,31-172,LAC,,DAL,L 17-20,11,7,85,12.1,1,63.6,7.7,4,54.5,WR
17,Rashid Shaheed,85,6,Sun,6,6,10/15/23,25-045,NOR,@,HOU,L 13-20,6,2,85,42.5,1,33.3,14.2,2,33.3,WR
18,Terry McLaurin,81,11,Sun,6,6,10/15/23,28-030,WAS,@,ATL,W 24-16,11,6,81,13.5,0,54.5,7.4,5,45.5,WR
19,Ja'Marr Chase,80,13,Sun,6,6,10/15/23,23-228,CIN,,SEA,W 17-13,13,6,80,13.3,0,46.2,6.2,5,46.2,WR
20,Nico Collins,80,6,Sun,6,6,10/15/23,24-210,HOU,,NOR,W 20-13,6,4,80,20,0,66.7,13.3,3,50,WR
21,Tony Pollard,80,7,Mon,6,6,10/16/23,26-169,DAL,@,LAC,W 20-17,7,6,80,13.3,0,85.7,11.4,1,42.9,RB
22,Chris Godwin,77,7,Sun,5,6,10/15/23,27-230,TAM,,DET,L 6-20,7,6,77,12.8,0,85.7,11,5,85.7,WR
23,Brandon Aiyuk,76,10,Sun,6,6,10/15/23,25-212,SFO,@,CLE,L 17-19,10,4,76,19,0,40,7.6,2,30,WR
24,Michael Mayer,75,6,Sun,6,6,10/15/23,22-101,LVR,,NWE,W 21-17,6,5,75,15,0,83.3,12.5,4,83.3,TE
25,Rashee Rice,72,4,Thu,6,6,10/12/23,23-173,KAN,,DEN,W 19-8,4,4,72,18,0,100,18,2,75,WR
26,Mark Andrews,69,6,Sun,6,6,10/15/23,28-039,BAL,@,TEN,W 24-16,6,4,69,17.3,0,66.7,11.5,3,50,TE
27,D.K. Metcalf,69,9,Sun,5,6,10/15/23,25-305,SEA,@,CIN,L 13-17,9,4,69,17.3,0,44.4,7.7,4,44.4,WR
28,Darius Slayton,69,6,Sun,6,6,10/15/23,26-276,NYG,@,BUF,L 9-14,6,4,69,17.3,0,66.7,11.5,2,66.7,WR
29,Kylen Granson,67,4,Sun,6,6,10/15/23,25-202,IND,@,JAX,L 20-37,4,3,67,22.3,0,75,16.8,2,50,TE
30,Trey McBride,62,5,Sun,6,6,10/15/23,23-327,ARI,@,LAR,L 9-26,5,4,62,15.5,0,80,12.4,3,80,TE
31,Wan'Dale Robinson,62,8,Sun,6,6,10/15/23,22-283,NYG,@,BUF,L 9-14,8,8,62,7.8,0,100,7.8,4,87.5,WR
32,Michael Wilson,62,4,Sun,6,6,10/15/23,23-234,ARI,@,LAR,L 9-26,4,3,62,20.7,0,75,15.5,3,75,WR
33,Jakobi Meyers,61,7,Sun,6,6,10/15/23,26-340,LVR,,NWE,W 21-17,7,5,61,12.2,1,71.4,8.7,4,57.1,WR
34,Dalton Schultz,61,7,Sun,6,6,10/15/23,27-096,HOU,,NOR,W 20-13,7,4,61,15.3,1,57.1,8.7,3,42.9,TE
35,Josh Palmer,60,7,Mon,5,6,10/16/23,24-024,LAC,,DAL,L 17-20,7,4,60,15,0,57.1,8.6,3,57.1,WR
36,Tre Tucker,57,2,Sun,6,6,10/15/23,22-221,LVR,,NWE,W 21-17,2,2,57,28.5,0,100,28.5,1,50,WR
37,Breece Hall,54,5,Sun,6,6,10/15/23,22-137,NYJ,,PHI,W 20-14,5,5,54,10.8,0,100,10.8,2,60,RB
38,Jameson Williams,53,3,Sun,6,6,10/15/23,22-203,DET,@,TAM,W 20-6,3,2,53,26.5,1,66.7,17.7,1,66.7,WR
39,D.J. Moore,51,8,Sun,6,6,10/15/23,26-184,CHI,,MIN,L 13-19,8,5,51,10.2,0,62.5,6.4,3,37.5,WR
40,Jaylen Waddle,51,9,Sun,6,6,10/15/23,24-324,MIA,,CAR,W 42-21,9,7,51,7.3,1,77.8,5.7,3,55.6,WR
41,Zay Flowers,50,8,Sun,6,6,10/15/23,23-034,BAL,@,TEN,W 24-16,8,6,50,8.3,1,75,6.3,2,62.5,WR
42,T.J. Hockenson,50,8,Sun,6,6,10/15/23,26-104,MIN,@,CHI,W 19-13,8,6,50,8.3,0,75,6.3,2,25,TE
43,Josh Reynolds,50,3,Sun,6,6,10/15/23,28-241,DET,@,TAM,W 20-6,3,3,50,16.7,0,100,16.7,2,100,WR
44,Mike Evans,49,10,Sun,5,6,10/15/23,30-055,TAM,,DET,L 6-20,10,4,49,12.3,0,40,4.9,3,40,WR
45,Taysom Hill,49,8,Sun,6,6,10/15/23,33-053,NOR,@,HOU,L 13-20,8,7,49,7,0,87.5,6.1,,62.5,QB
46,Christian Kirk,49,6,Sun,6,6,10/15/23,26-331,JAX,,IND,W 37-20,6,3,49,16.3,1,50,8.2,2,50,WR
47,Darnell Mooney,48,3,Sun,6,6,10/15/23,25-351,CHI,,MIN,L 13-19,3,2,48,24,0,66.7,16,1,66.7,WR
48,K.J. Osborn,48,5,Sun,6,6,10/15/23,26-127,MIN,@,CHI,W 19-13,5,4,48,12,0,80,9.6,3,60,WR
49,Jaxon Smith-Njigba,48,5,Sun,5,6,10/15/23,21-243,SEA,@,CIN,L 13-17,5,4,48,12,0,80,9.6,2,60,WR
50,Tyjae Spears,48,1,Sun,6,6,10/15/23,22-122,TEN,,BAL,L 16-24,1,1,48,48,0,100,48,1,100,RB
51,Trey Palmer,47,7,Sun,5,6,10/15/23,22-196,TAM,,DET,L 6-20,7,2,47,23.5,0,28.6,6.7,2,28.6,WR
52,Courtland Sutton,46,6,Thu,6,6,10/12/23,28-002,DEN,@,KAN,L 8-19,6,4,46,11.5,1,66.7,7.7,2,50,WR
53,Jonathan Taylor,46,6,Sun,6,6,10/15/23,24-269,IND,@,JAX,L 20-37,6,5,46,9.2,0,83.3,7.7,1,33.3,RB
54,Michael Thomas,45,8,Sun,6,6,10/15/23,30-226,NOR,@,HOU,L 13-20,8,5,45,9,0,62.5,5.6,1,62.5,WR
55,DeVonta Smith,44,11,Sun,6,6,10/15/23,24-335,PHI,@,NYJ,L 14-20,11,5,44,8.8,0,45.5,4,2,27.3,WR
56,Jake Bobo,43,2,Sun,5,6,10/15/23,25-072,SEA,@,CIN,L 13-17,2,2,43,21.5,0,100,21.5,2,100,WR
57,Kyle Pitts,43,6,Sun,6,6,10/15/23,23-009,ATL,,WAS,L 16-24,6,4,43,10.8,1,66.7,7.2,3,66.7,TE
58,Bijan Robinson,43,8,Sun,6,6,10/15/23,21-258,ATL,,WAS,L 16-24,8,5,43,8.6,0,62.5,5.4,1,37.5,RB
59,Darren Waller,43,7,Sun,6,6,10/15/23,31-032,NYG,@,BUF,L 9-14,7,5,43,8.6,0,71.4,6.1,3,71.4,TE
