Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Chris Godwin,155,12,Sun,14,15,12/17/23,27-293,TAM,@,GNB,W 34-20,12,10,155,15.5,0,83.3,12.9,8,75,WR
2,Jaylen Waddle,142,9,Sun,14,15,12/17/23,25-022,MIA,,NYJ,W 30-0,9,8,142,17.8,1,88.9,15.8,5,66.7,WR
3,Terry McLaurin,141,12,Sun,14,15,12/17/23,28-093,WAS,@,LAR,L 20-28,12,6,141,23.5,1,50,11.8,5,50,WR
4,Josh Palmer,113,4,Thu,14,15,12/14/23,24-083,LAC,@,LVR,L 21-63,4,4,113,28.3,1,100,28.3,3,75,WR
5,Amon-Ra St. Brown,112,9,Sat,14,15,12/16/23,24-053,DET,,DEN,W 42-17,9,7,112,16,1,77.8,12.4,6,66.7,WR
6,Jordan Addison,111,6,Sat,14,15,12/16/23,21-323,MIN,@,CIN,L 24-27 (OT),6,6,111,18.5,2,100,18.5,5,100,WR
7,Cooper Kupp,111,8,Sun,14,15,12/17/23,30-185,LAR,,WAS,W 28-20,8,8,111,13.9,1,100,13.9,4,75,WR
8,Amari Cooper,109,8,Sun,14,15,12/17/23,29-183,CLE,,CHI,W 20-17,8,4,109,27.3,1,50,13.6,3,50,WR
9,David Njoku,104,14,Sun,14,15,12/17/23,27-160,CLE,,CHI,W 20-17,14,10,104,10.4,1,71.4,7.4,3,50,TE
10,Trey McBride,102,11,Sun,14,15,12/17/23,24-025,ARI,,SFO,L 29-45,11,10,102,10.2,0,90.9,9.3,5,54.5,TE
11,Davante Adams,101,12,Thu,14,15,12/14/23,30-355,LVR,,LAC,W 63-21,12,8,101,12.6,1,66.7,8.4,4,66.7,WR
12,Dontayvion Wicks,97,7,Sun,14,15,12/17/23,22-184,GNB,,TAM,L 20-34,7,6,97,16.2,0,85.7,13.9,5,71.4,WR
13,Rashee Rice,91,9,Sun,14,15,12/17/23,23-239,KAN,@,NWE,W 27-17,9,9,91,10.1,1,100,10.1,6,88.9,WR
14,Justin Jefferson,84,10,Sat,14,15,12/16/23,24-183,MIN,@,CIN,L 24-27 (OT),10,7,84,12,0,70,8.4,5,70,WR
15,Noah Brown,82,11,Sun,14,15,12/17/23,27-345,HOU,@,TEN,W 19-16 (OT),11,8,82,10.3,1,72.7,7.5,5,72.7,WR
16,D.K. Metcalf,78,6,Mon,14,15,12/18/23,26-004,SEA,,PHI,W 20-17,6,5,78,15.6,0,83.3,13,3,66.7,WR
17,Michael Pittman Jr.,78,5,Sat,14,15,12/16/23,26-072,IND,,PIT,W 30-13,5,4,78,19.5,0,80,15.6,3,80,WR
18,Jerry Jeudy,74,7,Sat,14,15,12/16/23,24-236,DEN,@,DET,L 17-42,7,3,74,24.7,0,42.9,10.6,3,42.9,WR
19,Christian McCaffrey,72,5,Sun,14,15,12/17/23,27-193,SFO,@,ARI,W 45-29,5,5,72,14.4,2,100,14.4,3,80,RB
20,Courtland Sutton,71,6,Sat,14,15,12/16/23,28-067,DEN,@,DET,L 17-42,6,5,71,14.2,0,83.3,11.8,4,83.3,WR
21,Jamal Agnew,70,2,Sun,14,15,12/17/23,28-258,JAX,,BAL,L 7-23,2,2,70,35,1,100,35,1,50,WR
22,Isaiah Likely,70,6,Sun,14,15,12/17/23,23-243,BAL,@,JAX,W 23-7,6,5,70,14,1,83.3,11.7,3,66.7,TE
23,David Moore,68,2,Sun,14,15,12/17/23,28-336,TAM,@,GNB,W 34-20,2,2,68,34,1,100,34,2,100,WR
24,Hunter Henry,66,9,Sun,14,15,12/17/23,29-010,NWE,,KAN,L 17-27,9,7,66,9.4,1,77.8,7.3,5,66.7,TE
25,Ja'Marr Chase,64,4,Sat,14,15,12/16/23,23-290,CIN,,MIN,W 27-24 (OT),4,4,64,16,0,100,16,3,75,WR
26,Clyde Edwards-Helaire,64,4,Sun,14,15,12/17/23,24-250,KAN,@,NWE,W 27-17,4,4,64,16,1,100,16,3,75,RB
27,T.J. Hockenson,63,7,Sat,14,15,12/16/23,26-166,MIN,@,CIN,L 24-27 (OT),7,6,63,10.5,0,85.7,9,3,71.4,TE
28,Darius Slayton,63,8,Sun,14,15,12/17/23,26-339,NYG,@,NOR,L 6-24,8,4,63,15.8,0,50,7.9,2,37.5,WR
29,Treylon Burks,62,3,Sun,14,15,12/17/23,23-269,TEN,,HOU,L 16-19 (OT),3,3,62,20.7,0,100,20.7,2,100,WR
30,Diontae Johnson,62,6,Sat,14,15,12/16/23,27-164,PIT,@,IND,L 13-30,6,4,62,15.5,1,66.7,10.3,4,66.7,WR
31,Tee Higgins,61,8,Sat,14,15,12/16/23,24-332,CIN,,MIN,W 27-24 (OT),8,4,61,15.3,2,50,7.6,4,50,WR
32,Jonnu Smith,61,2,Sun,14,15,12/17/23,28-117,ATL,@,CAR,L 7-9,2,2,61,30.5,0,100,30.5,1,50,TE
33,Zay Jones,59,8,Sun,14,15,12/17/23,28-262,JAX,,BAL,L 7-23,8,5,59,11.8,0,62.5,7.4,2,62.5,WR
34,Tre Tucker,59,4,Thu,14,15,12/14/23,22-281,LVR,,LAC,W 63-21,4,3,59,19.7,2,75,14.8,2,75,WR
35,Dalton Schultz,58,5,Sun,14,15,12/17/23,27-159,HOU,@,TEN,W 19-16 (OT),5,4,58,14.5,0,80,11.6,4,80,TE
36,Mike Evans,57,6,Sun,14,15,12/17/23,30-118,TAM,@,GNB,W 34-20,6,4,57,14.3,1,66.7,9.5,3,66.7,WR
37,Marquise Goodwin,57,1,Sun,14,15,12/17/23,33-028,CLE,,CHI,W 20-17,1,1,57,57,0,100,57,1,100,WR
38,Tucker Kraft,57,6,Sun,14,15,12/17/23,23-044,GNB,,TAM,L 20-34,6,4,57,14.3,1,66.7,9.5,3,66.7,TE
39,A.J. Brown,56,10,Mon,14,15,12/18/23,26-171,PHI,@,SEA,L 17-20,10,5,56,11.2,0,50,5.6,4,50,WR
40,Sam LaPorta,56,6,Sat,14,15,12/16/23,22-338,DET,,DEN,W 42-17,6,5,56,11.2,3,83.3,9.3,5,83.3,TE
41,George Kittle,54,4,Sun,14,15,12/17/23,30-069,SFO,@,ARI,W 45-29,4,2,54,27,0,50,13.5,2,50,TE
42,Tyler Boyd,53,5,Sat,14,15,12/16/23,29-031,CIN,,MIN,W 27-24 (OT),5,2,53,26.5,0,40,10.6,2,40,WR
