Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Nico Collins,191,12,Sun,12,13,12/3/23,24-259,HOU,,DEN,W 22-17,12,9,191,21.2,1,75,15.9,5,66.7,WR
2,Mike Evans,162,12,Sun,12,13,12/3/23,30-104,TAM,,CAR,W 21-18,12,7,162,23.1,1,58.3,13.5,5,58.3,WR
3,Tyreek Hill,157,7,Sun,12,13,12/3/23,29-277,MIA,@,WAS,W 45-15,7,5,157,31.4,2,71.4,22.4,4,57.1,WR
4,Ja'Marr Chase,149,12,Mon,12,13,12/4/23,23-278,CIN,@,JAX,W 34-31 (OT),12,11,149,13.5,1,91.7,12.4,5,58.3,WR
5,Sam LaPorta,140,9,Sun,12,13,12/3/23,22-325,DET,@,NOR,W 33-28,9,9,140,15.6,1,100,15.6,5,66.7,TE
6,D.K. Metcalf,134,8,Thu,12,13,11/30/23,25-351,SEA,@,DAL,L 35-41,8,6,134,22.3,3,75,16.8,6,75,WR
7,Chris Olave,119,8,Sun,12,13,12/3/23,23-159,NOR,,DET,L 28-33,8,5,119,23.8,0,62.5,14.9,4,50,WR
8,CeeDee Lamb,116,17,Thu,12,13,11/30/23,24-236,DAL,,SEA,W 41-35,17,12,116,9.7,1,70.6,6.8,6,64.7,WR
9,Deebo Samuel,116,4,Sun,12,13,12/3/23,27-322,SFO,@,PHI,W 42-19,4,4,116,29,2,100,29,3,100,WR
10,A.J. Brown,114,13,Sun,12,13,12/3/23,26-156,PHI,,SFO,L 19-42,13,8,114,14.3,0,61.5,8.8,5,53.8,WR
11,Puka Nacua,105,7,Sun,12,13,12/3/23,22-188,LAR,,CLE,W 36-19,7,4,105,26.3,1,57.1,15,3,42.9,WR
12,Michael Pittman Jr.,105,16,Sun,12,13,12/3/23,26-059,IND,@,TEN,W 31-28 (OT),16,11,105,9.5,1,68.8,6.6,6,62.5,WR
13,Alec Pierce,100,6,Sun,12,13,12/3/23,23-215,IND,@,TEN,W 31-28 (OT),6,3,100,33.3,1,50,16.7,2,50,WR
14,DeVonta Smith,96,11,Sun,12,13,12/3/23,25-019,PHI,,SFO,L 19-42,11,9,96,10.7,1,81.8,8.7,8,81.8,WR
15,Trey McBride,89,9,Sun,13,13,12/3/23,24-011,ARI,@,PIT,W 24-10,9,8,89,11.1,1,88.9,9.9,5,66.7,TE
16,George Pickens,86,5,Sun,12,13,12/3/23,22-274,PIT,,ARI,L 10-24,5,4,86,21.5,0,80,17.2,4,80,WR
17,Elijah Moore,83,12,Sun,12,13,12/3/23,23-251,CLE,@,LAR,L 19-36,12,4,83,20.8,0,33.3,6.9,3,33.3,WR
18,Evan Engram,82,9,Mon,12,13,12/4/23,29-093,JAX,,CIN,L 31-34 (OT),9,9,82,9.1,1,100,9.1,4,55.6,TE
19,Travis Kelce,81,5,Sun,12,13,12/3/23,34-059,KAN,@,GNB,L 19-27,5,4,81,20.3,0,80,16.2,4,80,TE
20,Zay Jones,78,8,Mon,12,13,12/4/23,28-249,JAX,,CIN,L 31-34 (OT),8,5,78,15.6,0,62.5,9.8,3,50,WR
21,Jake Ferguson,77,8,Thu,12,13,11/30/23,24-316,DAL,,SEA,W 41-35,8,6,77,12.8,1,75,9.6,5,75,TE
22,Xavier Gipson,77,6,Sun,12,13,12/3/23,22-270,NYJ,,ATL,L 8-13,6,5,77,15.4,0,83.3,12.8,2,33.3,WR
23,Courtland Sutton,77,7,Sun,12,13,12/3/23,28-054,DEN,@,HOU,L 17-22,7,2,77,38.5,1,28.6,11,2,28.6,WR
24,DeAndre Hopkins,75,12,Sun,12,13,12/3/23,31-180,TEN,,IND,L 28-31 (OT),12,5,75,15,1,41.7,6.3,4,33.3,WR
25,Romeo Doubs,72,5,Sun,12,13,12/3/23,23-234,GNB,,KAN,W 27-19,5,4,72,18,0,80,14.4,2,80,WR
26,Kylen Granson,72,3,Sun,12,13,12/3/23,25-251,IND,@,TEN,W 31-28 (OT),3,3,72,24,0,100,24,2,66.7,TE
27,Christian Watson,71,9,Sun,12,13,12/3/23,24-205,GNB,,KAN,W 27-19,9,7,71,10.1,2,77.8,7.9,6,77.8,WR
28,Jonathan Mingo,69,10,Sun,12,13,12/3/23,22-227,CAR,@,TAM,L 18-21,10,6,69,11.5,0,60,6.9,2,40,WR
29,George Kittle,68,6,Sun,12,13,12/3/23,30-055,SFO,@,PHI,W 42-19,6,4,68,17,0,66.7,11.3,3,66.7,TE
30,Curtis Samuel,65,5,Sun,13,13,12/3/23,27-114,WAS,,MIA,L 15-45,5,4,65,16.3,0,80,13,2,60,WR
31,Brevin Jordan,64,5,Sun,12,13,12/3/23,23-140,HOU,,DEN,W 22-17,5,3,64,21.3,0,60,12.8,3,60,TE
32,DeVante Parker,64,9,Sun,12,13,12/3/23,30-317,NWE,,LAC,L 0-6,9,4,64,16,0,44.4,7.1,3,33.3,WR
33,Rashee Rice,64,9,Sun,12,13,12/3/23,23-225,KAN,@,GNB,L 19-27,9,8,64,8,0,88.9,7.1,4,66.7,WR
34,Chigoziem Okonkwo,62,6,Sun,12,13,12/3/23,24-086,TEN,,IND,L 28-31 (OT),6,3,62,20.7,0,50,10.3,3,50,TE
35,Jaxon Smith-Njigba,62,11,Thu,12,13,11/30/23,21-289,SEA,@,DAL,L 35-41,11,7,62,8.9,0,63.6,5.6,4,54.5,WR
36,Parker Washington,61,6,Mon,12,13,12/4/23,21-258,JAX,,CIN,L 31-34 (OT),6,6,61,10.2,1,100,10.2,2,100,WR
37,Keenan Allen,58,9,Sun,12,13,12/3/23,31-220,LAC,@,NWE,W 6-0,9,5,58,11.6,0,55.6,6.4,2,55.6,WR
38,Alvin Kamara,58,8,Sun,12,13,12/3/23,28-131,NOR,,DET,L 28-33,8,6,58,9.7,0,75,7.3,4,50,RB
39,DJ Chark,56,4,Sun,12,13,12/3/23,27-071,CAR,@,TAM,L 18-21,4,3,56,18.7,0,75,14,2,50,WR
40,Demarcus Robinson,55,5,Sun,12,13,12/3/23,29-073,LAR,,CLE,W 36-19,5,4,55,13.8,1,80,11,3,60,WR
41,Quentin Johnston,52,7,Sun,12,13,12/3/23,22-088,LAC,@,NWE,W 6-0,7,5,52,10.4,0,71.4,7.4,2,57.1,WR
42,Jaylen Waddle,52,8,Sun,12,13,12/3/23,25-008,MIA,@,WAS,W 45-15,8,5,52,10.4,0,62.5,6.5,2,37.5,WR
43,Jerry Jeudy,51,4,Sun,12,13,12/3/23,24-223,DEN,@,HOU,L 17-22,4,3,51,17,0,75,12.8,1,75,WR
44,Kyle Pitts,51,8,Sun,12,13,12/3/23,23-058,ATL,@,NYJ,W 13-8,8,4,51,12.8,0,50,6.4,4,50,TE
45,Garrett Wilson,50,7,Sun,12,13,12/3/23,23-134,NYJ,,ATL,L 8-13,7,3,50,16.7,0,42.9,7.1,3,42.9,WR
46,Harrison Bryant,49,5,Sun,12,13,12/3/23,25-224,CLE,@,LAR,L 19-36,5,5,49,9.8,1,100,9.8,2,100,TE
47,Joe Mixon,49,7,Mon,12,13,12/4/23,27-133,CIN,@,JAX,W 34-31 (OT),7,6,49,8.2,0,85.7,7,3,42.9,RB
48,Amon-Ra St. Brown,49,6,Sun,12,13,12/3/23,24-040,DET,@,NOR,W 33-28,6,2,49,24.5,1,33.3,8.2,2,33.3,WR
49,Tyler Lockett,47,8,Thu,12,13,11/30/23,31-063,SEA,@,DAL,L 35-41,8,5,47,9.4,0,62.5,5.9,3,50,WR
50,Brandon Aiyuk,46,7,Sun,12,13,12/3/23,25-261,SFO,@,PHI,W 42-19,7,5,46,9.2,1,71.4,6.6,3,71.4,WR
51,Brandin Cooks,45,4,Thu,12,13,11/30/23,30-066,DAL,,SEA,W 41-35,4,4,45,11.3,1,100,11.3,3,75,WR
52,Gerald Everett,44,5,Sun,12,13,12/3/23,29-161,LAC,@,NWE,W 6-0,5,4,44,11,0,80,8.8,2,80,TE
53,Jauan Jennings,44,4,Sun,12,13,12/3/23,26-146,SFO,@,PHI,W 42-19,4,3,44,14.7,1,75,11,2,50,WR
54,Noah Fant,43,4,Thu,12,13,11/30/23,26-010,SEA,@,DAL,L 35-41,4,3,43,14.3,0,75,10.8,2,75,TE
55,Dontayvion Wicks,43,4,Sun,12,13,12/3/23,22-170,GNB,,KAN,W 27-19,4,3,43,14.3,0,75,10.8,2,75,WR
56,Kenneth Gainwell,42,6,Sun,12,13,12/3/23,24-264,PHI,,SFO,L 19-42,6,5,42,8.4,0,83.3,7,2,50,RB
57,Ezekiel Elliott,40,5,Sun,12,13,12/3/23,28-134,NWE,,LAC,L 0-6,5,4,40,10,0,80,8,1,60,RB
58,Christian McCaffrey,40,4,Sun,12,13,12/3/23,27-179,SFO,@,PHI,W 42-19,4,3,40,13.3,0,75,10,1,25,RB
59,Zach Charbonnet,39,2,Thu,12,13,11/30/23,22-326,SEA,@,DAL,L 35-41,2,1,39,39,0,50,19.5,1,50,RB
60,Cooper Kupp,39,8,Sun,12,13,12/3/23,30-171,LAR,,CLE,W 36-19,8,6,39,6.5,1,75,4.9,2,62.5,WR
61,Tyler Boyd,37,7,Mon,12,13,12/4/23,29-019,CIN,@,JAX,W 34-31 (OT),7,5,37,7.4,0,71.4,5.3,1,42.9,WR
62,Antonio Gibson,37,5,Sun,13,13,12/3/23,25-163,WAS,,MIA,L 15-45,5,4,37,9.3,0,80,7.4,1,40,RB
63,Tucker Kraft,37,6,Sun,12,13,12/3/23,23-030,GNB,,KAN,W 27-19,6,3,37,12.3,0,50,6.2,2,50,TE
64,Tee Higgins,36,3,Mon,12,13,12/4/23,24-320,CIN,@,JAX,W 34-31 (OT),3,3,36,12,0,100,12,3,100,WR
65,Tyler Conklin,35,9,Sun,12,13,12/3/23,28-126,NYJ,,ATL,L 8-13,9,3,35,11.7,0,33.3,3.9,2,22.2,TE
66,Tyler Higbee,35,4,Sun,12,13,12/3/23,30-336,LAR,,CLE,W 36-19,4,2,35,17.5,0,50,8.8,2,50,TE
67,Tanner Hudson,35,4,Mon,12,13,12/4/23,29-022,CIN,@,JAX,W 34-31 (OT),4,4,35,8.8,0,100,8.8,2,75,TE
68,Amari Cooper,34,5,Sun,12,13,12/3/23,29-169,CLE,@,LAR,L 19-36,5,3,34,11.3,0,60,6.8,1,60,WR
69,Travis Etienne,34,4,Mon,12,13,12/4/23,24-312,JAX,,CIN,L 31-34 (OT),4,4,34,8.5,0,100,8.5,2,50,RB
70,Jerome Ford,33,3,Sun,12,13,12/3/23,23-359,CLE,@,LAR,L 19-36,3,3,33,11,1,100,11,2,66.7,RB
71,Diontae Johnson,33,5,Sun,12,13,12/3/23,27-151,PIT,,ARI,L 10-24,5,4,33,8.3,1,80,6.6,3,60,WR
72,De'Von Achane,30,4,Sun,12,13,12/3/23,22-051,MIA,@,WAS,W 45-15,4,3,30,10,0,75,7.5,1,50,RB
73,A.T. Perry,30,3,Sun,12,13,12/3/23,24-038,NOR,,DET,L 28-33,3,1,30,30,0,33.3,10,1,33.3,WR
74,Pat Freiermuth,29,5,Sun,12,13,12/3/23,25-039,PIT,,ARI,L 10-24,5,3,29,9.7,0,60,5.8,3,60,TE
75,Breece Hall,29,8,Sun,12,13,12/3/23,22-186,NYJ,,ATL,L 8-13,8,6,29,4.8,0,75,3.6,0,12.5,RB
76,Foster Moreau,28,2,Sun,12,13,12/3/23,26-211,NOR,,DET,L 28-33,2,2,28,14,0,100,14,1,100,TE
77,Quez Watkins,28,4,Sun,12,13,12/3/23,25-177,PHI,,SFO,L 19-42,4,3,28,9.3,0,75,7,3,75,WR
78,Nick Westbrook-Ikhine,28,3,Sun,12,13,12/3/23,26-257,TEN,,IND,L 28-31 (OT),3,1,28,28,0,33.3,9.3,1,33.3,WR
79,Boston Scott,27,1,Sun,12,13,12/3/23,28-220,PHI,,SFO,L 19-42,1,1,27,27,0,100,27,1,100,RB
80,Christian Kirk,26,1,Mon,12,13,12/4/23,27-016,JAX,,CIN,L 31-34 (OT),1,1,26,26,0,100,26,1,100,WR
81,Calvin Ridley,26,8,Mon,12,13,12/4/23,28-349,JAX,,CIN,L 31-34 (OT),8,4,26,6.5,0,50,3.3,1,25,WR
82,Bijan Robinson,26,5,Sun,12,13,12/3/23,21-307,ATL,@,NYJ,W 13-8,5,3,26,8.7,0,60,5.2,3,60,RB
83,Trenton Irwin,25,1,Mon,12,13,12/4/23,27-359,CIN,@,JAX,W 34-31 (OT),1,1,25,25,0,100,25,1,100,WR
84,Adam Thielen,25,6,Sun,12,13,12/3/23,33-103,CAR,@,TAM,L 18-21,6,3,25,8.3,0,50,4.2,2,50,WR
85,Marquez Valdes-Scantling,25,5,Sun,12,13,12/3/23,29-054,KAN,@,GNB,L 19-27,5,2,25,12.5,0,40,5,2,40,WR
86,Javonte Williams,24,3,Sun,12,13,12/3/23,23-222,DEN,@,HOU,L 17-22,3,3,24,8,0,100,8,1,100,RB
87,Kyren Williams,24,5,Sun,12,13,12/3/23,23-099,LAR,,CLE,W 36-19,5,3,24,8,0,60,4.8,0,20,RB
88,Jahan Dotson,23,5,Sun,13,13,12/3/23,23-256,WAS,,MIA,L 15-45,5,2,23,11.5,0,40,4.6,2,40,WR
89,Alex Erickson,23,1,Sun,12,13,12/3/23,31-027,LAC,@,NWE,W 6-0,1,1,23,23,0,100,23,1,100,WR
90,Julian Hill,23,2,Sun,12,13,12/3/23,23-147,MIA,@,WAS,W 45-15,2,2,23,11.5,0,100,11.5,2,100,TE
