Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,James Robinson,-2,1,Sun,12,13,12/3/23,25-116,GNB,,KAN,W 27-19,1,1,-2,-2,0,100,-2,,0,RB
202,Alec Ingold,-3,1,Sun,12,13,12/3/23,27-147,MIA,@,WAS,W 45-15,1,1,-3,-3,0,100,-3,,0,FB
203,Jaylen Warren,-4,3,Sun,12,13,12/3/23,25-032,PIT,,ARI,L 10-24,3,1,-4,-4,0,33.3,-1.3,0,0,RB
204,Jahmyr Gibbs,-6,2,Sun,12,13,12/3/23,21-258,DET,@,NOR,W 33-28,2,1,-6,-6,0,50,-3,0,0,RB
205,Jake Browning,-7,1,Mon,12,13,12/4/23,27-237,CIN,@,JAX,W 34-31 (OT),1,1,-7,-7,0,100,-7,0,0,QB
,,,,,,,,,,,,,,,,,,,,,,
