Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
25,Jared Goff,68.3,35,Sun,10,11,11/19/23,29-036,DET,,CHI,W 31-26,23,35,12,65.7,236,2,3,0,5.7,8.6,68.3,2,13,5.41,6.7,4.03,3.46,10.3,59.5,QB
26,Jalen Hurts,64.6,22,Mon,10,11,11/20/23,25-105,PHI,@,KAN,W 21-17,14,22,8,63.6,150,0,1,0,0,4.5,64.6,5,26,18.52,6.8,4.77,2.93,10.7,33.3,QB
27,Bryce Young,62.9,29,Sun,10,11,11/19/23,22-117,CAR,,DAL,L 10-33,16,29,13,55.2,123,1,1,1,3.4,3.4,62.9,7,46,19.44,4.2,3.38,1.44,7.7,25,QB
28,Sam Howell,62.8,45,Sun,11,11,11/19/23,23-064,WAS,,NYG,L 19-31,31,45,14,68.9,256,1,3,1,2.2,6.7,62.8,4,26,8.16,5.7,3.13,2.35,8.3,49,QB
29,Kenny Pickett,62.5,28,Sun,10,11,11/19/23,25-166,PIT,@,CLE,L 10-13,15,28,13,53.6,106,0,0,0,0,0,62.5,3,29,9.68,3.8,3.79,2.48,7.1,22.6,QB
30,Zach Wilson,57.9,15,Sun,10,11,11/19/23,24-108,NYJ,@,BUF,L 6-32,7,15,8,46.7,81,1,1,0,6.7,6.7,57.9,5,30,25,5.4,3.73,1.3,11.6,30,QB
31,Aidan O'Connell,56,41,Sun,11,11,11/19/23,25-079,LVR,@,MIA,L 13-20,24,41,17,58.5,271,1,3,0,2.4,7.3,56,2,11,4.65,6.6,3.8,3.37,11.3,37.2,QB
32,Dorian Thompson-Robinson,54.9,43,Sun,10,11,11/19/23,24-005,CLE,,PIT,W 13-10,24,43,19,55.8,165,0,1,0,0,2.3,54.9,1,2,2.27,3.8,2.79,2.68,6.9,31.8,QB
33,Tim Boyle,26.5,14,Sun,10,11,11/19/23,29-047,NYJ,@,BUF,L 6-32,7,14,7,50,33,0,1,0,0,7.1,26.5,1,10,6.67,2.4,-0.86,-1.47,4.7,20,QB
34,Drew Lock,2.8,6,Sun,10,11,11/19/23,27-009,SEA,@,LAR,L 16-17,2,6,4,33.3,3,0,1,0,0,16.7,2.8,0,0,0,0.5,-7,-7,1.5,16.7,QB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
