Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Brock Purdy,158.3,25,Sun,10,11,11/19/23,23-327,SFO,,TAM,W 27-14,21,25,4,84,333,3,0,0,12,0,158.3,4,28,13.79,13.3,15.72,12.59,15.9,55.2,QB
2,Will Levis,143.7,17,Sun,10,11,11/19/23,24-145,TEN,@,JAX,L 14-34,13,17,4,76.5,158,2,0,0,11.8,0,143.7,2,15,10.53,9.3,11.65,9.63,12.2,47.4,QB
3,Tommy DeVito,137.7,26,Sun,11,11,11/19/23,25-104,NYG,@,WAS,W 31-19,18,26,8,69.2,246,3,0,0,11.5,0,137.7,9,45,25.71,9.5,11.77,7.46,13.7,40,QB
4,Lamar Jackson,121.3,26,Thu,11,11,11/16/23,26-313,BAL,,CIN,W 34-20,16,26,10,61.5,264,2,0,0,7.7,0,121.3,3,16,10.34,10.2,11.69,9.93,16.5,44.8,QB
5,Trevor Lawrence,119.5,32,Sun,10,11,11/19/23,24-044,JAX,,TEN,W 34-14,24,32,8,75,262,2,0,0,6.3,0,119.5,1,1,3.03,8.2,9.44,9.12,10.9,57.6,QB
6,Thomas Morstead,118.7,1,Sun,10,11,11/19/23,37-256,NYJ,@,BUF,L 6-32,1,1,0,100,18,0,0,0,0,0,118.7,0,0,0,18,18,18,18,100,P
7,Jordan Love,108.5,40,Sun,10,11,11/19/23,25-017,GNB,,LAC,W 23-20,27,40,13,67.5,322,2,0,0,5,0,108.5,3,27,6.98,8.1,9.05,7.79,11.9,48.8,QB
8,Josh Allen,108.2,32,Sun,11,11,11/19/23,27-182,BUF,,NYJ,W 32-6,20,32,12,62.5,275,3,1,0,9.4,3.1,108.2,1,12,3.03,8.6,9.06,8.42,13.8,42.4,QB
9,Russell Wilson,106.7,35,Sun,10,11,11/19/23,34-355,DEN,,MIN,W 21-20,27,35,8,77.1,259,1,0,0,2.9,0,106.7,2,10,5.41,7.4,7.97,7.27,9.6,51.4,QB
10,Justin Fields,105.2,23,Sun,11,11,11/19/23,24-259,CHI,@,DET,L 26-31,16,23,7,69.6,169,1,0,0,4.3,0,105.2,2,18,8,7.3,8.22,6.84,10.6,52,QB
11,Tua Tagovailoa,103,39,Sun,10,11,11/19/23,25-262,MIA,,LVR,W 20-13,28,39,11,71.8,325,2,1,0,5.1,2.6,103,1,2,2.5,8.3,8.21,7.95,11.6,47.5,QB
12,Joe Burrow,100.4,17,Thu,10,11,11/16/23,26-341,CIN,@,BAL,L 20-34,11,17,6,64.7,101,1,0,0,5.9,0,100.4,2,14,10.53,5.9,7.12,5.63,9.2,42.1,QB
13,Justin Herbert,99.3,36,Sun,10,11,11/19/23,25-254,LAC,@,GNB,L 20-23,21,36,15,58.3,260,2,0,0,5.6,0,99.3,2,16,5.26,7.2,8.33,7.47,12.4,42.1,QB
14,Dak Prescott,95.2,38,Sun,10,11,11/19/23,30-113,DAL,@,CAR,W 33-10,25,38,13,65.8,189,2,0,0,5.3,0,95.2,0,0,0,5,6.03,6.03,7.6,36.8,QB
15,Geno Smith,94.4,34,Sun,10,11,11/19/23,33-040,SEA,@,LAR,L 16-17,22,34,12,64.7,233,1,0,0,2.9,0,94.4,2,13,5.56,6.9,7.44,6.67,10.6,41.7,QB
16,Jake Browning,93.7,14,Thu,10,11,11/16/23,27-219,CIN,@,BAL,L 20-34,8,14,6,57.1,68,1,0,0,7.1,0,93.7,3,19,17.65,4.9,6.29,4.06,8.5,35.3,QB
17,C.J. Stroud,85,37,Sun,10,11,11/19/23,22-047,HOU,,ARI,W 21-16,27,37,10,73,336,2,3,0,5.4,8.1,85,3,29,7.5,9.1,6.51,5.3,12.4,57.5,QB
18,Kyler Murray,84.6,30,Sun,11,11,11/19/23,26-104,ARI,@,HOU,L 16-21,20,30,10,66.7,214,1,1,0,3.3,3.3,84.6,3,18,9.09,7.1,6.3,5.18,10.7,42.4,QB
19,Joshua Dobbs,80.3,32,Sun,11,11,11/19/23,28-297,MIN,@,DEN,L 20-21,20,32,12,62.5,221,1,1,0,3.1,3.1,80.3,2,11,5.88,6.9,6.13,5.44,11.1,50,QB
20,Davis Mills,79.2,1,Sun,10,11,11/19/23,25-029,HOU,,ARI,W 21-16,1,1,0,100,2,0,0,0,0,0,79.2,0,0,0,2,2,2,2,0,QB
21,Cooper Rush,78.5,3,Sun,10,11,11/19/23,29-363,DAL,@,CAR,W 33-10,2,3,1,66.7,15,0,0,0,0,0,78.5,0,0,0,5,5,5,7.5,33.3,QB
22,Baker Mayfield,76.7,45,Sun,10,11,11/19/23,28-219,TAM,@,SFO,L 14-27,29,45,16,64.4,246,1,1,0,2.2,2.2,76.7,4,25,8.16,5.5,4.91,4,8.5,46.9,QB
23,Patrick Mahomes,71.6,43,Mon,10,11,11/20/23,28-064,KAN,,PHI,L 17-21,24,43,19,55.8,177,2,1,0,4.7,2.3,71.6,1,9,2.27,4.1,4,3.7,7.4,40.9,QB
24,Matthew Stafford,70.6,31,Sun,10,11,11/19/23,35-285,LAR,,SEA,W 17-16,17,31,14,54.8,190,1,1,0,3.2,3.2,70.6,1,5,3.13,6.1,5.32,5,11.2,37.5,QB
