Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Brandon Aiyuk,156,6,Sun,10,11,11/19/23,25-247,SFO,,TAM,W 27-14,6,5,156,31.2,1,83.3,26,5,83.3,WR
2,Tank Dell,149,10,Sun,10,11,11/19/23,24-021,HOU,,ARI,W 21-16,10,8,149,18.6,1,80,14.9,8,80,WR
3,Tyreek Hill,146,11,Sun,10,11,11/19/23,29-263,MIA,,LVR,W 20-13,11,10,146,14.6,1,90.9,13.3,6,54.5,WR
4,Keenan Allen,116,16,Sun,10,11,11/19/23,31-206,LAC,@,GNB,L 20-23,16,10,116,11.6,1,62.5,7.3,4,50,WR
5,Odell Beckham Jr.,116,7,Thu,11,11,11/16/23,31-011,BAL,,CIN,W 34-20,7,4,116,29,0,57.1,16.6,4,57.1,WR
6,Khalil Shakir,115,4,Sun,11,11,11/19/23,23-289,BUF,,NYJ,W 32-6,4,3,115,38.3,1,75,28.8,2,75,WR
7,Calvin Ridley,103,9,Sun,10,11,11/19/23,28-334,JAX,,TEN,W 34-14,9,7,103,14.7,2,77.8,11.4,6,66.7,WR
8,DeVonta Smith,99,8,Mon,10,11,11/20/23,25-006,PHI,@,KAN,W 21-17,8,6,99,16.5,0,75,12.4,4,62.5,WR
9,D.J. Moore,96,9,Sun,11,11,11/19/23,26-219,CHI,@,DET,L 26-31,9,7,96,13.7,1,77.8,10.7,5,77.8,WR
10,D.K. Metcalf,94,9,Sun,10,11,11/19/23,25-340,SEA,@,LAR,L 16-17,9,5,94,18.8,1,55.6,10.4,4,44.4,WR
11,Dontayvion Wicks,91,5,Sun,10,11,11/19/23,22-156,GNB,,LAC,W 23-20,5,3,91,30.3,0,60,18.2,3,60,WR
12,George Kittle,89,9,Sun,10,11,11/19/23,30-041,SFO,,TAM,W 27-14,9,8,89,11.1,1,88.9,9.9,5,77.8,TE
13,Davante Adams,82,13,Sun,11,11,11/19/23,30-330,LVR,@,MIA,L 13-20,13,7,82,11.7,1,53.8,6.3,2,23.1,WR
14,Darius Slayton,82,5,Sun,11,11,11/19/23,26-311,NYG,@,WAS,W 31-19,5,4,82,20.5,1,80,16.4,3,60,WR
15,Amon-Ra St. Brown,77,11,Sun,10,11,11/19/23,24-026,DET,,CHI,W 31-26,11,8,77,9.6,1,72.7,7,6,72.7,WR
16,Greg Dortch,76,8,Sun,11,11,11/19/23,25-174,ARI,@,HOU,L 16-21,8,6,76,12.7,0,75,9.5,4,62.5,WR
17,Adam Thielen,74,11,Sun,10,11,11/19/23,33-089,CAR,,DAL,L 10-33,11,8,74,9.3,0,72.7,6.7,5,63.6,WR
18,Puka Nacua,70,7,Sun,10,11,11/19/23,22-174,LAR,,SEA,W 17-16,7,5,70,14,1,71.4,10,3,71.4,WR
19,Courtland Sutton,66,5,Sun,10,11,11/19/23,28-040,DEN,,MIN,W 21-20,5,4,66,16.5,1,80,13.2,3,80,WR
20,Nico Collins,65,11,Sun,10,11,11/19/23,24-245,HOU,,ARI,W 21-16,11,7,65,9.3,0,63.6,5.9,3,54.5,WR
