Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,Amari Cooper,265,15,Sun,15,16,12/24/23,29-190,CLE,@,HOU,W 36-22,15,11,265,24.1,2,73.3,17.7,11,73.3,WR
2,George Pickens,195,6,Sat,15,16,12/23/23,22-294,PIT,,CIN,W 34-11,6,4,195,48.8,2,66.7,32.5,3,50,WR
3,Puka Nacua,164,11,Thu,15,16,12/21/23,22-206,LAR,,NOR,W 30-22,11,9,164,18.2,1,81.8,14.9,8,81.8,WR
4,Justin Jefferson,141,10,Sun,15,16,12/24/23,24-191,MIN,,DET,L 24-30,10,6,141,23.5,1,60,14.1,5,60,WR
5,Tee Higgins,140,8,Sat,15,16,12/23/23,24-339,CIN,@,PIT,L 11-34,8,5,140,28,1,62.5,17.5,4,62.5,WR
6,Gabriel Davis,130,6,Sat,15,16,12/23/23,24-266,BUF,@,LAC,W 24-22,6,4,130,32.5,1,66.7,21.7,4,66.7,WR
7,George Kittle,126,10,Mon,15,16,12/25/23,30-077,SFO,,BAL,L 19-33,10,7,126,18,0,70,12.6,5,50,TE
8,Chris Olave,123,13,Thu,15,16,12/21/23,23-177,NOR,@,LAR,L 22-30,13,9,123,13.7,0,69.2,9.5,7,61.5,WR
9,CeeDee Lamb,118,10,Sun,15,16,12/24/23,24-260,DAL,@,MIA,L 20-22,10,6,118,19.7,1,60,11.8,4,60,WR
10,Brandon Aiyuk,113,7,Mon,15,16,12/25/23,25-283,SFO,,BAL,L 19-33,7,6,113,18.8,0,85.7,16.1,4,85.7,WR
11,Cole Kmet,107,5,Sun,15,16,12/24/23,24-289,CHI,,ARI,W 27-16,5,4,107,26.8,0,80,21.4,3,80,TE
12,Amon-Ra St. Brown,106,14,Sun,15,16,12/24/23,24-061,DET,@,MIN,W 30-24,14,12,106,8.8,1,85.7,7.6,8,64.3,WR
