Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Derrick Henry,156.2,1,Sun,15,16,12/24/23,29-354,TEN,,SEA,L 17-20,1,1,0,100,12,1,0,0,100,0,156.2,0,0,0,12,32,32,12,100,RB
2,Mason Rudolph,124,27,Sat,15,16,12/23/23,28-159,PIT,,CIN,W 34-11,17,27,10,63,290,2,0,0,7.4,0,124,1,6,3.57,10.7,12.22,11.57,17.1,42.9,QB
3,Jacoby Brissett,123.9,13,Sun,15,16,12/24/23,31-013,WAS,@,NYJ,L 28-30,10,13,3,76.9,100,1,0,0,7.7,0,123.9,0,0,0,7.7,9.23,9.23,10,53.8,QB
4,Matthew Stafford,120.7,34,Thu,15,16,12/21/23,35-317,LAR,,NOR,W 30-22,24,34,10,70.6,328,2,0,0,5.9,0,120.7,1,3,2.86,9.6,10.82,10.43,13.7,65.7,QB
5,Bailey Zappe,117.7,33,Sun,15,16,12/24/23,24-242,NWE,@,DEN,W 26-23,25,33,8,75.8,256,2,0,0,6.1,0,117.7,2,26,5.71,7.8,8.97,7.71,10.2,48.6,QB
6,Baker Mayfield,116.7,35,Sun,15,16,12/24/23,28-254,TAM,,JAX,W 30-12,26,35,9,74.3,283,2,0,0,5.7,0,116.7,2,18,5.41,8.1,9.23,8.24,10.9,56.8,QB
7,Tommy Townsend,112.5,1,Mon,15,16,12/25/23,27-043,KAN,,LVR,L 14-20,1,1,0,100,11,0,0,0,0,0,112.5,0,0,0,11,11,11,11,100,P
8,C.J. Beathard,111.5,15,Sun,15,16,12/24/23,30-038,JAX,@,TAM,L 12-30,11,15,4,73.3,94,1,0,0,6.7,0,111.5,1,9,6.25,6.3,7.6,6.56,8.5,56.3,QB
9,Bryce Young,110,36,Sun,15,16,12/24/23,22-152,CAR,,GNB,L 30-33,23,36,13,63.9,312,2,0,0,5.6,0,110,2,14,5.26,8.7,9.78,8.89,13.6,52.6,QB
10,Jordan Love,109.1,28,Sun,15,16,12/24/23,25-052,GNB,@,CAR,W 33-30,17,28,11,60.7,219,2,0,0,7.1,0,109.1,1,12,3.45,7.8,9.25,8.52,12.9,48.3,QB
11,Dak Prescott,107.9,32,Sun,15,16,12/24/23,30-148,DAL,@,MIA,L 20-22,20,32,12,62.5,253,2,0,0,6.3,0,107.9,4,11,11.11,7.9,9.16,7.83,12.7,50,QB
12,Derek Carr,106.1,40,Thu,15,16,12/21/23,32-268,NOR,@,LAR,L 22-30,27,40,13,67.5,319,3,1,0,7.5,2.5,106.1,2,15,4.76,8,8.35,7.6,11.8,50,QB
13,Lamar Jackson,105.9,35,Mon,15,16,12/25/23,26-352,BAL,@,SFO,W 33-19,23,35,12,65.7,252,2,0,0,5.7,0,105.9,2,11,5.41,7.2,8.34,7.59,11,45.9,QB
14,Josh Allen,104.7,21,Sat,15,16,12/23/23,27-216,BUF,@,LAC,W 24-22,15,21,6,71.4,237,1,1,0,4.8,4.8,104.7,1,7,4.55,11.3,10.1,9.32,15.8,59.1,QB
15,Geno Smith,104.7,36,Sun,15,16,12/24/23,33-075,SEA,@,TEN,W 20-17,25,36,11,69.4,227,2,0,0,5.6,0,104.7,3,12,7.69,6.3,7.42,6.54,9.1,43.6,QB
16,Russell Wilson,103.2,37,Sun,15,16,12/24/23,35-025,DEN,,NWE,L 23-26,25,37,12,67.6,238,2,0,0,5.4,0,103.2,5,45,11.9,6.4,7.51,5.55,9.5,45.2,QB
17,Jared Goff,99.7,40,Sun,15,16,12/24/23,29-071,DET,@,MIN,W 30-24,30,40,10,75,257,1,0,0,2.5,0,99.7,1,11,2.44,6.4,6.93,6.49,8.6,58.5,QB
18,Taylor Heinicke,99.2,33,Sun,15,16,12/24/23,30-284,ATL,,IND,W 29-10,23,33,10,69.7,229,1,0,0,3,0,99.2,1,0,2.94,6.9,7.55,7.32,10,55.9,QB
19,Tua Tagovailoa,98.1,37,Sun,15,16,12/24/23,25-297,MIA,,DAL,W 22-20,24,37,13,64.9,293,1,0,0,2.7,0,98.1,1,9,2.63,7.9,8.46,8,12.2,60.5,QB
20,Kyler Murray,97.5,38,Sun,15,16,12/24/23,26-139,ARI,@,CHI,L 16-27,24,38,14,63.2,230,2,0,0,5.3,0,97.5,2,17,5,6.1,7.11,6.33,9.6,37.5,QB
21,Joe Flacco,96.1,42,Sun,15,16,12/24/23,38-342,CLE,@,HOU,W 36-22,27,42,15,64.3,368,3,2,0,7.1,4.8,96.1,0,0,0,8.8,8.05,8.05,13.6,52.4,QB
22,Easton Stick,87.3,33,Sat,15,16,12/23/23,28-099,LAC,,BUF,L 22-24,23,33,10,69.7,215,0,0,0,0,0,87.3,5,40,13.16,6.5,6.52,4.61,9.3,36.8,QB
23,Jalen Hurts,85.5,38,Mon,15,16,12/25/23,25-140,PHI,,NYG,W 33-25,24,38,14,63.2,301,1,1,1,2.6,2.6,85.5,1,6,2.56,7.9,7.26,6.92,12.5,56.4,QB
24,Ryan Tannehill,84.1,26,Sun,15,16,12/24/23,35-150,TEN,,SEA,L 17-20,18,26,8,69.2,152,0,0,0,0,0,84.1,6,39,18.75,5.8,5.85,3.53,8.4,37.5,QB
25,Davis Mills,81.4,32,Sun,15,16,12/24/23,25-064,HOU,,CLE,L 22-36,15,32,17,46.9,149,2,0,0,6.3,0,81.4,0,0,0,4.7,5.91,5.91,9.9,43.8,QB
26,Nick Mullens,79.5,36,Sun,15,16,12/24/23,28-278,MIN,,DET,L 24-30,22,36,14,61.1,411,2,4,0,5.6,11.1,79.5,4,38,10,11.4,7.53,5.83,18.7,47.5,QB
27,Patrick Mahomes,73.6,44,Mon,15,16,12/25/23,28-099,KAN,,LVR,L 14-20,27,44,17,61.4,235,1,1,1,2.3,2.3,73.6,4,23,8.33,5.3,4.77,3.9,8.7,37.5,QB
28,Justin Fields,71.5,27,Sun,15,16,12/24/23,24-294,CHI,,ARI,W 27-16,15,27,12,55.6,170,1,1,0,3.7,3.7,71.5,1,0,3.57,6.3,5.37,5.18,11.3,39.3,QB
29,Jake Browning,69,42,Sat,15,16,12/23/23,27-256,CIN,@,PIT,L 11-34,28,42,14,66.7,335,1,3,0,2.4,7.1,69,3,26,6.67,8,5.24,4.31,12,46.7,QB
30,Tyrod Taylor,68,16,Mon,15,16,12/25/23,34-144,NYG,@,PHI,L 25-33,7,16,9,43.8,133,1,1,0,6.3,6.3,68,0,0,0,8.3,6.75,6.75,19,31.3,QB
31,Sam Darnold,67.9,14,Mon,15,16,12/25/23,26-203,SFO,,BAL,L 19-33,8,14,6,57.1,81,1,1,0,7.1,7.1,67.9,2,20,12.5,5.8,4,2.25,10.1,43.8,QB
32,Trevor Siemian,64.8,49,Sun,15,16,12/24/23,31-363,NYJ,,WAS,W 30-28,27,49,22,55.1,217,1,1,0,2,2,64.8,0,0,0,4.4,3.92,3.92,8,36.7,QB
33,Trevor Lawrence,64,29,Sun,15,16,12/24/23,24-079,JAX,@,TAM,L 12-30,17,29,12,58.6,211,1,2,0,3.4,6.9,64,3,28,9.38,7.3,4.86,3.53,12.4,46.9,QB
34,Tommy DeVito,63.3,16,Mon,15,16,12/25/23,25-140,NYG,@,PHI,L 25-33,9,16,7,56.3,55,0,0,0,0,0,63.3,1,2,5.88,3.4,3.44,3.12,6.1,23.5,QB
35,Gardner Minshew II,58.5,37,Sun,15,16,12/24/23,27-222,IND,@,ATL,L 10-29,20,37,17,54.1,201,0,1,0,0,2.7,58.5,6,31,13.95,5.4,4.22,2.91,10.1,39.5,QB
36,Dorian Thompson-Robinson,56.2,2,Sun,15,16,12/24/23,24-040,CLE,@,HOU,W 36-22,1,2,1,50,6,0,0,0,0,0,56.2,1,10,33.33,3,3,-1.33,6,33.3,QB
37,Aidan O'Connell,50.3,21,Mon,15,16,12/25/23,25-115,LVR,@,KAN,W 20-14,9,21,12,42.9,62,0,0,0,0,0,50.3,2,14,8.7,3,2.95,2.09,6.9,26.1,QB
38,Brock Purdy,42.6,32,Mon,15,16,12/25/23,23-363,SFO,,BAL,L 19-33,18,32,14,56.3,255,0,4,0,0,12.5,42.6,2,8,5.88,8,2.34,1.97,14.2,38.2,QB
39,Case Keenum,31.6,17,Sun,15,16,12/24/23,35-310,HOU,,CLE,L 22-36,11,17,6,64.7,62,0,2,0,0,11.8,31.6,3,33,15,3.6,-1.65,-3.05,5.6,30,QB
40,Sam Howell,1.7,22,Sun,15,16,12/24/23,23-099,WAS,@,NYJ,L 28-30,6,22,16,27.3,56,0,2,0,0,9.1,1.7,1,13,4.35,2.5,-1.55,-2.04,9.3,17.4,QB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
