Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,KhaDarel Hodge,5,1,Sun,15,16,12/24/23,28-355,ATL,,IND,W 29-10,1,1,5,5,0,100,5,1,100,WR
202,Tanner Hudson,5,2,Sat,15,16,12/23/23,29-041,CIN,@,PIT,L 11-34,2,1,5,5,0,50,2.5,,0,TE
203,Kareem Hunt,5,4,Sun,15,16,12/24/23,28-140,CLE,@,HOU,W 36-22,4,2,5,2.5,0,50,1.3,1,25,RB
204,Julio Jones,5,4,Mon,15,16,12/25/23,34-320,PHI,,NYG,W 33-25,4,1,5,5,0,25,1.3,,0,WR
205,Kyle Juszczyk,5,2,Mon,15,16,12/25/23,32-246,SFO,,BAL,L 19-33,2,1,5,5,0,50,2.5,,50,FB
206,Darnell Mooney,5,4,Sun,15,16,12/24/23,26-056,CHI,,ARI,W 27-16,4,2,5,2.5,0,50,1.3,1,25,WR
207,Tony Pollard,5,1,Sun,15,16,12/24/23,26-238,DAL,@,MIA,L 20-22,1,1,5,5,0,100,5,0,0,RB
208,Miles Sanders,5,2,Sun,15,16,12/24/23,26-237,CAR,,GNB,L 30-33,2,1,5,5,0,50,2.5,,0,RB
209,Willie Snead,5,2,Mon,15,16,12/25/23,31-069,SFO,,BAL,L 19-33,2,1,5,5,0,50,2.5,,50,WR
210,Jamaal Williams,5,1,Thu,15,16,12/21/23,28-262,NOR,@,LAR,L 22-30,1,1,5,5,0,100,5,0,100,RB
211,Davante Adams,4,6,Mon,15,16,12/25/23,31-001,LVR,@,KAN,W 20-14,6,1,4,4,0,16.7,0.7,1,16.7,WR
212,Saquon Barkley,4,6,Mon,15,16,12/25/23,26-319,NYG,@,PHI,L 25-33,6,3,4,1.3,0,50,0.7,0,16.7,RB
213,Blake Bell,4,1,Mon,15,16,12/25/23,32-140,KAN,,LVR,L 14-20,1,1,4,4,0,100,4,,100,TE
214,Michael Burton,4,1,Sun,15,16,12/24/23,31-326,DEN,,NWE,L 23-26,1,1,4,4,0,100,4,1,100,FB
215,Michael Gallup,4,2,Sun,15,16,12/24/23,27-295,DAL,@,MIA,L 20-22,2,2,4,2,0,100,2,,50,WR
216,Raheem Mostert,4,1,Sun,15,16,12/24/23,31-259,MIA,,DAL,W 22-20,1,1,4,4,1,100,4,1,100,RB
217,Luke Schoonmaker,4,1,Sun,15,16,12/24/23,25-087,DAL,@,MIA,L 20-22,1,1,4,4,0,100,4,,100,TE
218,Isaiah Spiller,4,1,Sat,15,16,12/23/23,22-136,LAC,,BUF,L 22-24,1,1,4,4,0,100,4,,0,RB
219,KaVontae Turpin,4,1,Sun,15,16,12/24/23,27-144,DAL,@,MIA,L 20-22,1,1,4,4,0,100,4,,100,WR
220,Jeff Wilson,4,1,Sun,15,16,12/24/23,28-038,MIA,,DAL,W 22-20,1,1,4,4,0,100,4,1,100,RB
221,Matt Breida,3,1,Mon,15,16,12/25/23,28-300,NYG,@,PHI,L 25-33,1,1,3,3,0,100,3,,0,RB
222,Colton Dowell,3,1,Sun,15,16,12/24/23,24-249,TEN,,SEA,L 17-20,1,1,3,3,0,100,3,,0,WR
223,Jordan Addison,2,4,Sun,15,16,12/24/23,21-331,MIN,,DET,L 24-30,4,1,2,2,0,25,0.5,,0,WR
224,Antonio Gibson,2,2,Sun,15,16,12/24/23,25-184,WAS,@,NYJ,L 28-30,2,1,2,2,0,50,1,0,0,RB
225,Justyn Ross,2,1,Mon,15,16,12/25/23,24-010,KAN,,LVR,L 14-20,1,1,2,2,0,100,2,,0,WR
226,Kenneth Walker III,2,2,Sun,15,16,12/24/23,23-065,SEA,@,TEN,W 20-17,2,1,2,2,0,50,1,0,0,RB
227,Ameer Abdullah,1,1,Mon,15,16,12/25/23,30-195,LVR,@,KAN,W 20-14,1,1,1,1,0,100,1,0,0,RB
228,Xavier Gipson,1,2,Sun,15,16,12/24/23,22-291,NYJ,,WAS,W 30-28,2,1,1,1,0,50,0.5,0,0,WR
229,Marcedes Lewis,1,1,Sun,15,16,12/24/23,39-219,CHI,,ARI,W 27-16,1,1,1,1,1,100,1,1,100,TE
230,Mo Alie-Cox,0,1,Sun,15,16,12/24/23,30-096,IND,@,ATL,L 10-29,1,0,0,,0,0,0,,0,TE
231,Calvin Austin,0,2,Sat,15,16,12/23/23,24-274,PIT,,CIN,W 34-11,2,0,0,,0,0,0,0,0,WR
232,Michael Carter,0,1,Sun,15,16,12/24/23,24-231,ARI,@,CHI,L 16-27,1,0,0,,0,0,0,,0,RB
233,Jamison Crowder,0,1,Sun,15,16,12/24/23,30-190,WAS,@,NYJ,L 28-30,1,0,0,,0,0,0,,0,WR
234,Rico Dowdle,0,2,Sun,15,16,12/24/23,25-193,DAL,@,MIA,L 20-22,2,0,0,,0,0,0,0,0,RB
235,Marquise Goodwin,0,1,Sun,15,16,12/24/23,33-035,CLE,@,HOU,W 36-22,1,0,0,,0,0,0,,0,WR
236,Malik Heath,0,1,Sun,15,16,12/24/23,23-296,GNB,@,CAR,W 33-30,1,1,0,0,0,100,0,,0,WR
237,Peyton Hendershot,0,2,Sun,15,16,12/24/23,24-245,DAL,@,MIA,L 20-22,2,0,0,,0,0,0,,0,TE
238,Velus Jones Jr.,0,1,Sun,15,16,12/24/23,26-227,CHI,,ARI,W 27-16,1,0,0,,0,0,0,,0,WR
239,Allen Lazard,0,1,Sun,15,16,12/24/23,28-013,NYJ,,WAS,W 30-28,1,0,0,,0,0,0,,0,WR
240,John Metchie,0,3,Sun,15,16,12/24/23,23-159,HOU,,CLE,L 22-36,3,0,0,,0,0,0,,0,WR
241,Dare Ogunbowale,0,3,Sun,15,16,12/24/23,29-234,HOU,,CLE,L 22-36,3,0,0,,0,0,0,,0,RB
242,Isiah Pacheco,0,4,Mon,15,16,12/25/23,24-298,KAN,,LVR,L 14-20,4,4,0,0,0,100,0,0,0,RB
243,Byron Pringle,0,2,Sun,15,16,12/24/23,30-037,WAS,@,NYJ,L 28-30,2,0,0,,0,0,0,,0,WR
244,Hunter Renfrow,0,1,Mon,15,16,12/25/23,28-004,LVR,@,KAN,W 20-14,1,0,0,,0,0,0,,0,WR
245,Patrick Ricard,0,1,Mon,15,16,12/25/23,29-212,BAL,@,SFO,W 33-19,1,0,0,,0,0,0,,0,FB
246,Pierre Strong,0,1,Sun,15,16,12/24/23,25-014,CLE,@,HOU,W 36-22,1,0,0,,0,0,0,,0,RB
247,Courtland Sutton,0,1,Sun,15,16,12/24/23,28-075,DEN,,NWE,L 23-26,1,0,0,,0,0,0,,0,WR
248,Jonathan Taylor,0,1,Sun,15,16,12/24/23,24-339,IND,@,ATL,L 10-29,1,0,0,,0,0,0,0,0,RB
249,Samori Toure,0,2,Sun,15,16,12/24/23,25-275,GNB,@,CAR,W 33-30,2,0,0,,0,0,0,,0,WR
250,Adam Trautman,0,1,Sun,15,16,12/24/23,26-322,DEN,,NWE,L 23-26,1,0,0,,0,0,0,,0,TE
251,Marquez Valdes-Scantling,0,1,Mon,15,16,12/25/23,29-076,KAN,,LVR,L 14-20,1,0,0,,0,0,0,,0,WR
252,Zamir White,0,1,Mon,15,16,12/25/23,24-098,LVR,@,KAN,W 20-14,1,0,0,,0,0,0,0,0,RB
253,Michael Wilson,0,4,Sun,15,16,12/24/23,23-304,ARI,@,CHI,L 16-27,4,0,0,,0,0,0,,0,WR
254,Kenny Yeboah,0,1,Sun,15,16,12/24/23,25-055,NYJ,,WAS,W 30-28,1,0,0,,0,0,0,,0,TE
255,Olamide Zaccheaus,0,1,Mon,15,16,12/25/23,26-155,PHI,,NYG,W 33-25,1,0,0,,0,0,0,,0,WR
256,Charlie Jones,-1,1,Sat,15,16,12/23/23,25-055,CIN,@,PIT,L 11-34,1,1,-1,-1,0,100,-1,,0,WR
257,Patrick Taylor,-1,1,Sun,15,16,12/24/23,25-239,GNB,@,CAR,W 33-30,1,1,-1,-1,0,100,-1,,0,RB
258,Jerome Ford,-2,2,Sun,15,16,12/24/23,24-015,CLE,@,HOU,W 36-22,2,1,-2,-2,0,50,-1,0,0,RB
259,Zach Charbonnet,-4,2,Sun,15,16,12/24/23,22-350,SEA,@,TEN,W 20-17,2,1,-4,-4,0,50,-2,,0,RB
260,Tre Tucker,-4,1,Mon,15,16,12/25/23,22-292,LVR,@,KAN,W 20-14,1,1,-4,-4,0,100,-4,0,0,WR
261,Javonte Williams,-5,3,Sun,15,16,12/24/23,23-243,DEN,,NWE,L 23-26,3,3,-5,-1.7,0,100,-1.7,0,0,RB
,,,,,,,,,,,,,,,,,,,,,,
