Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Kenneth Walker III,105,26,Sun,6,7,10/22/23,23-002,SEA,,ARI,W 20-10,26,105,4,0,4,42.3,RB
2,D'Onta Foreman,89,16,Sun,7,7,10/22/23,27-181,CHI,,LVR,W 30-12,16,89,5.6,2,6,68.8,RB
3,Javonte Williams,82,15,Sun,7,7,10/22/23,23-180,DEN,,GNB,W 19-17,15,82,5.5,0,4,33.3,RB
4,Saquon Barkley,77,21,Sun,7,7,10/22/23,26-255,NYG,,WAS,W 14-7,21,77,3.7,0,3,47.6,RB
5,Joshua Kelley,75,7,Sun,6,7,10/22/23,25-336,LAC,@,KAN,L 17-31,7,75,10.7,1,2,57.1,RB
6,Jonathan Taylor,75,18,Sun,7,7,10/22/23,24-276,IND,,CLE,L 38-39,18,75,4.2,1,4,50,RB
7,Jerome Ford,74,11,Sun,6,7,10/22/23,23-317,CLE,@,IND,W 39-38,11,74,6.7,1,1,18.2,RB
8,Jahmyr Gibbs,68,11,Sun,7,7,10/22/23,21-216,DET,@,BAL,L 6-38,11,68,6.2,1,3,63.6,RB
9,Royce Freeman,66,12,Sun,7,7,10/22/23,27-240,LAR,,PIT,L 17-24,12,66,5.5,0,4,58.3,RB
10,Gus Edwards,64,14,Sun,7,7,10/22/23,28-192,BAL,,DET,W 38-6,14,64,4.6,1,3,64.3,RB
11,Alvin Kamara,62,17,Thu,7,7,10/19/23,28-086,NOR,,JAX,L 24-31,17,62,3.6,0,4,35.3,RB
12,D'Andre Swift,62,15,Sun,7,7,10/22/23,24-281,PHI,,MIA,W 31-17,15,62,4.1,0,5,46.7,RB
13,AJ Dillon,61,15,Sun,6,7,10/22/23,25-173,GNB,@,DEN,L 17-19,15,61,4.1,0,1,40,RB
14,Darrell Henderson,61,18,Sun,7,7,10/22/23,26-064,LAR,,PIT,L 17-24,18,61,3.4,1,3,38.9,RB
15,Tyler Allgeier,59,21,Sun,7,7,10/22/23,23-190,ATL,@,TAM,W 16-13,21,59,2.8,0,4,42.9,RB
16,Trevor Lawrence,59,8,Thu,7,7,10/19/23,24-013,JAX,@,NOR,W 31-24,8,59,7.4,0,3,50,QB
