Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Lamar Jackson,155.8,27,Sun,7,7,10/22/23,26-288,BAL,,DET,W 38-6,21,27,6,77.8,357,3,0,0,11.1,0,155.8,0,0,0,13.2,15.44,15.44,17,63,QB
2,Patrick Mahomes,129.5,42,Sun,7,7,10/22/23,28-035,KAN,,LAC,W 31-17,32,42,10,76.2,424,4,1,0,9.5,2.4,129.5,1,9,2.33,10.1,10.93,10.47,13.3,60.5,QB
3,Mac Jones,126.7,30,Sun,7,7,10/22/23,25-047,NWE,,BUF,W 29-25,25,30,5,83.3,272,2,0,0,6.7,0,126.7,1,4,3.23,9.1,10.4,9.94,10.9,64.5,QB
4,Gardner Minshew II,119.4,23,Sun,7,7,10/22/23,27-159,IND,,CLE,L 38-39,15,23,8,65.2,305,2,1,0,8.7,4.3,119.4,4,17,14.81,13.3,13.04,10.48,20.3,44.4,QB
5,Logan Cooke,118.7,1,Thu,7,7,10/19/23,28-083,JAX,@,NOR,W 31-24,1,1,0,100,13,0,0,0,0,0,118.7,0,0,0,13,13,13,13,100,P
6,Dontayvion Wicks,118.7,1,Sun,6,7,10/22/23,22-128,GNB,@,DEN,L 17-19,1,1,0,100,14,0,0,0,0,0,118.7,0,0,0,14,14,14,14,100,WR
7,Tyrod Taylor,116.9,29,Sun,7,7,10/22/23,34-080,NYG,,WAS,W 14-7,18,29,11,62.1,279,2,0,0,6.9,0,116.9,4,29,12.12,9.6,11,8.79,15.5,39.4,QB
8,Geno Smith,113,24,Sun,6,7,10/22/23,33-012,SEA,,ARI,W 20-10,18,24,6,75,219,2,1,0,8.3,4.2,113,2,16,7.69,9.1,8.92,7.62,12.2,57.7,QB
9,Jalen Hurts,109.5,31,Sun,7,7,10/22/23,25-076,PHI,,MIA,W 31-17,23,31,8,74.2,279,2,1,1,6.5,3.2,109.5,3,23,8.82,9,8.84,7.38,12.1,50,QB
10,Kirk Cousins,107.2,45,Mon,7,7,10/23/23,35-065,MIN,,SFO,W 22-17,35,45,10,77.8,378,2,1,0,4.4,2.2,107.2,0,0,0,8.4,8.29,8.29,10.8,53.3,QB
11,Desmond Ridder,107.1,25,Sun,7,7,10/22/23,24-052,ATL,@,TAM,W 16-13,19,25,6,76,250,0,0,0,0,0,107.1,1,5,3.85,10,10,9.42,13.2,50,QB
12,Trevor Lawrence,100.4,29,Thu,7,7,10/19/23,24-013,JAX,@,NOR,W 31-24,20,29,9,69,204,1,0,0,3.4,0,100.4,0,0,0,7,7.72,7.72,10.2,44.8,QB
13,Russell Wilson,98.9,29,Sun,7,7,10/22/23,34-327,DEN,,GNB,W 19-17,20,29,9,69,194,1,0,0,3.4,0,98.9,1,0,3.33,6.7,7.38,7.13,9.7,53.3,QB
14,Tyson Bagent,97.2,29,Sun,7,7,10/22/23,23-136,CHI,,LVR,W 30-12,21,29,8,72.4,162,1,0,0,3.4,0,97.2,1,7,3.33,5.6,6.28,5.83,7.7,60,QB
15,Kenny Pickett,97.1,25,Sun,6,7,10/22/23,25-138,PIT,@,LAR,W 24-17,17,25,8,68,230,0,0,0,0,0,97.1,2,16,7.41,9.2,9.2,7.93,13.5,44.4,QB
16,Jordan Love,90.8,31,Sun,6,7,10/22/23,24-354,GNB,@,DEN,L 17-19,21,31,10,67.7,180,2,1,0,6.5,3.2,90.8,0,0,0,5.8,5.65,5.65,8.6,45.2,QB
17,Josh Allen,90,41,Sun,7,7,10/22/23,27-154,BUF,@,NWE,L 25-29,27,41,14,65.9,265,2,1,0,4.9,2.4,90,1,7,2.38,6.5,6.34,6.02,9.8,57.1,QB
18,Tua Tagovailoa,87.5,32,Sun,7,7,10/22/23,25-234,MIA,@,PHI,L 17-31,23,32,9,71.9,216,1,1,0,3.1,3.1,87.5,3,10,8.57,6.8,5.97,5.17,9.4,45.7,QB
19,Aidan O'Connell,83.8,13,Sun,7,7,10/22/23,25-051,LVR,@,CHI,L 12-30,10,13,3,76.9,75,1,1,0,7.7,7.7,83.8,0,0,0,5.8,3.85,3.85,7.5,53.8,QB
20,Clayton Tune,83.3,1,Sun,7,7,10/22/23,24-213,ARI,@,SEA,L 10-20,1,1,0,100,4,0,0,0,0,0,83.3,0,0,0,4,4,4,4,0,QB
