Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Kyren Williams,143,16,Sun,11,12,11/26/23,23-092,LAR,@,ARI,W 37-14,16,143,8.9,0,6,68.8,RB
2,Christian McCaffrey,114,19,Thu,11,12,11/23/23,27-169,SFO,@,SEA,W 31-13,19,114,6,2,8,52.6,RB
3,Josh Jacobs,110,20,Sun,12,12,11/26/23,25-288,LVR,,KAN,L 17-31,20,110,5.5,1,2,40,RB
4,Rachaad White,100,15,Sun,11,12,11/26/23,24-318,TAM,@,IND,L 20-27,15,100,6.7,0,4,40,RB
5,Najee Harris,99,15,Sun,11,12,11/26/23,25-262,PIT,@,CIN,W 16-10,15,99,6.6,1,5,60,RB
6,Rhamondre Stevenson,98,21,Sun,11,12,11/26/23,25-276,NWE,@,NYG,L 7-10,21,98,4.7,1,8,52.4,RB
7,Raheem Mostert,94,20,Fri,11,12,11/24/23,31-229,MIA,@,NYJ,W 34-13,20,94,4.7,2,4,40,RB
8,Bijan Robinson,91,16,Sun,11,12,11/26/23,21-300,ATL,,NOR,W 24-15,16,91,5.7,1,6,68.8,RB
9,Jonathan Taylor,91,15,Sun,11,12,11/26/23,24-311,IND,,TAM,W 27-20,15,91,6.1,2,8,73.3,RB
10,Josh Allen,81,9,Sun,12,12,11/26/23,27-189,BUF,@,PHI,L 34-37 (OT),9,81,9,2,7,77.8,QB
11,D'Andre Swift,80,14,Sun,11,12,11/26/23,24-316,PHI,,BUF,W 37-34 (OT),14,80,5.7,0,2,42.9,RB
12,Tony Pollard,79,13,Thu,11,12,11/23/23,26-207,DAL,,WAS,W 45-10,13,79,6.1,1,3,61.5,RB
13,Royce Freeman,77,13,Sun,11,12,11/26/23,27-275,LAR,@,ARI,W 37-14,13,77,5.9,1,3,53.8,RB
14,Derrick Henry,76,18,Sun,11,12,11/26/23,29-326,TEN,,CAR,W 17-10,18,76,4.2,2,6,55.6,RB
15,David Montgomery,71,15,Thu,11,12,11/23/23,26-169,DET,,GNB,L 22-29,15,71,4.7,1,4,66.7,RB
16,Alvin Kamara,69,15,Sun,11,12,11/26/23,28-124,NOR,@,ATL,L 15-24,15,69,4.6,0,3,60,RB
17,Jerome Ford,65,9,Sun,11,12,11/26/23,23-352,CLE,@,DEN,L 12-29,9,65,7.2,0,3,66.7,RB
18,Jalen Hurts,65,14,Sun,11,12,11/26/23,25-111,PHI,,BUF,W 37-34 (OT),14,65,4.6,2,5,50,QB
19,Javonte Williams,65,18,Sun,11,12,11/26/23,23-215,DEN,,CLE,W 29-12,18,65,3.6,0,2,33.3,RB
20,Tyler Allgeier,64,10,Sun,11,12,11/26/23,23-225,ATL,,NOR,W 24-15,10,64,6.4,0,4,70,RB
21,Keaton Mitchell,64,9,Sun,12,12,11/26/23,21-313,BAL,@,LAC,W 20-10,9,64,7.1,0,4,77.8,RB
22,Justin Fields,59,12,Mon,12,12,11/27/23,24-267,CHI,@,MIN,W 12-10,12,59,4.9,0,4,41.7,QB
23,Travis Etienne,56,20,Sun,11,12,11/26/23,24-304,JAX,@,HOU,W 24-21,20,56,2.8,0,2,25,RB
24,Jeff Wilson,56,11,Fri,11,12,11/24/23,28-008,MIA,@,NYJ,W 34-13,11,56,5.1,0,1,54.5,RB
25,Zack Moss,55,8,Sun,11,12,11/26/23,25-346,IND,,TAM,W 27-20,8,55,6.9,0,3,62.5,RB
26,Isiah Pacheco,55,15,Sun,11,12,11/26/23,24-269,KAN,@,LVR,W 31-17,15,55,3.7,2,5,66.7,RB
27,Samaje Perine,55,7,Sun,11,12,11/26/23,28-071,DEN,,CLE,W 29-12,7,55,7.9,1,4,71.4,RB
28,Jahmyr Gibbs,54,11,Thu,11,12,11/23/23,21-248,DET,,GNB,L 22-29,11,54,4.9,0,2,36.4,RB
29,Brian Robinson Jr.,53,15,Thu,12,12,11/23/23,24-246,WAS,@,DAL,L 10-45,15,53,3.5,0,2,26.7,RB
30,Alexander Mattison,52,10,Mon,12,12,11/27/23,25-161,MIN,,CHI,L 10-12,10,52,5.2,0,3,50,RB
31,Jaylen Warren,49,13,Sun,11,12,11/26/23,25-025,PIT,@,CIN,W 16-10,13,49,3.8,0,1,30.8,RB
32,Zach Charbonnet,47,14,Thu,11,12,11/23/23,22-319,SEA,,SFO,L 13-31,14,47,3.4,0,5,42.9,RB
33,Justin Herbert,47,4,Sun,11,12,11/26/23,25-261,LAC,,BAL,L 10-20,4,47,11.8,0,1,50,QB
34,C.J. Stroud,47,6,Sun,11,12,11/26/23,22-054,HOU,,JAX,L 21-24,6,47,7.8,1,3,83.3,QB
35,Saquon Barkley,46,12,Sun,12,12,11/26/23,26-290,NYG,,NWE,W 10-7,12,46,3.8,0,2,16.7,RB
36,Ezekiel Elliott,46,9,Sun,11,12,11/26/23,28-127,NWE,@,NYG,L 7-10,9,46,5.1,0,2,55.6,RB
37,Chuba Hubbard,45,14,Sun,11,12,11/26/23,24-168,CAR,@,TEN,L 10-17,14,45,3.2,1,2,35.7,RB
38,James Cook,43,16,Sun,12,12,11/26/23,24-062,BUF,@,PHI,L 34-37 (OT),16,43,2.7,0,2,37.5,RB
39,AJ Dillon,43,14,Thu,11,12,11/23/23,25-205,GNB,@,DET,W 29-22,14,43,3.1,0,2,42.9,RB
40,Cordarrelle Patterson,43,8,Sun,11,12,11/26/23,32-254,ATL,,NOR,W 24-15,8,43,5.4,0,2,50,RB
41,Lynn Bowden Jr.,40,2,Sun,11,12,11/26/23,26-043,NOR,@,ATL,L 15-24,2,40,20,0,2,100,WR
42,Lamar Jackson,39,11,Sun,12,12,11/26/23,26-323,BAL,@,LAC,W 20-10,11,39,3.5,0,1,45.5,QB
43,Jordan Love,39,3,Thu,11,12,11/23/23,25-021,GNB,@,DET,W 29-22,3,39,13,0,1,33.3,QB
44,Elijah Mitchell,39,7,Thu,11,12,11/23/23,25-205,SFO,@,SEA,W 31-13,7,39,5.6,0,2,57.1,RB
45,Zay Flowers,37,1,Sun,12,12,11/26/23,23-076,BAL,@,LAC,W 20-10,1,37,37,1,1,100,WR
46,Roschon Johnson,35,10,Mon,12,12,11/27/23,22-300,CHI,@,MIN,W 12-10,10,35,3.5,0,1,40,RB
47,Russell Wilson,34,11,Sun,11,12,11/26/23,34-362,DEN,,CLE,W 29-12,11,34,3.1,1,3,36.4,QB
48,Austin Ekeler,32,10,Sun,11,12,11/26/23,28-193,LAC,,BAL,L 10-20,10,32,3.2,0,3,60,RB
49,Justice Hill,31,5,Sun,12,12,11/26/23,26-012,BAL,@,LAC,W 20-10,5,31,6.2,0,2,60,RB
50,Latavius Murray,30,9,Sun,12,12,11/26/23,33-312,BUF,@,PHI,L 34-37 (OT),9,30,3.3,0,2,44.4,RB
51,Desmond Ridder,30,7,Sun,11,12,11/26/23,24-087,ATL,,NOR,W 24-15,7,30,4.3,0,3,42.9,QB
52,Miles Sanders,28,15,Sun,11,12,11/26/23,26-209,CAR,@,TEN,L 10-17,15,28,1.9,0,4,46.7,RB
53,James Conner,27,6,Sun,12,12,11/26/23,28-205,ARI,,LAR,L 14-37,6,27,4.5,0,1,33.3,RB
54,Gus Edwards,26,8,Sun,12,12,11/26/23,28-227,BAL,@,LAC,W 20-10,8,26,3.3,0,2,75,RB
55,Kenneth Gainwell,26,2,Sun,11,12,11/26/23,24-257,PHI,,BUF,W 37-34 (OT),2,26,13,0,1,50,RB
56,Taysom Hill,26,7,Sun,11,12,11/26/23,33-095,NOR,@,ATL,L 15-24,7,26,3.7,0,0,42.9,QB
57,Breece Hall,25,7,Fri,11,12,11/24/23,22-177,NYJ,,MIA,L 13-34,7,25,3.6,0,1,57.1,RB
58,Khalil Herbert,24,6,Mon,12,12,11/27/23,25-220,CHI,@,MIN,W 12-10,6,24,4,0,1,50,RB
59,Bryce Young,23,3,Sun,11,12,11/26/23,22-124,CAR,@,TEN,L 10-17,3,23,7.7,0,2,100,QB
60,Kareem Hunt,22,7,Sun,11,12,11/26/23,28-112,CLE,@,DEN,L 12-29,7,22,3.1,0,3,42.9,RB
61,Antonio Gibson,21,6,Thu,12,12,11/23/23,25-153,WAS,@,DAL,L 10-45,6,21,3.5,0,2,50,RB
62,Chris Rodriguez,21,4,Thu,12,12,11/23/23,23-058,WAS,@,DAL,L 10-45,4,21,5.3,0,1,25,RB
63,Geno Smith,21,4,Thu,11,12,11/23/23,33-044,SEA,,SFO,L 13-31,4,21,5.3,0,1,50,QB
64,Dorian Thompson-Robinson,21,5,Sun,11,12,11/26/23,24-012,CLE,@,DEN,L 12-29,5,21,4.2,0,0,20,QB
65,Michael Carter,19,4,Sun,12,12,11/26/23,24-203,ARI,,LAR,L 14-37,4,19,4.8,0,1,75,RB
66,D'Ernest Johnson,19,7,Sun,11,12,11/26/23,27-272,JAX,@,HOU,W 24-21,7,19,2.7,0,2,57.1,RB
