Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
29,Gardner Minshew II,66.2,41,Sun,11,12,11/26/23,27-194,IND,,TAM,W 27-20,24,41,17,58.5,251,0,1,0,0,2.4,66.2,2,12,4.65,6.1,5.02,4.51,10.5,37.2,QB
30,Desmond Ridder,63.3,21,Sun,11,12,11/26/23,24-087,ATL,,NOR,W 24-15,13,21,8,61.9,168,1,2,0,4.8,9.5,63.3,0,0,0,8,4.67,4.67,12.9,57.1,QB
31,P.J. Walker,58.5,13,Sun,11,12,11/26/23,28-273,CLE,@,DEN,L 12-29,6,13,7,46.2,56,0,0,0,0,0,58.5,4,28,23.53,4.3,4.31,1.65,9.3,23.5,QB
32,Joshua Dobbs,54.3,32,Mon,12,12,11/27/23,28-305,MIN,,CHI,L 10-12,22,32,10,68.8,185,1,4,0,3.1,12.5,54.3,2,16,5.88,5.8,0.78,0.26,8.4,29.4,QB
33,Bailey Zappe,42,14,Sun,11,12,11/26/23,24-214,NWE,@,NYG,L 7-10,9,14,5,64.3,54,0,1,0,0,7.1,42,1,7,6.67,3.9,0.64,0.13,6,33.3,QB
34,Jakobi Meyers,39.6,1,Sun,12,12,11/26/23,27-017,LVR,,KAN,L 17-31,0,1,1,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,,0,WR
35,Deebo Samuel,39.6,1,Thu,11,12,11/23/23,27-312,SFO,@,SEA,W 31-13,0,1,1,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,,0,WR
36,Kyle Trask,39.6,1,Sun,11,12,11/26/23,25-265,TAM,@,IND,L 20-27,0,1,1,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,,0,QB
37,Mac Jones,27.8,21,Sun,11,12,11/26/23,25-082,NWE,@,NYG,L 7-10,12,21,9,57.1,89,0,2,0,0,9.5,27.8,1,0,4.55,4.2,-0.05,-0.05,7.4,40.9,QB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
