Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Dak Prescott,142.1,32,Thu,11,12,11/23/23,30-117,DAL,,WAS,W 45-10,22,32,10,68.8,331,4,0,0,12.5,0,142.1,0,0,0,10.3,12.84,12.84,15,59.4,QB
2,Jordan Love,125.5,32,Thu,11,12,11/23/23,25-021,GNB,@,DET,W 29-22,22,32,10,68.8,268,3,0,0,9.4,0,125.5,0,0,0,8.4,10.25,10.25,12.2,56.3,QB
3,Patrick Mahomes,122.8,34,Sun,11,12,11/26/23,28-070,KAN,@,LVR,W 31-17,27,34,7,79.4,298,2,0,0,5.9,0,122.8,1,7,2.86,8.8,9.94,9.46,11,57.1,QB
4,Matthew Stafford,121.1,33,Sun,11,12,11/26/23,35-292,LAR,@,ARI,W 37-14,25,33,8,75.8,229,4,1,0,12.1,3,121.1,0,0,0,6.9,8,8,9.2,63.6,QB
5,C.J. Stroud,116,36,Sun,11,12,11/26/23,22-054,HOU,,JAX,L 21-24,26,36,10,72.2,304,2,0,0,5.6,0,116,4,43,10,8.4,9.56,7.53,11.7,47.5,QB
6,Tommy DeVito,103.9,25,Sun,12,12,11/26/23,25-111,NYG,,NWE,W 10-7,17,25,8,68,191,1,0,0,4,0,103.9,6,29,19.35,7.6,8.44,5.87,11.2,38.7,QB
7,Jared Goff,103.6,44,Thu,11,12,11/23/23,29-040,DET,,GNB,L 22-29,29,44,15,65.9,332,2,0,0,4.5,0,103.6,3,8,6.38,7.5,8.45,7.74,11.4,46.8,QB
8,Aidan O'Connell,101.6,33,Sun,12,12,11/26/23,25-086,LVR,,KAN,L 17-31,23,33,10,69.7,248,1,0,0,3,0,101.6,1,13,2.94,7.5,8.12,7.5,10.8,47.1,QB
9,Kenny Pickett,97.8,33,Sun,11,12,11/26/23,25-173,PIT,@,CIN,W 16-10,24,33,9,72.7,278,0,0,0,0,0,97.8,2,10,5.71,8.4,8.42,7.66,11.6,51.4,QB
10,Jake Browning,96.2,26,Sun,11,12,11/26/23,27-229,CIN,,PIT,L 10-16,19,26,7,73.1,227,1,1,0,3.8,3.8,96.2,4,30,13.33,8.7,7.77,5.73,11.9,43.3,QB
11,Jalen Hurts,96.2,31,Sun,11,12,11/26/23,25-111,PHI,,BUF,W 37-34 (OT),18,31,13,58.1,200,3,1,0,9.7,3.2,96.2,2,7,6.06,6.5,6.94,6.3,11.1,45.5,QB
12,Baker Mayfield,93.6,30,Sun,11,12,11/26/23,28-226,TAM,@,IND,L 20-27,20,30,10,66.7,199,2,1,0,6.7,3.3,93.6,6,26,16.67,6.6,6.47,4.67,10,41.7,QB
13,Russell Wilson,91.9,22,Sun,11,12,11/26/23,34-362,DEN,,CLE,W 29-12,13,22,9,59.1,134,1,0,0,4.5,0,91.9,1,9,4.35,6.1,7,6.3,10.3,39.1,QB
14,Trevor Lawrence,90.2,38,Sun,11,12,11/26/23,24-051,JAX,@,HOU,W 24-21,23,38,15,60.5,364,1,1,0,2.6,2.6,90.2,0,0,0,9.6,8.92,8.92,15.8,47.4,QB
15,Justin Fields,87.3,37,Mon,12,12,11/27/23,24-267,CHI,@,MIN,W 12-10,27,37,10,73,217,0,0,0,0,0,87.3,3,18,7.5,5.9,5.86,4.98,8,42.5,QB
16,Brock Purdy,86.7,30,Thu,11,12,11/23/23,23-331,SFO,@,SEA,W 31-13,21,30,9,70,209,1,1,1,3.3,3.3,86.7,1,1,3.23,7,6.13,5.9,10,41.9,QB
17,Will Levis,83.2,28,Sun,11,12,11/26/23,24-152,TEN,,CAR,W 17-10,18,28,10,64.3,185,0,0,0,0,0,83.2,1,1,3.45,6.6,6.61,6.34,10.3,48.3,QB
18,Kyler Murray,83.2,45,Sun,12,12,11/26/23,26-111,ARI,,LAR,L 14-37,27,45,18,60,256,1,0,0,2.2,0,83.2,4,37,8.16,5.7,6.13,4.88,9.5,36.7,QB
19,Lamar Jackson,82.4,32,Sun,12,12,11/26/23,26-323,BAL,@,LAC,W 20-10,18,32,14,56.3,177,1,0,0,3.1,0,82.4,2,13,5.88,5.5,6.16,5.41,9.8,44.1,QB
20,Josh Allen,82.1,51,Sun,12,12,11/26/23,27-189,BUF,@,PHI,L 34-37 (OT),29,51,22,56.9,339,2,1,0,3.9,2,82.1,1,7,1.92,6.6,6.55,6.29,11.7,44.2,QB
21,Tua Tagovailoa,77.5,30,Fri,11,12,11/24/23,25-267,MIA,@,NYJ,W 34-13,21,30,9,70,243,1,2,1,3.3,6.7,77.5,2,15,6.25,8.1,5.77,4.94,11.6,53.1,QB
22,Derek Carr,77.1,38,Sun,11,12,11/26/23,32-243,NOR,@,ATL,L 15-24,24,38,14,63.2,304,0,1,1,0,2.6,77.1,1,8,2.56,8,6.82,6.44,12.7,43.6,QB
23,Bryce Young,76.5,31,Sun,11,12,11/26/23,22-124,CAR,@,TEN,L 10-17,18,31,13,58.1,194,0,0,0,0,0,76.5,4,32,11.43,6.3,6.26,4.63,10.8,34.3,QB
24,Justin Herbert,75.7,44,Sun,11,12,11/26/23,25-261,LAC,,BAL,L 10-20,29,44,15,65.9,217,1,1,0,2.3,2.3,75.7,3,24,6.38,4.9,4.36,3.57,7.5,42.6,QB
25,Sam Howell,74.1,44,Thu,12,12,11/23/23,23-068,WAS,@,DAL,L 10-45,28,44,16,63.6,300,0,1,1,0,2.3,74.1,4,32,8.33,6.8,5.8,4.65,10.7,45.8,QB
26,Dorian Thompson-Robinson,73.1,29,Sun,11,12,11/26/23,24-012,CLE,@,DEN,L 12-29,14,29,15,48.3,134,1,0,0,3.4,0,73.1,0,0,0,4.6,5.31,5.31,9.6,37.9,QB
27,Geno Smith,70,27,Thu,11,12,11/23/23,33-044,SEA,,SFO,L 13-31,18,27,9,66.7,180,0,1,0,0,3.7,70,6,48,18.18,6.7,5,2.64,10,39.4,QB
28,Tim Boyle,67.8,38,Fri,11,12,11/24/23,29-052,NYJ,,MIA,L 13-34,27,38,11,71.1,179,1,2,1,2.6,5.3,67.8,7,49,15.56,4.7,2.87,1.33,6.6,33.3,QB
