Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,CeeDee Lamb,227,17,Sat,16,17,12/30/23,24-266,DAL,,DET,W 20-19,17,13,227,17.5,1,76.5,13.4,7,70.6,WR
2,D.J. Moore,159,13,Sun,16,17,12/31/23,26-261,CHI,,ATL,W 37-17,13,9,159,17.7,1,69.2,12.2,7,53.8,WR
3,David Njoku,134,8,Thu,16,17,12/28/23,27-171,CLE,,NYJ,W 37-20,8,6,134,22.3,0,75,16.8,3,50,TE
4,George Pickens,131,9,Sun,16,17,12/31/23,22-302,PIT,@,SEA,W 30-23,9,7,131,18.7,0,77.8,14.6,5,66.7,WR
5,Rashee Rice,127,6,Sun,16,17,12/31/23,23-253,KAN,,CIN,W 25-17,6,5,127,25.4,0,83.3,21.2,4,66.7,WR
6,Davante Adams,126,21,Sun,16,17,12/31/23,31-007,LVR,@,IND,L 20-23,21,13,126,9.7,2,61.9,6,9,47.6,WR
7,Puka Nacua,118,8,Sun,16,17,12/31/23,22-216,LAR,@,NYG,W 26-25,8,5,118,23.6,0,62.5,14.8,4,62.5,WR
8,Brandon Aiyuk,114,8,Sun,16,17,12/31/23,25-289,SFO,@,WAS,W 27-10,8,7,114,16.3,1,87.5,14.3,5,87.5,WR
9,Zay Flowers,106,3,Sun,16,17,12/31/23,23-111,BAL,,MIA,W 56-19,3,3,106,35.3,1,100,35.3,2,100,WR
10,D.K. Metcalf,106,8,Sun,16,17,12/31/23,26-017,SEA,,PIT,L 23-30,8,5,106,21.2,0,62.5,13.3,4,50,WR
11,Darius Slayton,106,6,Sun,16,17,12/31/23,26-353,NYG,,LAR,L 25-26,6,4,106,26.5,1,66.7,17.7,1,50,WR
12,Bo Melton,105,9,Sun,16,17,12/31/23,24-227,GNB,@,MIN,W 33-10,9,6,105,17.5,1,66.7,11.7,6,66.7,WR
13,Alex Erickson,98,8,Sun,16,17,12/31/23,31-055,LAC,@,DEN,L 9-16,8,7,98,14,0,87.5,12.3,5,62.5,WR
