Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Isiah Pacheco,130,18,Sun,16,17,12/31/23,24-304,KAN,,CIN,W 25-17,18,130,7.2,0,3,50,RB
2,James Conner,128,26,Sun,16,17,12/31/23,28-240,ARI,@,PHI,W 35-31,26,128,4.9,1,9,65.4,RB
3,Khalil Herbert,124,18,Sun,16,17,12/31/23,25-254,CHI,,ATL,W 37-17,18,124,6.9,1,4,44.4,RB
4,Najee Harris,122,27,Sun,16,17,12/31/23,25-297,PIT,@,SEA,W 30-23,27,122,4.5,2,7,66.7,RB
5,Aaron Jones,120,20,Sun,16,17,12/31/23,29-029,GNB,@,MIN,W 33-10,20,120,6,0,6,70,RB
6,De'Von Achane,107,14,Sun,16,17,12/31/23,22-079,MIA,@,BAL,L 19-56,14,107,7.6,0,5,42.9,RB
7,Travis Etienne,102,16,Sun,16,17,12/31/23,24-339,JAX,,CAR,W 26-0,16,102,6.4,2,3,37.5,RB
8,Jonathan Taylor,96,21,Sun,16,17,12/31/23,24-346,IND,,LVR,W 23-20,21,96,4.6,1,7,61.9,RB
9,Kyren Williams,87,20,Sun,16,17,12/31/23,23-127,LAR,@,NYG,W 26-25,20,87,4.4,3,6,60,RB
10,Breece Hall,84,13,Thu,16,17,12/28/23,22-211,NYJ,@,CLE,L 20-37,13,84,6.5,0,4,69.2,RB
11,Elijah Mitchell,80,17,Sun,16,17,12/31/23,25-243,SFO,@,WAS,W 27-10,17,80,4.7,1,4,58.8,RB
12,Devin Singletary,80,16,Sun,16,17,12/31/23,26-119,HOU,,TEN,W 26-3,16,80,5,0,7,75,RB
13,Bijan Robinson,75,15,Sun,16,17,12/31/23,21-335,ATL,@,CHI,L 17-37,15,75,5,0,4,46.7,RB
14,Jaylen Warren,75,13,Sun,16,17,12/31/23,25-060,PIT,@,SEA,W 30-23,13,75,5.8,1,4,46.2,RB
15,Zamir White,71,20,Sun,16,17,12/31/23,24-104,LVR,@,IND,L 20-23,20,71,3.6,0,2,65,RB
16,Gus Edwards,68,16,Sun,16,17,12/31/23,28-262,BAL,,MIA,W 56-19,16,68,4.3,1,4,62.5,RB
