Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,C.J. Stroud,147.8,42,Sun,8,9,11/5/23,22-033,HOU,,TAM,W 39-37,30,42,12,71.4,470,5,0,0,11.9,0,147.8,3,27,6.67,11.2,13.57,12.07,15.7,53.3,QB
2,Jalen Hurts,130.2,23,Sun,9,9,11/5/23,25-090,PHI,,DAL,W 28-23,17,23,6,73.9,207,2,0,0,8.7,0,130.2,3,24,11.54,9,10.74,8.58,12.2,50,QB
3,Tyler Huntley,123.8,7,Sun,9,9,11/5/23,25-275,BAL,,SEA,W 37-3,5,7,2,71.4,38,1,0,0,14.3,0,123.8,0,0,0,5.4,8.29,8.29,7.6,57.1,QB
4,Baker Mayfield,119.4,30,Sun,8,9,11/5/23,28-205,TAM,@,HOU,L 37-39,21,30,9,70,265,2,0,0,6.7,0,119.4,2,14,6.25,8.8,10.17,9.09,12.6,37.5,QB
5,Jaren Hall,118.7,6,Sun,9,9,11/5/23,25-226,MIN,@,ATL,W 31-28,5,6,1,83.3,78,0,0,0,0,0,118.7,0,0,0,13,13,13,15.6,66.7,QB
6,Taysom Hill,118.7,1,Sun,9,9,11/5/23,33-074,NOR,,CHI,W 24-17,1,1,0,100,3,1,0,0,100,0,118.7,0,0,0,3,23,23,3,100,QB
7,Jordan Love,115.5,26,Sun,8,9,11/5/23,25-003,GNB,,LAR,W 20-3,20,26,6,76.9,228,1,0,0,3.8,0,115.5,4,21,13.33,8.8,9.54,7.57,11.4,53.3,QB
8,Dak Prescott,115.2,44,Sun,8,9,11/5/23,30-099,DAL,@,PHI,L 23-28,29,44,15,65.9,374,3,0,0,6.8,0,115.2,5,41,10.2,8.5,9.86,8.02,12.9,46.9,QB
9,Joe Burrow,108.9,44,Sun,8,9,11/5/23,26-330,CIN,,BUF,W 24-18,31,44,13,70.5,348,2,0,0,4.5,0,108.9,1,5,2.22,7.9,8.82,8.51,11.2,53.3,QB
10,Derek Carr,108.8,34,Sun,9,9,11/5/23,32-222,NOR,,CHI,W 24-17,25,34,9,73.5,211,2,0,0,5.9,0,108.8,0,0,0,6.2,7.38,7.38,8.4,44.1,QB
11,Deshaun Watson,107.5,30,Sun,8,9,11/5/23,28-052,CLE,,ARI,W 27-0,19,30,11,63.3,219,2,0,0,6.7,0,107.5,1,6,3.23,7.3,8.63,8.16,11.5,29,QB
12,Patrick Mahomes,105.6,30,Sun,9,9,11/5/23,28-049,KAN,,MIA,W 21-14,20,30,10,66.7,185,2,0,0,6.7,0,105.6,2,11,6.25,6.2,7.5,6.69,9.3,46.9,QB
13,Joshua Dobbs,101.8,30,Sun,9,9,11/5/23,28-283,MIN,@,ATL,W 31-28,20,30,10,66.7,158,2,0,0,6.7,0,101.8,3,12,9.09,5.3,6.6,5.64,7.9,42.4,QB
14,Lamar Jackson,96.6,26,Sun,9,9,11/5/23,26-302,BAL,,SEA,W 37-3,21,26,5,80.8,187,0,0,0,0,0,96.6,1,8,3.7,7.2,7.19,6.63,8.9,48.1,QB
15,Aidan O'Connell,90.2,25,Sun,9,9,11/5/23,25-065,LVR,,NYG,W 30-6,16,25,9,64,209,0,0,0,0,0,90.2,0,0,0,8.4,8.36,8.36,13.1,56,QB
16,Gardner Minshew II,89.7,26,Sun,9,9,11/5/23,27-173,IND,@,CAR,W 27-13,17,26,9,65.4,127,1,0,0,3.8,0,89.7,1,7,3.7,4.9,5.65,5.19,7.5,40.7,QB
17,Kenny Pickett,88.2,30,Thu,8,9,11/2/23,25-149,PIT,,TEN,W 20-16,19,30,11,63.3,160,1,0,0,3.3,0,88.2,0,0,0,5.3,6,6,8.4,53.3,QB
18,Tua Tagovailoa,87,34,Sun,9,9,11/5/23,25-248,MIA,@,KAN,L 14-21,21,34,13,61.8,193,1,0,0,2.9,0,87,3,18,8.11,5.7,6.26,5.27,9.2,37.8,QB
19,Josh Allen,85.2,38,Sun,9,9,11/5/23,27-168,BUF,@,CIN,L 18-24,26,38,12,68.4,258,1,1,0,2.6,2.6,85.2,1,9,2.56,6.8,6.13,5.74,9.9,59,QB
20,Sam Howell,84,45,Sun,9,9,11/5/23,23-050,WAS,@,NWE,W 20-17,29,45,16,64.4,325,1,1,0,2.2,2.2,84,3,17,6.25,7.2,6.67,5.9,11.2,47.9,QB
21,Zach Wilson,80.6,49,Mon,8,9,11/6/23,24-095,NYJ,,LAC,L 6-27,33,49,16,67.3,263,0,0,0,0,0,80.6,8,57,14.04,5.4,5.37,3.61,8,33.3,QB
22,Tommy DeVito,78.1,20,Sun,9,9,11/5/23,25-090,NYG,@,LVR,L 6-30,15,20,5,75,175,1,2,0,5,10,78.1,6,29,23.08,8.8,5.25,2.92,11.7,42.3,QB
23,Taylor Heinicke,75.3,38,Sun,9,9,11/5/23,30-235,ATL,,MIN,L 28-31,21,38,17,55.3,268,1,1,0,2.6,2.6,75.3,1,8,2.56,7.1,6.39,6.03,12.8,41,QB
