Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
201,Matt Breida,4,1,Sun,8,8,10/29/23,28-243,NYG,,NYJ,L 10-13 (OT),1,1,4,4,0,100,4,,0,RB
202,Derius Davis,4,2,Sun,7,8,10/29/23,23-048,LAC,,CHI,W 30-13,2,2,4,2,0,100,2,,0,WR
203,Julian Hill,4,2,Sun,8,8,10/29/23,23-112,MIA,,NWE,W 31-17,2,1,4,4,0,50,2,,50,TE
204,Velus Jones Jr.,4,2,Sun,8,8,10/29/23,26-171,CHI,@,LAC,L 13-30,2,1,4,4,0,50,2,,50,WR
205,Latavius Murray,4,1,Thu,8,8,10/26/23,33-281,BUF,,TAM,W 24-18,1,1,4,4,0,100,4,0,0,RB
206,Boston Scott,4,1,Sun,8,8,10/29/23,28-185,PHI,@,WAS,W 38-31,1,1,4,4,0,100,4,,0,RB
207,Kadarius Toney,4,1,Sun,8,8,10/29/23,24-275,KAN,@,DEN,L 9-24,1,1,4,4,0,100,4,,100,WR
208,Tommy Tremble,4,3,Sun,7,8,10/29/23,23-149,CAR,,HOU,W 15-13,3,2,4,2,1,66.7,1.3,2,66.7,TE
209,Kenneth Walker III,4,2,Sun,7,8,10/29/23,23-009,SEA,,CLE,W 24-20,2,1,4,4,0,50,2,0,50,RB
210,Darren Waller,4,2,Sun,8,8,10/29/23,31-046,NYG,,NYJ,L 10-13 (OT),2,1,4,4,0,50,2,,0,TE
211,Damien Williams,4,1,Sun,8,8,10/29/23,31-209,ARI,,BAL,L 24-31,1,1,4,4,0,100,4,,0,RB
212,MyCole Pruitt,3,2,Sun,8,8,10/29/23,31-219,ATL,@,TEN,L 23-28,2,1,3,3,0,50,1.5,,0,TE
213,JuJu Smith-Schuster,3,1,Sun,8,8,10/29/23,26-341,NWE,@,MIA,L 17-31,1,1,3,3,1,100,3,1,100,WR
214,Jerome Ford,2,2,Sun,7,8,10/29/23,23-324,CLE,@,SEA,L 20-24,2,1,2,2,0,50,1,0,0,RB
215,D'Onta Foreman,2,2,Sun,8,8,10/29/23,27-188,CHI,@,LAC,L 13-30,2,1,2,2,0,50,1,0,0,RB
216,C.J. Ham,2,1,Sun,8,8,10/29/23,30-099,MIN,@,GNB,W 24-10,1,1,2,2,0,100,2,,0,FB
217,Andrei Iosivas,2,1,Sun,7,8,10/29/23,24-014,CIN,@,SFO,W 31-17,1,1,2,2,1,100,2,1,100,WR
218,Alexander Mattison,2,1,Sun,8,8,10/29/23,25-132,MIN,@,GNB,W 24-10,1,1,2,2,0,100,2,0,0,RB
219,Tony Pollard,2,1,Sun,7,8,10/29/23,26-182,DAL,,LAR,W 43-20,1,1,2,2,0,100,2,0,0,RB
220,Jonathan Taylor,2,2,Sun,8,8,10/29/23,24-283,IND,,NOR,L 27-38,2,1,2,2,0,50,1,0,0,RB
221,Emari Demercado,1,1,Sun,8,8,10/29/23,24-282,ARI,,BAL,L 24-31,1,1,1,1,0,100,1,0,0,RB
