Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
1,CeeDee Lamb,158,14,Sun,7,8,10/29/23,24-204,DAL,,LAR,W 43-20,14,12,158,13.2,2,85.7,11.3,7,71.4,WR
2,Rashid Shaheed,153,3,Sun,8,8,10/29/23,25-059,NOR,@,IND,W 38-27,3,3,153,51,1,100,51,3,100,WR
3,George Kittle,149,11,Sun,8,8,10/29/23,30-020,SFO,,CIN,L 17-31,11,9,149,16.6,0,81.8,13.5,6,81.8,TE
4,A.J. Brown,130,8,Sun,8,8,10/29/23,26-121,PHI,@,WAS,W 38-31,8,8,130,16.3,2,100,16.3,7,87.5,WR
5,DeAndre Hopkins,128,6,Sun,7,8,10/29/23,31-145,TEN,,ATL,W 28-23,6,4,128,32,3,66.7,21.3,3,50,WR
6,Jaylen Waddle,121,12,Sun,8,8,10/29/23,24-338,MIA,,NWE,W 31-17,12,7,121,17.3,1,58.3,10.1,5,50,WR
7,Tyreek Hill,112,13,Sun,8,8,10/29/23,29-242,MIA,,NWE,W 31-17,13,8,112,14,1,61.5,8.6,6,46.2,WR
8,Brandon Aiyuk,109,9,Sun,8,8,10/29/23,25-226,SFO,,CIN,L 17-31,9,5,109,21.8,0,55.6,12.1,5,55.6,WR
9,Jahan Dotson,108,10,Sun,8,8,10/29/23,23-221,WAS,,PHI,L 31-38,10,8,108,13.5,1,80,10.8,6,70,WR
10,Amon-Ra St. Brown,108,9,Mon,8,8,10/30/23,24-006,DET,,LVR,W 26-14,9,6,108,18,0,66.7,12,5,66.7,WR
11,Ja'Marr Chase,100,12,Sun,7,8,10/29/23,23-242,CIN,@,SFO,W 31-17,12,10,100,10,1,83.3,8.3,5,66.7,WR
12,Garrett Wilson,100,13,Sun,7,8,10/29/23,23-099,NYJ,@,NYG,W 13-10 (OT),13,7,100,14.3,0,53.8,7.7,4,53.8,WR
13,K.J. Osborn,99,10,Sun,8,8,10/29/23,26-141,MIN,@,GNB,W 24-10,10,8,99,12.4,0,80,9.9,4,60,WR
14,DeVonta Smith,99,7,Sun,8,8,10/29/23,24-349,PHI,@,WAS,W 38-31,7,7,99,14.1,1,100,14.1,4,71.4,WR
15,Jamison Crowder,95,7,Sun,8,8,10/29/23,30-134,WAS,,PHI,L 31-38,7,7,95,13.6,1,100,13.6,5,85.7,WR
16,Trey McBride,95,14,Sun,8,8,10/29/23,23-341,ARI,,BAL,L 24-31,14,10,95,9.5,1,71.4,6.8,5,57.1,TE
17,Austin Ekeler,94,8,Sun,7,8,10/29/23,28-165,LAC,,CHI,W 30-13,8,7,94,13.4,1,87.5,11.8,5,62.5,RB
18,Khalil Shakir,92,6,Thu,8,8,10/26/23,23-265,BUF,,TAM,W 24-18,6,6,92,15.3,0,100,15.3,4,83.3,WR
19,Amari Cooper,89,11,Sun,7,8,10/29/23,29-134,CLE,@,SEA,L 20-24,11,6,89,14.8,0,54.5,8.1,4,45.5,WR
20,Evan Engram,88,10,Sun,8,8,10/29/23,29-057,JAX,@,PIT,W 20-10,10,10,88,8.8,0,100,8.8,4,60,TE
21,T.J. Hockenson,88,9,Sun,8,8,10/29/23,26-118,MIN,@,GNB,W 24-10,9,6,88,14.7,1,66.7,9.8,5,55.6,TE
22,Gabriel Davis,87,12,Thu,8,8,10/26/23,24-208,BUF,,TAM,W 24-18,12,9,87,9.7,1,75,7.3,5,66.7,WR
23,Diontae Johnson,85,14,Sun,7,8,10/29/23,27-116,PIT,,JAX,L 10-20,14,8,85,10.6,0,57.1,6.1,6,57.1,WR
24,Jayden Reed,83,6,Sun,7,8,10/29/23,23-184,GNB,,MIN,L 10-24,6,4,83,20.8,0,66.7,13.8,3,50,WR
25,Calvin Ridley,83,10,Sun,8,8,10/29/23,28-313,JAX,@,PIT,W 20-10,10,6,83,13.8,0,60,8.3,2,50,WR
26,Jordan Addison,82,8,Sun,8,8,10/29/23,21-275,MIN,@,GNB,W 24-10,8,7,82,11.7,1,87.5,10.3,4,62.5,WR
27,Tyler Lockett,81,9,Sun,7,8,10/29/23,31-031,SEA,,CLE,W 24-20,9,8,81,10.1,1,88.9,9,5,88.9,WR
28,Cole Kmet,79,10,Sun,8,8,10/29/23,24-233,CHI,@,LAC,L 13-30,10,10,79,7.9,0,100,7.9,4,70,TE
29,David Njoku,77,8,Sun,7,8,10/29/23,27-111,CLE,@,SEA,L 20-24,8,4,77,19.3,1,50,9.6,2,37.5,TE
30,Breece Hall,76,9,Sun,7,8,10/29/23,22-151,NYJ,@,NYG,W 13-10 (OT),9,6,76,12.7,1,66.7,8.4,2,44.4,RB
31,KhaDarel Hodge,75,3,Sun,8,8,10/29/23,28-299,ATL,@,TEN,L 23-28,3,3,75,25,0,100,25,2,100,WR
32,Josh Downs,72,9,Sun,8,8,10/29/23,22-078,IND,,NOR,L 27-38,9,7,72,10.3,0,77.8,8,4,66.7,WR
33,Adam Thielen,72,11,Sun,7,8,10/29/23,33-068,CAR,,HOU,W 15-13,11,8,72,9,0,72.7,6.5,2,36.4,WR
