Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,Jahmyr Gibbs,152,26,Mon,8,8,10/30/23,21-224,DET,,LVR,W 26-14,26,152,5.8,1,5,50,RB
2,Saquon Barkley,128,36,Sun,8,8,10/29/23,26-262,NYG,,NYJ,L 10-13 (OT),36,128,3.6,0,4,30.6,RB
3,Derrick Henry,101,22,Sun,7,8,10/29/23,29-298,TEN,,ATL,W 28-23,22,101,4.6,0,4,63.6,RB
4,Jonathan Taylor,95,12,Sun,8,8,10/29/23,24-283,IND,,NOR,L 27-38,12,95,7.9,0,3,41.7,RB
5,Joe Mixon,87,16,Sun,7,8,10/29/23,27-097,CIN,@,SFO,W 31-17,16,87,5.4,1,4,56.3,RB
6,Javonte Williams,85,27,Sun,8,8,10/29/23,23-187,DEN,,KAN,W 24-9,27,85,3.1,0,4,44.4,RB
7,Gus Edwards,80,19,Sun,8,8,10/29/23,28-199,BAL,@,ARI,W 31-24,19,80,4.2,3,7,73.7,RB
8,Travis Etienne,79,24,Sun,8,8,10/29/23,24-276,JAX,@,PIT,W 20-10,24,79,3.3,0,5,41.7,RB
9,Emari Demercado,78,20,Sun,8,8,10/29/23,24-282,ARI,,BAL,L 24-31,20,78,3.9,0,3,45,RB
10,Craig Reynolds,74,14,Mon,8,8,10/30/23,27-137,DET,,LVR,W 26-14,14,74,5.3,0,5,50,RB
11,James Cook,67,14,Thu,8,8,10/26/23,24-031,BUF,,TAM,W 24-18,14,67,4.8,0,4,78.6,RB
12,Zack Moss,66,11,Sun,8,8,10/29/23,25-318,IND,,NOR,L 27-38,11,66,6,1,2,63.6,RB
13,Kenneth Walker III,66,8,Sun,7,8,10/29/23,23-009,SEA,,CLE,W 24-20,8,66,8.3,0,1,50,RB
14,Taysom Hill,63,9,Sun,8,8,10/29/23,33-067,NOR,@,IND,W 38-27,9,63,7,2,5,88.9,QB
15,Bijan Robinson,62,11,Sun,8,8,10/29/23,21-272,ATL,@,TEN,L 23-28,11,62,5.6,1,2,54.5,RB
16,Josh Jacobs,61,15,Mon,8,8,10/30/23,25-261,LVR,@,DET,L 14-26,15,61,4.1,1,3,80,RB
17,Alvin Kamara,59,17,Sun,8,8,10/29/23,28-096,NOR,@,IND,W 38-27,17,59,3.5,1,2,41.2,RB
18,Brian Robinson Jr.,59,10,Sun,8,8,10/29/23,24-221,WAS,,PHI,L 31-38,10,59,5.9,0,3,50,RB
19,Brock Purdy,57,6,Sun,8,8,10/29/23,23-306,SFO,,CIN,L 17-31,6,57,9.5,0,2,66.7,QB
