Rk,Player,Rate,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Pos.
1,Jalen Hurts,135.7,38,Sun,8,8,10/29/23,25-083,PHI,@,WAS,W 38-31,29,38,9,76.3,319,4,0,0,10.5,0,135.7,2,4,5,8.4,10.5,9.88,11,55,QB
2,Joe Burrow,134.8,32,Sun,7,8,10/29/23,26-323,CIN,@,SFO,W 31-17,28,32,4,87.5,283,3,0,0,9.4,0,134.8,3,17,8.57,8.8,10.72,9.31,10.1,65.7,QB
3,Dak Prescott,133.7,31,Sun,7,8,10/29/23,30-092,DAL,,LAR,W 43-20,25,31,6,80.6,304,4,1,0,12.9,3.2,133.7,3,22,8.82,9.8,10.94,9.32,12.2,61.8,QB
4,Derek Carr,133.3,27,Sun,8,8,10/29/23,32-215,NOR,@,IND,W 38-27,19,27,8,70.4,310,2,0,0,7.4,0,133.3,1,4,3.57,11.5,12.96,12.36,16.3,60.7,QB
5,Will Levis,130.5,29,Sun,7,8,10/29/23,24-124,TEN,,ATL,W 28-23,19,29,10,65.5,238,4,0,0,13.8,0,130.5,2,12,6.45,8.2,10.97,9.87,12.5,32.3,QB
6,Justin Herbert,122.7,40,Sun,7,8,10/29/23,25-233,LAC,,CHI,W 30-13,31,40,9,77.5,298,3,0,0,7.5,0,122.7,0,0,0,7.5,8.95,8.95,9.6,55,QB
7,Kirk Cousins,122.2,31,Sun,8,8,10/29/23,35-071,MIN,@,GNB,W 24-10,23,31,8,74.2,274,2,0,0,6.5,0,122.2,2,13,6.06,8.8,10.13,9.12,11.9,54.5,QB
8,Russell Wilson,119.3,19,Sun,8,8,10/29/23,34-334,DEN,,KAN,W 24-9,12,19,7,63.2,114,3,0,0,15.8,0,119.3,6,27,24,6,9.16,5.88,9.5,32,QB
9,Sam Howell,114,52,Sun,8,8,10/29/23,23-043,WAS,,PHI,L 31-38,39,52,13,75,397,4,1,0,7.7,1.9,114,1,9,1.89,7.6,8.31,7.98,10.2,52.8,QB
10,Josh Allen,106.7,40,Thu,8,8,10/26/23,27-158,BUF,,TAM,W 24-18,31,40,9,77.5,324,2,1,0,5,2.5,106.7,2,12,4.76,8.1,7.98,7.31,10.5,52.4,QB
11,Dorian Thompson-Robinson,104.2,1,Sun,7,8,10/29/23,23-349,CLE,@,SEA,L 20-24,1,1,0,100,9,0,0,0,0,0,104.2,0,0,0,9,9,9,9,100,QB
12,Bryce Young,103.6,31,Sun,7,8,10/29/23,22-096,CAR,,HOU,W 15-13,22,31,9,71,235,1,0,0,3.2,0,103.6,6,55,16.22,7.6,8.23,5.41,10.7,45.9,QB
13,Tua Tagovailoa,100.6,45,Sun,8,8,10/29/23,25-241,MIA,,NWE,W 31-17,30,45,15,66.7,324,3,1,0,6.7,2.2,100.6,2,12,4.26,7.2,7.53,6.96,10.8,46.8,QB
14,Taylor Heinicke,100.3,21,Sun,8,8,10/29/23,30-228,ATL,@,TEN,L 23-28,12,21,9,57.1,175,1,0,0,4.8,0,100.3,1,8,4.55,8.3,9.29,8.5,14.6,50,QB
15,Trevor Lawrence,100,32,Sun,8,8,10/29/23,24-023,JAX,@,PIT,W 20-10,24,32,8,75,292,1,1,0,3.1,3.1,100,3,21,8.57,9.1,8.34,7.03,12.2,51.4,QB
16,Taysom Hill,95.8,2,Sun,8,8,10/29/23,33-067,NOR,@,IND,W 38-27,1,2,1,50,44,0,0,0,0,0,95.8,0,0,0,22,22,22,44,50,QB
17,Lamar Jackson,94.2,27,Sun,8,8,10/29/23,26-295,BAL,@,ARI,W 31-24,18,27,9,66.7,157,1,0,0,3.7,0,94.2,4,19,12.9,5.8,6.56,5.1,8.7,35.5,QB
18,Brock Purdy,94.2,31,Sun,8,8,10/29/23,23-306,SFO,,CIN,L 17-31,22,31,9,71,365,1,2,0,3.2,6.5,94.2,2,18,6.06,11.8,9.52,8.39,16.6,60.6,QB
19,Baker Mayfield,91.1,42,Thu,7,8,10/26/23,28-195,TAM,@,BUF,L 18-24,25,42,17,59.5,237,2,0,0,4.8,0,91.1,3,13,6.67,5.6,6.6,5.87,9.5,40,QB
20,Jared Goff,89,37,Mon,8,8,10/30/23,29-016,DET,,LVR,W 26-14,26,37,11,70.3,272,1,1,1,2.7,2.7,89,0,0,0,7.4,6.68,6.68,10.5,59.5,QB
