Team,QB,RB,WR,TE
Green Bay Packers,,Emanuel Wilson,Dontayvion Wicks,Tyler Davis
Green Bay Packers,,,Bo Melton,
Green Bay Packers,,,Malik Heath,
Green Bay Packers,,,Samori Toure,
Green Bay Packers,,,Grant DuBose,
Houston Texans,C.J. Stroud,Joe Mixon,Nico Collins,Dalton Schultz
Houston Texans,Davis Mills,Dameon Pierce,Tank Dell,Cade Stover
Houston Texans,Case Keenum,Cam Akers,Stefon Diggs,Brevin Jordan
Houston Texans,Tim Boyle,Jawhar Jordan,Noah Brown,Teagan Quitoriano
Houston Texans,,Dare Ogunbowale,Robert Woods,Andrew Beck
Houston Texans,,,John Metchie III,
Houston Texans,,,Xavier Hutchinson,
Houston Texans,,,Ben Skowronek,
Houston Texans,,,Steven Sims Jr.,
Houston Texans,,,Quintez Cephus,
Indianapolis Colts,Anthony Richardson,Jonathan Taylor,Michael Pittman Jr.,Jelani Woods
Indianapolis Colts,Joe Flacco,Trey Sermon,Josh Downs,Kylen Granson
Indianapolis Colts,Sam Ehlinger,Evan Hull,Adonai Mitchell,Will Mallory
Indianapolis Colts,,Tyler Goodson,Alec Pierce,Mo Alie-Cox
Indianapolis Colts,,Demetric Felton Jr.,Anthony Gould,Drew Ogletree
Indianapolis Colts,,,D.J. Montgomery,Eric Tomlinson
Indianapolis Colts,,,Juwann Winfree,
Indianapolis Colts,,,Laquon Treadwell,
Indianapolis Colts,,,Ashton Dulin,
Jacksonville Jaguars,Trevor Lawrence,Travis Etienne Jr.,Christian Kirk,Evan Engram
Jacksonville Jaguars,Mac Jones,Tank Bigsby,Brian Thomas Jr.,Brenton Strange
Jacksonville Jaguars,C.J. Beathard,D'Ernest Johnson,Gabe Davis,Luke Farrell
Jacksonville Jaguars,,Keilan Robinson,Parker Washington,Josiah Deguara
Jacksonville Jaguars,,Gary Brightwell,Devin Duvernay,
Jacksonville Jaguars,,,Tim Jones,
Jacksonville Jaguars,,,Elijah Cooks,
Jacksonville Jaguars,,,Denzel Mims,
Jacksonville Jaguars,,,Austin Trammell,
Kansas City Chiefs,Patrick Mahomes II,Isiah Pacheco,Rashee Rice,Travis Kelce
Kansas City Chiefs,Carson Wentz,Clyde Edwards-Helaire,Xavier Worthy,Noah Gray
Kansas City Chiefs,,Deneric Prince,Hollywood Brown,Jared Wiley
Kansas City Chiefs,,Keaontay Ingram,Kadarius Toney,Irv Smith Jr.
Kansas City Chiefs,,Emani Bailey,Skyy Moore,
Kansas City Chiefs,,Louis Rees-Zammit,Justin Watson,
Kansas City Chiefs,,Carson Steele,Mecole Hardman Jr.,
Kansas City Chiefs,,,Justyn Ross,
Kansas City Chiefs,,,Nikko Remigio,
Los Angeles Chargers,Justin Herbert,Gus Edwards,Ladd McConkey,Hayden Hurst
Los Angeles Chargers,Easton Stick,J.K. Dobbins,Joshua Palmer,Donald Parham Jr.
Los Angeles Chargers,Max Duggan,Kimani Vidal,Quentin Johnston,Will Dissly
