Rk,Player,Yds,Att,Day,G#,Week,Date,Age,Team,,Opp,Result,Att,Yds,Y/A,TD,1D,Succ%,Pos.
1,D'Andre Swift,175,28,Thu,2,2,9/14/23,24-243,PHI,,MIN,W 34-28,28,175,6.3,1,10,71.4,RB
2,Bijan Robinson,124,19,Sun,2,2,9/17/23,21-230,ATL,,GNB,W 25-24,19,124,6.5,0,9,68.4,RB
3,James Cook,123,17,Sun,2,2,9/17/23,23-357,BUF,,LVR,W 38-10,17,123,7.2,0,3,58.8,RB
4,Raheem Mostert,121,18,Sun,2,2,9/17/23,31-161,MIA,@,NWE,W 24-17,18,121,6.7,2,5,44.4,RB
5,Christian McCaffrey,116,20,Sun,2,2,9/17/23,27-102,SFO,@,LAR,W 30-23,20,116,5.8,1,4,35,RB
6,James Conner,106,23,Sun,2,2,9/17/23,28-135,ARI,,NYG,L 28-31,23,106,4.6,1,7,43.5,RB
7,Jerome Ford,106,16,Mon,2,2,9/18/23,23-283,CLE,@,PIT,L 22-26,16,106,6.6,0,3,43.8,RB
8,Zack Moss,88,18,Sun,2,2,9/17/23,25-276,IND,@,HOU,W 31-20,18,88,4.9,1,4,50,RB
9,Brian Robinson Jr.,87,18,Sun,2,2,9/17/23,24-179,WAS,@,DEN,W 35-33,18,87,4.8,2,8,50,RB
10,Derrick Henry,80,25,Sun,2,2,9/17/23,29-256,TEN,,LAC,W 27-24 (OT),25,80,3.2,1,5,52,RB
11,Taysom Hill,75,9,Mon,2,2,9/18/23,33-026,NOR,@,CAR,W 20-17,9,75,8.3,0,5,88.9,QB
12,Rachaad White,73,17,Sun,2,2,9/17/23,24-248,TAM,,CHI,W 27-17,17,73,4.3,1,6,58.8,RB
13,Tony Pollard,72,25,Sun,2,2,9/17/23,26-140,DAL,,NYJ,W 30-10,25,72,2.9,0,3,40,RB
14,Isiah Pacheco,70,12,Sun,2,2,9/17/23,24-199,KAN,@,JAX,W 17-9,12,70,5.8,0,4,58.3,RB
15,David Montgomery,67,16,Sun,2,2,9/17/23,26-102,DET,,SEA,L 31-37 (OT),16,67,4.2,1,3,62.5,RB
16,Nick Chubb,64,10,Mon,2,2,9/18/23,27-265,CLE,@,PIT,L 22-26,10,64,6.4,0,1,50,RB
17,Saquon Barkley,63,17,Sun,2,2,9/17/23,26-220,NYG,@,ARI,W 31-28,17,63,3.7,1,5,47.1,RB
18,Gus Edwards,62,10,Sun,2,2,9/17/23,28-157,BAL,@,CIN,W 27-24,10,62,6.2,1,6,70,RB
19,Daniel Jones,59,9,Sun,2,2,9/17/23,26-113,NYG,@,ARI,W 31-28,9,59,6.6,1,5,66.7,QB
20,Joe Mixon,59,13,Sun,2,2,9/17/23,27-055,CIN,,BAL,L 24-27,13,59,4.5,0,4,69.2,RB
21,Russell Wilson,56,6,Sun,2,2,9/17/23,34-292,DEN,,WAS,L 33-35,6,56,9.3,0,6,100,QB
22,AJ Dillon,55,15,Sun,2,2,9/17/23,25-138,GNB,@,ATL,L 24-25,15,55,3.7,0,3,66.7,RB
23,Lamar Jackson,54,12,Sun,2,2,9/17/23,26-253,BAL,@,CIN,W 27-24,12,54,4.5,0,3,33.3,QB
24,Kyren Williams,52,14,Sun,2,2,9/17/23,23-022,LAR,,SFO,L 23-30,14,52,3.7,1,6,78.6,RB
25,Rhamondre Stevenson,50,15,Sun,2,2,9/17/23,25-206,NWE,,MIA,L 17-24,15,50,3.3,1,5,60,RB
26,Tyjae Spears,49,8,Sun,2,2,9/17/23,22-094,TEN,,LAC,W 27-24 (OT),8,49,6.1,0,4,87.5,RB
27,Tyler Allgeier,48,16,Sun,2,2,9/17/23,23-155,ATL,,GNB,W 25-24,16,48,3,0,3,43.8,RB
28,Javonte Williams,44,12,Sun,2,2,9/17/23,23-145,DEN,,WAS,L 33-35,12,44,3.7,0,2,50,RB
29,Najee Harris,43,10,Mon,2,2,9/18/23,25-193,PIT,,CLE,W 26-22,10,43,4.3,0,2,30,RB
30,Miles Sanders,43,14,Mon,2,2,9/18/23,26-140,CAR,,NOR,L 17-20,14,43,3.1,0,2,42.9,RB
31,Kenneth Walker III,43,17,Sun,2,2,9/17/23,22-332,SEA,@,DET,W 37-31 (OT),17,43,2.5,2,5,41.2,RB
